player,player_id,team_name,team_id,mins_played,goals,total_shots,assists,chances_created,total_pass,accurate_pass,expected_goals
Martin Dubravka,67089,Newcastle United,4,1080,0,0,0,0,316,171,0.0
Martin Kelly,58786,Crystal Palace,31,1194,0,5,0,2,343,254,0.43
Martin Olsson,28654,Swansea City,80,3154,0,18,1,13,1144,841,0.9
Marvin Zeegelaar,66247,Watford,57,995,0,0,1,7,422,337,0.0
Mason Holgate,194164,Everton,11,1183,0,6,0,7,475,320,0.56
Massadio Haidara,92170,Newcastle United,4,3,0,0,0,0,2,2,0.0
Mat Ryan,131897,Brighton and Hove Albion,36,3420,0,0,0,0,1053,505,0.0
Mathieu Debuchy,27334,Arsenal,3,0,0,0,0,0,0,0,0.0
Matt Butcher,200370,Bournemouth,91,0,0,0,0,0,0,0,0.0
Matt Macey,113534,Arsenal,3,0,0,0,0,0,0,0,0.0
Matt Phillips,50229,West Bromwich Albion,35,2097,2,28,2,33,497,361,2.42
Matt Ritchie,56983,Newcastle United,4,2812,3,59,5,52,1046,758,3.08
Matt Targett,169359,Southampton,20,167,0,0,0,2,80,58,0.0
Matteo Darmian,40002,Manchester United,1,444,0,2,0,1,195,163,0.03
Matthew Lowton,68983,Burnley,90,2295,0,4,3,14,823,567,0.1
Matty James,61604,Leicester City,13,994,0,11,0,2,446,363,1.36
Max Melbourne,209419,West Bromwich Albion,35,0,0,0,0,0,0,0,0.0
Maya Yoshida,80447,Southampton,20,2051,2,19,0,5,1062,894,2.04
Mesut Özil,37605,Arsenal,3,2164,4,39,8,84,1809,1564,4.38
Michael Carrick,2404,Manchester United,1,109,0,2,0,1,99,84,0.52
Michael Folivi,204760,Watford,57,0,0,0,0,0,0,0,0.0
Michael Hefele,87856,Huddersfield Town,38,32,0,0,0,0,9,8,0.0
Michael Keane,106611,Everton,11,2560,0,15,1,4,1157,900,1.14
Michael Obafemi,220598,Southampton,20,8,0,1,0,0,1,1,0.37
Michail Antonio,57531,West Ham United,21,1358,3,34,1,14,385,261,2.44
Michel Vorm,39215,Tottenham Hotspur,6,90,0,0,0,0,24,21,0.0
Michy Batshuayi,94245,Chelsea,8,353,2,13,1,1,96,67,1.12
