Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Save,3,41,102248,13,Successful,1.2,50.0,,,OpenPlay,False,False
KeeperPickup,3,42,102248,13,Successful,1.2,50.0,,,OpenPlay,False,False
Pass,3,48,102248,13,Successful,7.7,50.1,18.5,50.3,OpenPlay,False,False
Pass,3,49,89401,13,Unsuccessful,17.3,49.6,25.5,17.7,OpenPlay,False,False
BallTouch,3,50,105995,45,Unsuccessful,74.2,88.2,,,OpenPlay,False,False
Clearance,3,53,80921,13,Successful,11.1,26.4,68.9,55.7,OpenPlay,False,False
BallRecovery,3,56,23199,45,Successful,37.7,35.2,,,OpenPlay,False,False
Pass,3,57,23199,45,Successful,32.4,41.9,9,43,OpenPlay,False,False
Pass,4,3,66424,45,Unsuccessful,9.0,43.0,42.1,12.5,OpenPlay,False,False
Pass,4,5,110260,13,Successful,56.6,93.2,68.3,93.2,OpenPlay,False,False
BallRecovery,4,7,44120,13,Successful,68.3,93.2,,,OpenPlay,False,False
Pass,4,11,44120,13,Successful,88.8,83.0,87.1,75,OpenPlay,False,False
BallTouch,4,13,367185,13,Unsuccessful,87.7,74.1,,,OpenPlay,False,False
Clearance,4,14,94934,45,Successful,10.0,25.2,20.1,22.5,OpenPlay,False,False
Pass,4,18,44120,13,Successful,90.4,85.6,83.6,90.8,OpenPlay,False,False
Pass,4,19,110260,13,Successful,83.6,90.8,77.2,78.5,OpenPlay,False,False
Pass,4,21,367185,13,Successful,82.7,88.3,82.7,92.3,OpenPlay,False,False
Pass,4,23,110260,13,Successful,82.7,92.3,95.6,91.8,OpenPlay,False,False
Pass,4,25,367185,13,Successful,95.6,91.8,92.7,46.1,BigChanceCreated,False,False
MissedShots,4,26,248109,13,Successful,92.7,46.1,,,OpenPlay,False,False
Pass,5,4,66424,45,Unsuccessful,4.5,41.9,53,59,OpenPlay,False,False
Aerial,5,6,317630,45,Unsuccessful,53.0,58.6,,,OpenPlay,False,False
Aerial,5,6,248109,13,Successful,47.0,41.4,,,OpenPlay,False,False
Pass,5,7,248109,13,Unsuccessful,46.9,41.8,59.5,24.6,OpenPlay,False,False
Pass,5,8,83659,45,Successful,44.1,70.6,53.3,83.6,OpenPlay,False,False
Pass,5,11,105995,45,Successful,48.8,86.3,74.3,94.2,OpenPlay,False,False
Foul,5,16,299460,45,Successful,72.0,97.6,,,OpenPlay,False,False
Foul,5,16,80921,13,Unsuccessful,28.0,2.4,,,OpenPlay,False,False
Pass,6,0,105995,45,Unsuccessful,74.9,95.0,90.2,54.6,OpenPlay,False,False
Clearance,6,2,248109,13,Successful,10.0,39.4,23.3,33.9,OpenPlay,False,False
Pass,6,3,367185,13,Unsuccessful,23.3,33.9,30.5,17.4,OpenPlay,False,False
Pass,6,6,105995,45,Successful,71.9,83.3,52.3,66.1,OpenPlay,False,False
Pass,6,10,16954,45,Unsuccessful,47.7,70.5,98.3,63.7,OpenPlay,False,False
KeeperPickup,6,15,102248,13,Successful,0.3,35.8,,,OpenPlay,False,False
Pass,6,18,102248,13,Unsuccessful,16.3,33.4,93.8,0,OpenPlay,False,False
Pass,6,35,105995,45,Successful,13.4,100.0,20.1,90.6,ThrowIn,False,False
Pass,6,36,317630,45,Successful,20.1,90.6,12.9,95.9,OpenPlay,False,False
Pass,6,38,105995,45,Unsuccessful,12.9,95.9,46.4,56,OpenPlay,False,False
Pass,6,40,110260,13,Successful,51.3,43.4,33.2,47.8,OpenPlay,False,False
BallRecovery,6,42,27586,13,Successful,33.2,47.8,,,OpenPlay,False,False
Pass,6,43,27586,13,Successful,33.2,47.8,7.5,47.5,OpenPlay,False,False
Pass,6,49,102248,13,Unsuccessful,11.6,35.8,60.1,6.7,OpenPlay,False,False
Aerial,6,51,363686,13,Unsuccessful,59.6,7.0,,,OpenPlay,False,False
Aerial,6,51,83659,45,Successful,40.4,93.0,,,OpenPlay,False,False
Pass,6,52,83659,45,Unsuccessful,40.9,92.7,54,85.3,OpenPlay,False,False
Pass,6,53,248109,13,Successful,41.8,11.7,38.4,7.1,OpenPlay,False,False
Pass,6,54,124316,13,Unsuccessful,38.4,7.1,63.6,20.3,OpenPlay,False,False
BallRecovery,6,55,16954,45,Successful,36.1,75.0,,,OpenPlay,False,False
Pass,6,56,16954,45,Successful,36.1,75.0,38.5,85.9,OpenPlay,False,False
Pass,6,57,83659,45,Successful,38.5,85.9,46.1,93.5,OpenPlay,False,False
Pass,6,58,105995,45,Successful,46.1,93.5,34.3,88.9,OpenPlay,False,False
Foul,7,2,83659,45,Successful,34.8,91.8,,,OpenPlay,False,False
Foul,7,2,363686,13,Unsuccessful,65.2,8.2,,,OpenPlay,False,False
Pass,7,18,83659,45,Successful,38.9,92.0,80.2,88.6,OpenPlay,False,False
Pass,7,22,110165,45,Unsuccessful,79.4,93.0,95.8,87.5,OpenPlay,False,False
BallRecovery,7,24,80921,13,Successful,2.4,11.1,,,OpenPlay,False,False
Pass,7,25,80921,13,Unsuccessful,2.4,11.1,3.8,10,OpenPlay,False,False
BlockedPass,7,25,110165,45,Successful,96.3,88.6,,,OpenPlay,False,False
Pass,7,39,124316,13,Successful,7.1,0.0,14.4,12.2,ThrowIn,False,False
Pass,7,42,89401,13,Successful,14.4,12.2,10.1,3.4,OpenPlay,False,False
Pass,7,43,124316,13,Successful,9.1,3.4,2.1,11.1,OpenPlay,False,False
Pass,7,44,80921,13,Unsuccessful,2.1,11.1,43.2,2.2,OpenPlay,False,False
Pass,7,47,83659,45,Unsuccessful,55.2,95.9,60.9,85.1,OpenPlay,False,False
Pass,7,48,363686,13,Successful,38.3,7.3,52.1,15.2,OpenPlay,False,False
Pass,7,49,44120,13,Unsuccessful,52.1,15.2,54.7,26.7,OpenPlay,False,False
BallRecovery,7,50,16954,45,Successful,46.2,74.7,,,OpenPlay,False,False
Pass,7,51,16954,45,Successful,46.2,74.7,63.6,77.5,OpenPlay,False,False
Pass,7,53,110165,45,Successful,66.3,69.9,76.5,45.5,OpenPlay,False,False
Pass,7,56,34323,45,Successful,76.9,48.1,73.6,33.6,OpenPlay,False,False
Pass,7,59,94934,45,Unsuccessful,78.0,29.2,95.5,55.4,OpenPlay,False,False
Aerial,8,1,34323,45,Unsuccessful,96.6,57.5,,,OpenPlay,False,False
Aerial,8,1,102248,13,Successful,3.4,42.5,,,OpenPlay,False,False
Claim,8,2,102248,13,Successful,2.2,40.4,,,OpenPlay,False,False
Pass,8,4,102248,13,Successful,3.5,38.8,21.3,15.2,OpenPlay,False,False
Pass,8,9,363686,13,Successful,31.5,8.8,39.5,23.6,OpenPlay,False,False
Pass,8,10,248109,13,Successful,44.3,16.4,55.5,7.9,OpenPlay,False,False
Pass,8,15,363686,13,Successful,66.0,4.9,59.8,7,OpenPlay,False,False
Pass,8,18,248109,13,Successful,56.0,3.1,64.4,1.1,OpenPlay,False,False
Pass,8,20,363686,13,Successful,64.1,2.8,60.7,11.7,OpenPlay,False,False
Pass,8,22,248109,13,Successful,60.7,11.7,40.1,6.5,OpenPlay,False,False
Pass,8,24,124316,13,Successful,38.9,7.4,30.8,28,OpenPlay,False,False
Pass,8,26,80921,13,Unsuccessful,31.7,25.9,71.7,49.6,OpenPlay,False,False
Pass,8,31,23199,45,Successful,29.9,37.0,29.6,62.6,OpenPlay,False,False
BallRecovery,8,32,16954,45,Successful,29.6,62.6,,,OpenPlay,False,False
Pass,8,38,16954,45,Successful,43.5,60.3,61.3,48.8,OpenPlay,False,False
Pass,8,41,34323,45,Successful,56.9,46.1,43.9,25.3,OpenPlay,False,False
Pass,8,43,23199,45,Successful,43.9,25.3,57.7,4.1,OpenPlay,False,False
Pass,8,45,94934,45,Successful,57.1,4.1,47,15.6,OpenPlay,False,False
Pass,8,48,23199,45,Successful,46.5,18.8,42.9,45.8,OpenPlay,False,False
Pass,8,55,16954,45,Successful,54.4,57.2,71.3,91.2,OpenPlay,False,False
Pass,9,0,105995,45,Unsuccessful,89.3,90.9,90.4,85.9,OpenPlay,False,False
Clearance,9,0,124316,13,Successful,7.3,11.1,7.3,11.1,OpenPlay,False,False
Pass,9,10,105995,45,Successful,86.4,100.0,64.8,94.7,ThrowIn,False,False
Pass,9,12,83659,45,Successful,64.9,94.7,68.2,82,OpenPlay,False,False
Pass,9,15,317630,45,Successful,69.9,82.6,65.2,93,OpenPlay,False,False
Pass,9,16,83659,45,Unsuccessful,65.2,93.0,94,55.4,OpenPlay,False,False
KeeperPickup,9,19,102248,13,Successful,5.3,44.3,,,OpenPlay,False,False
Pass,9,30,102248,13,Successful,13.8,36.7,89.5,17.4,OpenPlay,False,False
Pass,9,40,44120,13,Successful,96.8,19.4,81.6,23.1,OpenPlay,False,False
Pass,9,43,363686,13,Successful,87.2,19.8,94.6,72.1,OpenPlay,False,False
BallTouch,9,46,342563,13,Unsuccessful,94.6,72.1,,,OpenPlay,False,False
Pass,10,17,66424,45,Successful,4.5,46.7,61.9,50.4,OpenPlay,False,False
Aerial,10,18,89401,13,Unsuccessful,37.5,49.8,,,OpenPlay,False,False
Aerial,10,18,34323,45,Successful,62.5,50.2,,,OpenPlay,False,False
Pass,10,19,34323,45,Successful,61.9,50.4,68.4,48.5,OpenPlay,False,False
BallTouch,10,20,299460,45,Successful,67.1,42.5,,,OpenPlay,False,False
BallRecovery,10,21,342563,13,Successful,40.0,59.1,,,OpenPlay,False,False
Pass,10,22,342563,13,Successful,40.0,59.1,24.4,59,OpenPlay,False,False
Pass,10,25,27586,13,Successful,19.0,52.1,18.9,25.9,OpenPlay,False,False
Pass,10,28,80921,13,Successful,21.1,17.9,26.6,4.6,OpenPlay,False,False
Pass,10,29,124316,13,Successful,27.0,3.4,45.4,3.2,OpenPlay,False,False
Pass,10,32,363686,13,Unsuccessful,41.3,6.8,37.6,14.9,OpenPlay,False,False
Interception,10,33,105995,45,Successful,63.8,84.4,,,OpenPlay,False,False
BallRecovery,10,34,105995,45,Successful,60.4,81.7,,,OpenPlay,False,False
Pass,10,36,105995,45,Successful,56.1,67.3,52.3,63.7,OpenPlay,False,False
Pass,10,37,110165,45,Successful,52.3,63.7,55.1,52.4,OpenPlay,False,False
Pass,10,38,105995,45,Successful,54.0,50.9,42.2,46.1,OpenPlay,False,False
Pass,10,41,23199,45,Successful,39.5,47.0,38,71.8,OpenPlay,False,False
Pass,10,43,16954,45,Unsuccessful,39.1,73.5,57.7,72.9,OpenPlay,False,False
Interception,10,45,124316,13,Successful,39.4,21.5,,,OpenPlay,False,False
Pass,10,46,124316,13,Unsuccessful,47.3,23.7,48.4,22.7,OpenPlay,False,False
BlockedPass,10,46,317630,45,Successful,53.3,74.8,,,OpenPlay,False,False
Pass,10,48,83659,45,Successful,47.2,83.0,55.4,83.3,OpenPlay,False,False
Pass,10,49,34323,45,Successful,55.4,83.3,45.4,69,OpenPlay,False,False
Pass,10,53,317630,45,Successful,60.3,54.5,69.8,34.2,ShotAssist,False,False
MissedShots,10,57,299460,45,Successful,77.9,34.6,,,OpenPlay,False,False
Pass,11,19,102248,13,Successful,5.2,44.3,5,27.6,OpenPlay,False,False
Pass,11,20,80921,13,Successful,5.2,24.7,14.5,5.5,OpenPlay,False,False
Pass,11,23,124316,13,Unsuccessful,17.1,2.0,36.2,1.7,OpenPlay,False,False
Foul,11,26,83659,45,Unsuccessful,66.6,97.4,,,OpenPlay,False,False
Foul,11,26,363686,13,Successful,33.4,2.6,,,OpenPlay,False,False
Card,11,29,83659,45,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,12,6,124316,13,Successful,35.4,5.0,24.3,31.2,OpenPlay,False,False
Pass,12,20,80921,13,Unsuccessful,24.9,34.8,60.7,0,OpenPlay,False,False
Pass,12,28,83659,45,Successful,45.7,100.0,41.8,91.8,ThrowIn,False,False
Pass,12,32,317630,45,Unsuccessful,39.6,88.3,29.3,44.8,OpenPlay,False,False
BallRecovery,12,34,367185,13,Successful,71.7,54.6,,,OpenPlay,False,False
Pass,12,37,367185,13,Unsuccessful,83.7,48.4,84.5,50,OpenPlay,False,False
BlockedPass,12,37,23199,45,Successful,15.8,47.2,,,OpenPlay,False,False
Pass,12,41,342563,13,Successful,83.6,68.2,89.2,76.7,ShotAssist,False,False
SavedShot,12,43,44120,13,Successful,85.3,72.7,,,OpenPlay,False,False
Save,12,43,110165,45,Successful,13.8,29.4,,,OpenPlay,False,False
Pass,13,5,110260,13,Successful,73.0,100.0,77.8,96.8,ThrowIn,False,False
Pass,13,7,44120,13,Successful,77.8,96.8,72.6,98.6,OpenPlay,False,False
Pass,13,8,110260,13,Unsuccessful,72.6,98.6,76.5,96,OpenPlay,False,False
Interception,13,9,110165,45,Successful,28.0,10.7,,,OpenPlay,False,False
Pass,13,14,110260,13,Successful,64.3,100.0,42.1,94.7,ThrowIn,False,False
Pass,13,17,27586,13,Successful,42.1,94.7,49.8,98.3,OpenPlay,False,False
Pass,13,21,110260,13,Successful,46.0,96.9,31,95,OpenPlay,False,False
Pass,13,24,27586,13,Successful,28.1,93.9,5,68.2,OpenPlay,False,False
Pass,13,27,102248,13,Successful,3.9,66.9,10,30.6,OpenPlay,False,False
Pass,13,32,80921,13,Successful,24.6,15.9,37.6,24.4,OpenPlay,False,False
Pass,13,35,248109,13,Successful,37.6,24.4,46.9,8,OpenPlay,False,False
Dispossessed,13,38,363686,13,Successful,36.4,11.3,,,OpenPlay,False,False
Tackle,13,38,83659,45,Successful,63.6,88.7,,,OpenPlay,False,False
BallRecovery,13,39,34323,45,Successful,76.5,88.0,,,OpenPlay,False,False
Pass,13,41,34323,45,Successful,79.8,78.4,78.6,59.6,OpenPlay,False,False
Pass,13,44,344166,45,Successful,81.2,67.5,86.1,82.6,OpenPlay,False,False
Pass,13,46,83659,45,Unsuccessful,86.5,82.6,84.6,46.1,OpenPlay,False,False
Clearance,13,47,110260,13,Successful,15.3,53.3,45.6,46.7,OpenPlay,False,False
Pass,13,51,16954,45,Successful,55.0,48.2,57.7,69,OpenPlay,False,False
Pass,13,54,105995,45,Successful,57.9,70.9,61.5,61.5,OpenPlay,False,False
Pass,13,56,317630,45,Successful,58.1,61.7,47,63.4,OpenPlay,False,False
Pass,13,58,16954,45,Successful,47.0,63.3,54.1,67.5,OpenPlay,False,False
Pass,13,59,317630,45,Successful,46.5,66.4,41.6,72.7,OpenPlay,False,False
BallTouch,14,1,16954,45,Unsuccessful,44.6,73.2,,,OpenPlay,False,False
Pass,14,2,363686,13,Unsuccessful,54.7,8.9,55.4,9.5,OpenPlay,False,False
BlockedPass,14,2,16954,45,Successful,47.7,84.1,,,OpenPlay,False,False
BallTouch,14,3,363686,13,Successful,55.1,8.6,,,OpenPlay,False,False
Pass,14,13,105995,45,Successful,28.5,100.0,12,68.5,ThrowIn,False,False
Pass,14,18,66424,45,Successful,14.6,69.1,22.6,86.6,OpenPlay,False,False
Pass,14,22,16954,45,Successful,30.1,87.1,52.5,56.1,OpenPlay,False,False
Pass,14,28,299460,45,Successful,66.8,33.1,76.3,12.9,OpenPlay,False,False
Pass,14,31,94934,45,Successful,78.5,16.8,75.6,30.3,ShotAssist,False,False
SavedShot,14,32,110165,45,Successful,77.1,30.9,,,OpenPlay,False,False
Save,14,32,27586,13,Successful,13.5,56.1,,,OpenPlay,False,False
BallRecovery,14,35,89401,13,Successful,24.9,57.5,,,OpenPlay,False,False
Pass,14,36,89401,13,Successful,24.9,57.5,27.1,36.6,OpenPlay,False,False
Pass,14,38,248109,13,Unsuccessful,27.1,36.6,32.4,22.8,OpenPlay,False,False
BallRecovery,14,39,83659,45,Successful,68.8,74.7,,,OpenPlay,False,False
MissedShots,14,41,83659,45,Successful,74.7,75.3,,,OpenPlay,False,False
Pass,15,8,102248,13,Unsuccessful,5.2,59.9,66.8,66.4,OpenPlay,False,False
Aerial,15,12,44120,13,Unsuccessful,63.9,67.2,,,OpenPlay,False,False
Aerial,15,12,23199,45,Successful,36.1,32.8,,,OpenPlay,False,False
Pass,15,13,23199,45,Unsuccessful,39.0,32.1,53.1,17.3,OpenPlay,False,False
Pass,15,16,110260,13,Successful,45.6,72.4,54.9,65.7,OpenPlay,False,False
Pass,15,18,342563,13,Successful,53.7,69.6,62.2,97.1,OpenPlay,False,False
Pass,15,21,44120,13,Successful,61.8,97.2,75.7,97.1,OpenPlay,False,False
Pass,15,24,367185,13,Unsuccessful,75.1,97.1,73.5,88.9,OpenPlay,False,False
Pass,15,26,16954,45,Unsuccessful,30.0,15.9,33.9,15.9,OpenPlay,False,False
Challenge,15,27,110165,45,Unsuccessful,33.0,17.6,,,OpenPlay,False,False
TakeOn,15,27,367185,13,Successful,67.0,82.4,,,OpenPlay,False,False
Pass,15,28,367185,13,Unsuccessful,70.3,76.1,91.6,66.3,OpenPlay,False,False
Interception,15,31,66424,45,Successful,7.8,33.9,,,OpenPlay,False,False
KeeperPickup,15,32,66424,45,Successful,11.5,28.5,,,OpenPlay,False,False
BallTouch,15,39,66424,45,Successful,10.1,34.3,,,OpenPlay,False,False
Pass,16,58,110260,13,Successful,53.0,100.0,48.5,80.5,ThrowIn,False,False
BallTouch,17,2,27586,13,Successful,48.5,80.5,,,OpenPlay,False,False
KeeperPickup,17,7,66424,45,Successful,6.6,45.2,,,OpenPlay,False,False
Pass,17,10,66424,45,Successful,9.8,46.7,21.6,25.2,OpenPlay,False,False
Pass,17,16,16954,45,Successful,35.6,17.6,37.2,27,OpenPlay,False,False
Pass,17,18,110165,45,Successful,36.9,26.1,25.7,22.8,OpenPlay,False,False
Pass,17,20,16954,45,Successful,25.7,22.8,21.5,51.8,OpenPlay,False,False
Pass,17,25,66424,45,Successful,24.4,56.6,53.9,81.1,OpenPlay,False,False
Pass,17,27,299460,45,Successful,54.3,81.1,67.3,92,OpenPlay,False,False
Pass,17,28,105995,45,Successful,67.3,92.0,65.6,74.5,OpenPlay,False,False
Pass,17,30,299460,45,Successful,71.9,72.9,85.9,75.1,BigChanceCreated,False,False
MissedShots,17,34,105995,45,Successful,96.2,64.3,,,OpenPlay,False,False
Pass,18,5,102248,13,Unsuccessful,5.2,48.8,69.5,58.4,OpenPlay,False,False
Aerial,18,7,44120,13,Unsuccessful,67.6,61.2,,,OpenPlay,False,False
Aerial,18,7,23199,45,Successful,32.4,38.8,,,OpenPlay,False,False
Clearance,18,8,23199,45,Successful,34.2,36.1,52.1,41,OpenPlay,False,False
Pass,18,10,89401,13,Unsuccessful,49.1,60.2,55.9,56.7,OpenPlay,False,False
Foul,18,12,248109,13,Unsuccessful,55.4,57.2,,,OpenPlay,False,False
Foul,18,12,317630,45,Successful,44.6,42.8,,,OpenPlay,False,False
Pass,18,16,105995,45,Successful,45.4,52.6,54.3,52.8,OpenPlay,False,False
Pass,18,17,344166,45,Successful,63.0,56.7,80.8,73.2,ShotAssist,False,False
