Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Pass,3,50,105171,23,Successful,14.8,72.3,19.8,95.6,OpenPlay,False,False
BallRecovery,3,52,24711,23,Successful,19.8,95.6,,,OpenPlay,False,False
Pass,3,53,24711,23,Successful,19.8,95.6,15.4,88.6,OpenPlay,False,False
Pass,3,55,70099,23,Unsuccessful,16.2,80.8,18.5,81,OpenPlay,False,False
BallTouch,3,56,345845,13,Successful,79.5,17.0,,,OpenPlay,False,False
Dispossessed,3,59,135891,23,Successful,31.8,81.0,,,OpenPlay,False,False
Tackle,3,59,13756,13,Unsuccessful,68.2,19.0,,,OpenPlay,False,False
Pass,4,0,135891,23,Successful,35.1,83.8,32.4,87.8,OpenPlay,False,False
Pass,4,1,137521,23,Successful,32.4,87.8,40.9,97.7,OpenPlay,False,False
Pass,4,2,24711,23,Successful,46.1,97.5,54,98,OpenPlay,False,False
Pass,4,9,201755,23,Successful,91.3,82.9,89,35.8,OpenPlay,False,False
Tackle,4,12,367185,13,Unsuccessful,10.8,58.4,,,OpenPlay,False,False
TakeOn,4,12,114323,23,Unsuccessful,89.2,41.6,,,OpenPlay,False,False
BallTouch,4,13,114323,23,Successful,89.5,40.1,,,OpenPlay,False,False
Clearance,4,14,44120,13,Successful,9.1,57.9,0,71.9,OpenPlay,False,False
CornerAwarded,4,15,114323,23,Successful,90.3,41.1,,,OpenPlay,False,False
CornerAwarded,4,15,44120,13,Unsuccessful,9.7,58.9,,,OpenPlay,False,False
Pass,4,42,114323,23,Unsuccessful,99.6,0.4,90.6,47.6,CornerTaken,False,False
Clearance,4,44,80921,13,Successful,8.2,50.4,39.7,46.1,OpenPlay,False,False
Pass,4,48,24711,23,Successful,60.3,56.7,61.3,72.7,OpenPlay,False,False
Pass,4,50,137521,23,Successful,60.9,81.4,67.9,96.6,OpenPlay,False,False
Pass,4,53,201755,23,Successful,72.2,94.0,56.8,96.2,OpenPlay,False,False
Pass,4,55,137521,23,Unsuccessful,57.1,96.5,79.5,60.5,OpenPlay,False,False
Clearance,4,58,80921,13,Successful,18.5,41.2,26.7,28.9,OpenPlay,False,False
Pass,5,2,201755,23,Successful,69.8,57.2,79.9,17.1,OpenPlay,False,False
Challenge,5,11,89401,13,Unsuccessful,4.7,80.5,,,OpenPlay,False,False
