eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType_displayName,cardType_value,isGoal,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,Assist
12.0,0,1513468103.0,False,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'ThrowIn', 'value': 107}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '85.6'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '88.3'}]","[211, 34, 37, 216]",38.0,13,90.2,100.0,Successful,1,FirstHalf,1,Pass,1,85.6,88.3,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
13.0,0,471698731.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '98.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.1'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '89.1'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '7.6'}]","[90, 118, 116, 29, 204, 35, 36, 216, 217]",39.0,13,85.6,88.3,Successful,1,FirstHalf,1,Pass,1,89.1,98.1,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
14.0,0,1513389247.0,True,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '3.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '95.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '85.9'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}]","[90, 118, 116, 29, 204, 34, 37, 216, 217]",40.0,13,89.1,98.1,Successful,1,FirstHalf,1,Pass,1,85.9,95.6,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
15.0,0,1051400215.0,True,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '9.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '100.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '77.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.8'}]","[90, 119, 28, 34, 36, 216, 217]",42.0,13,86.5,96.4,Unsuccessful,0,FirstHalf,1,Pass,1,77.6,100.0,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
,1,1836814376.1,False,1,[],[60],,13,85.8,23.6,Unsuccessful,0,FirstHalf,1,OffsideGiven,10000,,,24444.0,,,,,,,,,,,,,,,,,,,,,,,,
10.0,1,890066729.0,False,1,"[{'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '22.3'}, {'type': {'displayName': 'ThrowIn', 'value': 107}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '7.9'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.3'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '43.4'}]","[211, 35, 36, 215]",3.0,167,23.1,0.0,Unsuccessful,0,FirstHalf,1,Pass,1,43.4,7.9,19471.0,,,,,,,,,,,,,,,,,,,,,,,,
18.0,1,530591649.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '68.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '15.5'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '77.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.6'}]","[90, 119, 28, 138, 35, 37, 216, 217]",6.0,13,56.8,91.2,Unsuccessful,0,FirstHalf,1,Pass,1,68.5,77.3,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
11.0,1,1675246298.0,True,1,"[{'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '35.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '22.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.1'}]","[90, 116, 29, 138, 35, 37, 215, 217]",8.0,167,26.9,24.6,Successful,1,FirstHalf,1,Pass,1,35.9,22.2,19119.0,,,,,,,,,,,,,,,,,,,,,,,,
12.0,1,1930589612.0,True,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '43.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.2'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '15.0'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.7'}]","[90, 117, 119, 28, 138, 35, 37, 215, 217]",9.0,167,35.9,22.2,Unsuccessful,0,FirstHalf,1,Pass,1,43.3,15.0,14053.0,,,,,,,,,,,,,,,,,,,,,,,,
19.0,1,535876494.0,True,1,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '86.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '70.9'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '12.1'}, {'type': {'displayName': 'Chipped', 'value': 155}}]","[90, 119, 28, 123, 35, 36, 216, 217]",11.0,13,59.4,84.7,Unsuccessful,0,FirstHalf,1,Pass,1,70.9,86.6,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
