eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType_displayName,cardType_value,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,cardType_$idx,cardType_$len,Assist
3.0,0,1009429791.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '27.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '5.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '29.5'}]","[90, 116, 29, 35, 36, 214, 217]",21.0,259,25.1,22.1,Successful,1,FirstHalf,1,Pass,1,29.5,27.2,34131.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0,839207167.0,False,0,[],[92],22.0,259,31.1,28.0,Successful,1,FirstHalf,1,BallRecovery,49,,,40027.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0,790672723.0,True,0,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '55.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '14.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '38.2'}]","[90, 118, 116, 29, 35, 36, 215, 217]",25.0,259,43.4,28.5,Successful,1,FirstHalf,1,Pass,1,55.8,38.2,40027.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0,1360570338.0,True,0,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '48.3'}, {'type': {'displayName': 'LayOff', 'value': 156}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '11.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '34.7'}]","[90, 116, 29, 34, 37, 215, 217]",26.0,259,58.9,37.7,Successful,1,FirstHalf,1,Pass,1,48.3,34.7,14308.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0,1583658691.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '57.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '34.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '19.3'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]","[90, 116, 29, 34, 36, 215, 217]",29.0,259,46.3,36.4,Successful,1,FirstHalf,1,Pass,1,34.3,57.9,40027.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,0,958065466.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '11.5'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '38.0'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '43.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.1'}]","[90, 116, 29, 35, 37, 215, 217]",30.0,259,33.4,59.0,Successful,1,FirstHalf,1,Pass,1,38.0,43.7,8408.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0,1130412223.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '22.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '25.9'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.5'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '58.5'}]","[90, 118, 116, 29, 35, 37, 215, 217]",35.0,259,43.5,49.9,Successful,1,FirstHalf,1,Pass,1,58.5,25.9,40027.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0,1980317378.0,True,0,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]","[90, 68]",37.0,259,61.8,21.3,Unsuccessful,0,FirstHalf,1,BallTouch,61,,,69346.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,0,1317347343.0,False,0,[],[92],37.0,13,35.1,88.0,Successful,1,FirstHalf,1,BallRecovery,49,,,23072.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,0,1888881028.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '78.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '6.5'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '36.1'}]","[90, 116, 29, 35, 37, 215, 217]",38.0,13,35.1,88.0,Successful,1,FirstHalf,1,Pass,1,36.1,78.5,23072.0,,,,,,,,,,,,,,,,,,,,,,,,,,
