,PC-1,PC-2,Player,Clusters
0,-1.0148627829596726,1.294933866988278,Harry Maguire,2
1,-1.0157392239208127,0.20778334452433378,Victor Lindelöf,0
2,1.2365642022461225,-0.3778920217918268,Aaron Wan-Bissaka,1
3,0.7659069840402153,0.41552287870379967,Luke Shaw,1
4,1.2828736708347033,0.05431079237662053,Ashley Young,1
5,1.3410047100630906,0.2416553181239188,Brandon Williams,1
6,-0.9367634964741137,0.718317199222316,David Luiz,2
7,-1.2270878475980194,0.021599543584142428,Sokratis,0
8,0.8308135244733351,-0.5546065315949922,Sead Kolasinac,1
9,0.24883310272905018,1.0785990711936464,Calum Chambers,2
10,1.125097042352594,-0.40614813794493515,Héctor Bellerín,1
11,-1.7428954879009673,1.2325766321185954,Shkodran Mustafi,2
12,-0.9960489182623893,-0.4580736585318385,Federico Fernández,0
13,-1.3535076506595671,-0.6843708219421274,Jamaal Lascelles,0
14,0.8912755475917519,-0.7145756088502757,Jetro Willems,1
15,-0.3429877997848842,0.6365996804640007,Fabian Schär,2
16,-0.6019041979884455,-1.110654593742003,Paul Dummett,3
17,-1.39118640951643,-0.7806132763957263,Ciaran Clark,0
18,0.47512851175642656,-1.66426316211966,Javier Manquillo,3
19,0.41821197528827503,-1.3891285968976597,DeAndre Yedlin,3
20,-0.25856332137766797,-1.2836598818430722,Emil Krafth,3
21,-1.0135857728631512,0.5858514338194262,Toby Alderweireld,2
22,1.8570472695529974,-0.38548333811148305,Serge Aurier,1
23,-1.0248887595260272,-0.1652380933675939,Davinson Sánchez,0
24,-0.6571990368855783,-0.01719187339620327,Jan Vertonghen,0
25,0.695493574197768,-0.7654183912231722,Danny Rose,3
26,0.7561056775621101,-0.6546735839395932,Ben Davies,1
27,-0.11924811771862602,-1.0781789961324386,Japhet Tanganga,3
28,-1.5050285209856298,-0.2775759527147832,Tyrone Mings,0
29,1.1915568292647534,-1.026555814614331,Frederic Guilbert,1
30,1.0038078493814755,-0.6577041075583758,Matt Targett,1
31,-1.772957612469596,-0.2919768845770741,Björn Engels,0
32,-0.9094572903037577,-0.6372218272112009,Ezri Konsa Ngoyo,0
33,-1.4111523848399705,0.3895724877860224,Kortney Hause,0
34,-0.1526572454913704,-1.2383113409559363,Neil Taylor,3
35,1.0247793786617743,-0.49564955594240956,Ahmed El Mohamady,1
36,1.2202274948023972,1.0380479773853124,César Azpilicueta,4
37,-1.3761544472718306,1.3537456046857042,Kurt Zouma,2
38,-0.6806157834501475,1.2649694864610719,Fikayo Tomori,2
39,-1.0217117392037616,0.5076355275979116,Andreas Christensen,0
40,-0.9358184654832913,1.7692363753170968,Antonio Rüdiger,2
41,2.444182535183013,1.1136839528524978,Reece James,4
42,1.963776769099609,1.0476561140642822,Emerson,4
43,2.562838101548425,2.68529082552855,Marcos Alonso,4
44,2.3108825367858135,0.13008906882618726,Lucas Digne,4
45,-1.4974954074722284,1.4058038158728667,Yerry Mina,2
46,-1.4414728384975528,0.3519672960076066,Michael Keane,0
47,-0.5651295712172176,0.16967961599468276,Mason Holgate,0
48,1.8269640807281335,-0.10220242245952309,Djibril Sidibé,1
49,1.172264374808598,-0.20721467827746146,Séamus Coleman,1
50,-1.3545869895074945,1.1174202034304805,Jonny Evans,2
51,1.8987674786513813,0.429174490818684,Ricardo Pereira,4
52,-1.1035234545028532,0.6945356679912137,Çaglar Söyüncü,2
53,1.7783893808075677,0.6347057922309395,Ben Chilwell,4
54,0.41492155854237733,0.6825475807851302,Christian Fuchs,1
55,-1.4432736933160886,2.3579039660428047,Virgil van Dijk,2
56,3.0026998581152413,1.971487278431579,Trent Alexander-Arnold,4
57,2.1739928622518274,1.2014134750881966,Andrew Robertson,4
58,-0.5861722817559772,1.2067552579688283,Joseph Gomez,2
59,-1.4076342557892534,1.4794499610283367,Dejan Lovren,2
60,-1.132212027484293,1.2106626158669227,Joel Matip,2
61,-1.1782881275141401,-0.6751396446041158,Jan Bednarek,0
62,1.4351220288695863,-0.08753615224975367,Ryan Bertrand,1
63,-0.8203103718360291,-0.07766662059576172,Jack Stephens,0
64,0.8350589533407449,-0.4535288775511335,Cédric Soares,1
65,-1.1751300105124693,0.26215541197825143,Jannik Vestergaard,0
66,0.7931959676339604,-1.3027523656375104,Yan Valery,3
67,-1.1660361488490936,-0.09004647132120987,Maya Yoshida,0
68,-1.3026228231684542,-0.693535067054229,Angelo Ogbonna,0
69,0.9070341156017825,-0.03657353701028521,Aaron Cresswell,1
70,-1.4671584994617093,-0.578176154218691,Issa Diop,0
71,0.6627768247306136,-1.3146805657905818,Ryan Fredericks,3
72,-1.3505463921851673,0.31578453697554987,Fabián Balbuena,0
73,1.6103830089885995,-0.5896696585563252,Arthur Masuaku,1
74,0.1434685814815089,-1.3461809285292852,Pablo Zabaleta,3
75,1.0002019830787752,0.35762092214354835,Patrick van Aanholt,1
76,-1.3024495989367908,-0.12195562293285679,Gary Cahill,0
77,-1.3981627374928187,-0.29646032649348447,James Tomkins,0
78,-0.08071198111204159,-0.8893427307706567,Joel Ward,3
79,-0.48586164993588754,-1.0948797027847792,Martin Kelly,3
80,1.9413884714337037,-0.040448448687160514,Jeffrey Schlupp,1
81,-1.234602786978691,-0.4798295145277369,Scott Dann,0
82,-0.9177950571855856,1.7608147975864223,Lewis Dunk,2
83,0.3805948458842822,-0.059113207231965025,Dan Burn,1
84,-0.8538765629826299,0.9044084313700227,Adam Webster,2
85,1.2884732059907222,-0.17933322451278075,Martín Montoya,1
86,-1.160933099741627,0.21163032967767825,Shane Duffy,0
