Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
682,Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
683,Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,16.9,48,32,14,25,9,10,32,31.3,22,318,95,29.9,113,169,36,23,1,0,22,36,84,19,3,Matches
684,Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,1,1,0,1,0,0,0,,0,14,2,14.3,4,6,4,1,0,0,1,0,1,0,0,Matches
685,Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,79,45,35,39,5,27,67,40.3,40,405,120,29.6,180,169,56,88,24,0,64,49,128,131,0,Matches
686,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,35,19,24,10,1,13,21,61.9,8,199,64,32.2,123,67,9,54,20,0,34,35,70,98,1,Matches
687,Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,25,14,13,10,2,6,22,27.3,16,204,54,26.5,92,93,19,26,11,0,15,19,44,78,0,Matches
688,Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,87,39,58,22,7,30,67,44.8,37,496,133,26.8,249,156,91,69,10,0,59,46,133,145,1,Matches
689,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,30,20,20,9,1,6,15,40.0,9,133,46,34.6,84,37,12,32,16,1,16,35,65,259,2,Matches
690,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,16,10,8,6,2,8,12,66.7,4,113,38,33.6,50,48,15,21,1,0,20,10,26,27,1,Matches
691,Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,15,6,9,3,3,6,21,28.6,15,205,48,23.4,74,84,47,45,1,0,44,18,33,5,0,Matches
692,Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,5.8,10,6,3,5,2,5,12,41.7,7,86,28,32.6,23,38,25,8,2,0,6,4,14,18,0,Matches
693,Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,1,1,0,1,0,0,0,,0,8,5,62.5,5,2,1,1,0,0,1,1,2,1,0,Matches
694,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,11,7,2,6,3,2,19,10.5,17,212,57,26.9,28,124,60,11,0,0,11,5,16,2,0,Matches
695,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,8,8,0,6,2,2,9,22.2,7,170,50,29.4,3,85,82,3,0,0,3,1,9,0,0,Matches
696,Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,32,16,22,10,0,15,32,46.9,17,243,84,34.6,156,79,8,47,21,0,26,46,78,190,3,Matches
697,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,43,27,10,27,6,15,44,34.1,29,414,113,27.3,92,254,68,37,8,0,29,36,79,50,1,Matches
698,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,1,1,0,1,0,0,1,0.0,1,24,3,12.5,11,13,0,3,0,0,3,0,1,2,0,Matches
699,Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,34,23,23,10,1,13,25,52.0,12,187,61,32.6,111,64,12,44,25,0,19,25,59,155,1,Matches
700,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,9,8,4,4,1,5,11,45.5,6,78,30,38.5,37,35,6,8,1,0,7,10,19,48,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
701,Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,51,28,35,16,0,15,28,53.6,13,275,101,36.7,163,102,10,24,9,0,15,35,86,232,0,Matches
702,Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,29,18,18,6,5,8,23,34.8,15,265,79,29.8,67,120,78,24,2,0,22,10,39,12,0,Matches
703,Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,9.5,29,13,20,9,0,4,15,26.7,11,169,41,24.3,109,55,5,41,22,0,19,16,45,55,1,Matches
704,Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,65,40,40,24,1,25,41,61.0,16,304,105,34.5,167,126,11,30,10,0,20,52,117,138,1,Matches
705,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,30.9,55,25,22,32,1,28,53,52.8,25,368,131,35.6,168,180,20,38,17,0,21,49,104,157,1,Matches
706,Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,0,3,1,0,0,0,0,0,0,0,0,Matches
707,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,0,0,0,0,0,0,3,0.0,3,5,0,0.0,5,0,0,1,0,0,1,4,4,2,0,Matches
708,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,65,33,36,25,4,26,50,52.0,24,379,107,28.2,181,141,57,64,5,0,59,38,103,78,1,Matches
709,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,16,8,1,4,11,9,25,36.0,16,379,87,23.0,17,154,208,18,4,0,14,9,25,28,0,Matches
710,Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,3,1,1,1,1,1,5,20.0,4,53,19,35.8,11,25,17,2,0,0,2,1,4,0,0,Matches
711,Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,0,0,0,0,1,1,0,2,Matches
712,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,7.8,22,16,15,6,1,11,26,42.3,15,235,72,30.6,75,128,32,14,1,0,13,11,33,9,0,Matches
713,Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,19.6,32,25,22,6,4,11,35,31.4,24,182,57,31.3,95,58,29,36,12,1,24,26,58,40,1,Matches
714,Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,0,0,0,0,0,0,1,0.0,1,19,3,15.8,1,7,11,1,0,0,1,0,0,1,0,Matches
715,Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,5,3,4,0,1,1,11,9.1,10,106,23,21.7,10,55,41,3,0,0,3,1,6,4,0,Matches
716,Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.7,13,7,2,7,4,3,16,18.8,13,345,66,19.1,30,144,171,10,1,0,9,5,18,2,0,Matches
717,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,35.6,0,0,0,0,0,0,2,0.0,2,6,2,33.3,6,0,0,0,0,0,0,3,3,1,4,Matches
718,Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,44,31,31,10,3,14,24,58.3,10,184,72,39.1,118,56,10,40,14,0,26,26,70,139,0,Matches
719,Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,36,22,11,19,6,12,33,36.4,21,324,77,23.8,86,141,97,32,2,0,30,13,49,9,0,Matches
720,Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,8,4,0,4,4,1,7,14.3,6,204,60,29.4,6,92,106,10,3,0,7,4,12,24,0,Matches
721,Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,70,49,29,30,11,16,60,26.7,44,949,239,25.2,270,463,216,59,9,0,50,32,102,45,0,Matches
722,Mamadou Doucouré,fr FRA,MF,M'Gladbach,de Bundesliga,21,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
723,Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,21,14,7,10,4,8,26,30.8,18,277,69,24.9,47,161,69,19,1,0,18,12,33,9,0,Matches
724,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,10,4,7,2,1,5,9,55.6,4,59,18,30.5,35,18,6,14,0,0,14,4,14,13,0,Matches
725,Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,2,0,2,0,0,1,1,100.0,0,12,4,33.3,4,7,1,3,2,0,1,0,2,2,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
726,Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,0,Matches
727,Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,37,26,25,8,4,13,41,31.7,28,304,99,32.6,154,107,43,39,5,0,34,19,56,43,1,Matches
728,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,22,15,12,9,1,9,20,45.0,11,108,39,36.1,59,42,7,24,5,0,19,14,36,59,0,Matches
729,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,2,2,0,0,Matches
730,Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,12,8,2,8,2,5,14,35.7,9,135,45,33.3,28,68,39,13,2,0,11,10,22,3,0,Matches
731,Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,31,19,11,15,5,8,28,28.6,20,385,113,29.4,96,179,110,26,4,0,22,23,54,16,0,Matches
732,Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,9,5,6,2,1,1,13,7.7,12,106,22,20.8,36,58,12,3,0,0,3,5,14,4,1,Matches
733,Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,2,2,1,1,0,0,1,0.0,1,23,5,21.7,10,10,3,1,0,0,1,1,3,0,0,Matches
734,Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,4,3,2,1,1,1,11,9.1,10,133,35,26.3,24,54,55,8,0,0,8,1,5,5,1,Matches
735,Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,35,21,27,8,0,7,16,43.8,9,209,75,35.9,125,82,2,49,24,0,25,31,66,234,0,Matches
736,Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.5,5,1,2,2,1,1,3,33.3,2,53,12,22.6,36,16,1,12,6,0,6,3,8,12,0,Matches
737,Óscar Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,11,7,10,1,0,2,3,66.7,1,49,19,38.8,34,14,1,11,6,0,5,7,18,45,1,Matches
738,Rubén Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,69,38,41,23,5,30,55,54.5,25,348,104,29.9,153,149,46,62,9,0,53,46,115,128,1,Matches
739,Edgaras Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
740,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,31,21,20,10,1,12,26,46.2,14,238,72,30.3,133,67,38,26,5,0,21,17,48,38,0,Matches
741,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,0,0,0,0,0,0,1,0.0,1,9,0,0.0,9,0,0,2,0,0,2,1,1,1,3,Matches
742,Ondrej Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,19,15,10,6,3,7,20,35.0,13,197,54,27.4,52,105,40,18,2,0,16,6,25,7,0,Matches
743,Ondrej Duda,sk SVK,"MF,FW",Hertha BSC,de Bundesliga,24,1994,5.0,5,3,0,4,1,0,12,0.0,12,116,21,18.1,19,70,27,5,1,0,4,5,10,7,0,Matches
744,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,16,9,10,5,1,4,18,22.2,14,100,34,34.0,71,27,2,21,8,0,13,21,37,116,0,Matches
745,Haris Duljević,ba BIH,"FW,MF",Nîmes,fr Ligue 1,25,1993,5.8,12,9,5,3,4,3,12,25.0,9,102,38,37.3,16,50,36,7,0,0,7,2,14,1,0,Matches
746,Paul Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,28,6,18,6,4,12,20,60.0,8,163,40,24.5,97,58,8,42,10,0,32,19,47,72,0,Matches
747,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,9.9,13,7,11,2,0,4,18,22.2,14,152,50,32.9,55,67,30,8,1,0,7,5,18,10,0,Matches
748,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,18,11,6,7,5,7,21,33.3,14,171,47,27.5,57,80,34,12,0,0,12,10,28,19,0,Matches
749,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,43,28,31,12,0,13,41,31.7,28,248,107,43.1,164,72,12,71,37,3,34,54,97,162,1,Matches
750,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,14,8,7,4,3,5,15,33.3,10,136,35,25.7,58,44,34,15,2,0,13,4,18,14,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
751,Riza Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,1,1,0,1,0,1,1,100.0,0,15,5,33.3,3,9,3,3,1,0,2,2,3,4,1,Matches
752,Hugo Duro,es ESP,"FW,MF",Getafe,es La Liga,19,1999,4.2,5,2,2,1,2,2,8,25.0,6,98,29,29.6,5,55,38,4,0,0,4,1,6,2,0,Matches
753,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,22,1997,13.1,17,11,9,7,1,7,18,38.9,11,155,58,37.4,85,63,7,35,9,0,26,21,38,71,1,Matches
754,Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,25,1993,23.9,24,18,7,11,6,8,32,25.0,24,401,111,27.7,34,158,209,26,0,0,26,13,37,2,0,Matches
755,Edin Džeko,ba BIH,FW,Roma,it Serie A,33,1986,31.7,17,11,2,7,8,1,12,8.3,11,280,80,28.6,15,126,139,12,3,0,9,6,23,34,0,Matches
756,Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,18,16,4,11,3,7,27,25.9,20,196,51,26.0,61,104,31,15,3,0,12,7,25,10,0,Matches
757,Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,27,20,18,9,0,7,21,33.3,14,213,87,40.8,157,54,2,50,28,0,22,42,69,177,1,Matches
758,Simone Edera,it ITA,"MF,FW",Torino,it Serie A,22,1997,4.4,12,7,4,7,1,2,13,15.4,11,89,27,30.3,29,42,18,2,1,0,1,1,13,4,0,Matches
759,Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,1,1,1,0,0,1,2,50.0,1,7,2,28.6,7,0,0,0,0,0,0,2,3,2,4,Matches
760,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,45,27,32,13,0,21,45,46.7,24,296,101,34.1,209,80,7,73,33,0,40,56,101,270,4,Matches
761,Johannes Eggestein,de GER,"MF,FW",Werder Bremen,de Bundesliga,21,1998,5.7,9,5,4,2,3,4,17,23.5,13,178,52,29.2,60,70,48,9,0,0,9,3,12,5,0,Matches
762,Maximilian Eggestein,de GER,"MF,DF",Werder Bremen,de Bundesliga,22,1996,31.7,51,32,21,25,5,12,42,28.6,30,559,151,27.0,209,250,100,58,10,0,48,37,88,54,2,Matches
763,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,93,51,56,30,7,31,52,59.6,21,442,125,28.3,220,173,49,50,7,1,43,39,132,93,2,Matches
764,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,58,44,21,34,3,19,74,25.7,55,507,151,29.8,170,278,59,48,13,0,35,31,89,52,1,Matches
765,Harvey Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
766,Elif Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,12.6,16,10,5,6,5,6,24,25.0,18,251,69,27.5,67,116,68,17,1,0,16,11,27,6,0,Matches
767,Ilay Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,1,1,1,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,1,0,0,Matches
768,Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,25,17,17,6,2,10,22,45.5,12,109,28,25.7,56,40,13,11,5,0,6,13,38,29,0,Matches
769,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,31,13,19,11,1,13,26,50.0,13,140,39,27.9,75,59,6,28,9,0,19,16,47,122,0,Matches
770,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,22,1996,29.1,56,37,44,12,0,15,33,45.5,18,272,115,42.3,178,90,4,49,15,1,34,65,121,136,0,Matches
771,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,27,16,18,9,0,10,27,37.0,17,160,49,30.6,112,47,1,38,20,0,18,39,66,178,1,Matches
772,Adri Embarba,es ESP,"MF,FW",Espanyol,es La Liga,27,1992,15.2,28,18,16,8,4,12,34,35.3,22,322,95,29.5,85,144,93,37,4,0,33,16,44,6,0,Matches
773,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,de Bundesliga,22,1997,17.2,23,15,3,14,6,6,17,35.3,11,395,95,24.1,31,185,179,15,1,0,14,8,31,5,0,Matches
774,Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,83,45,54,23,6,25,73,34.2,48,470,118,25.1,223,164,83,57,9,0,48,33,116,80,0,Matches
775,Renaud Emond,be BEL,"FW,MF",Nantes,fr Ligue 1,27,1991,3.2,5,4,0,4,1,0,1,0.0,1,79,25,31.6,9,39,31,5,1,0,4,0,5,5,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
776,Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,20,13,16,4,0,8,12,66.7,4,100,38,38.0,59,32,9,23,12,0,11,25,45,44,0,Matches
777,Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,8,5,2,0,6,2,17,11.8,15,295,50,16.9,25,155,115,17,2,0,15,4,12,19,0,Matches
778,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,8,6,1,7,0,1,9,11.1,8,191,52,27.2,28,91,72,8,2,0,6,5,13,7,0,Matches
779,Björn Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,9,4,7,2,0,5,11,45.5,6,81,29,35.8,54,26,1,26,19,0,7,29,38,111,2,Matches
780,Sergi Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,21,17,5,8,8,0,13,0.0,13,446,137,30.7,25,175,246,30,4,0,26,10,31,13,0,Matches
781,Javier Eraso,es ESP,"MF,FW",Leganés,es La Liga,29,1990,9.1,9,8,3,4,2,4,16,25.0,12,200,51,25.5,48,98,54,15,0,0,15,8,17,10,0,Matches
782,Christian Eriksen,dk DEN,"MF,FW",Tottenham,eng Premier League,27,1992,12.2,19,12,12,6,1,5,23,21.7,18,260,55,21.2,83,126,51,19,1,0,18,11,30,11,0,Matches
783,Christian Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,9,6,1,7,1,2,19,10.5,17,109,24,22.0,9,61,39,4,0,0,4,0,9,0,0,Matches
784,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,41,29,13,24,4,17,38,44.7,21,323,101,31.3,79,189,55,35,5,0,30,31,72,31,0,Matches
785,Aarón Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
786,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,26,13,15,10,1,13,22,59.1,9,124,38,30.6,51,56,17,19,1,0,18,16,42,36,0,Matches
787,Espeto,br BRA,"DF,MF",SPAL,it Serie A,22,1997,23.4,67,39,27,29,11,24,55,43.6,31,563,141,25.0,169,257,137,44,3,0,41,22,89,23,1,Matches
788,Bernardo Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,27,19,19,6,2,11,29,37.9,18,172,70,40.7,104,59,9,31,11,0,20,24,51,174,1,Matches
789,Sebastiano Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,3,3,0,2,1,0,4,0.0,4,79,24,30.4,6,33,40,5,1,0,4,3,6,0,0,Matches
790,Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,0,0,0,0,0,0,0,,0,4,1,25.0,1,3,0,1,0,0,1,0,0,0,0,Matches
791,Alexander Esswein,de GER,"FW,MF",Hertha BSC,de Bundesliga,29,1990,2.4,8,3,5,3,0,1,8,12.5,7,66,12,18.2,26,25,15,9,1,0,8,6,14,8,2,Matches
792,Pervis Estupiñán,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,87,57,58,24,5,37,72,51.4,35,497,167,33.6,236,197,64,58,8,1,50,63,150,86,2,Matches
793,Oghenekaro Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,19,13,9,7,3,6,12,50.0,6,117,36,30.8,42,60,15,10,1,0,9,12,31,15,1,Matches
794,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,7,4,2,3,2,1,10,10.0,9,82,19,23.2,21,52,9,8,1,0,7,2,9,8,0,Matches
795,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,22,11,8,13,1,9,20,45.0,11,140,46,32.9,55,71,14,21,6,0,15,16,38,158,0,Matches
796,Antony Evans,eng ENG,"MF,DF",Paderborn 07,de Bundesliga,20,1998,1.7,7,4,2,4,1,1,5,20.0,4,43,11,25.6,17,14,12,3,0,0,3,2,9,3,0,Matches
797,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,48,31,31,16,1,27,42,64.3,15,278,111,39.9,178,80,20,53,21,0,32,58,106,271,4,Matches
798,Edu Expósito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,56,41,11,29,16,16,58,27.6,42,480,148,30.8,103,290,87,28,6,0,22,38,94,36,0,Matches
799,Valentin Eysseric,fr FRA,"MF,FW",Hellas Verona,it Serie A,27,1992,3.9,4,1,2,1,1,0,3,0.0,3,64,14,21.9,9,32,23,2,0,0,2,2,6,3,0,Matches
800,Valentin Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,0,0,0,0,0,0,0,,0,16,2,12.5,3,11,2,1,0,0,1,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
801,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,0,0,0,0,0,0,3,0.0,3,10,2,20.0,10,0,0,0,0,0,0,1,1,2,2,Matches
802,Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,77,53,27,37,13,26,65,40.0,39,428,139,32.5,149,219,60,36,2,0,34,35,112,34,0,Matches
803,Fábio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,37,24,21,16,0,30,48,62.5,18,139,49,35.3,67,57,15,15,4,0,11,16,53,43,0,Matches
804,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,13,9,6,4,3,4,22,18.2,18,217,60,27.6,48,101,68,11,1,0,10,8,21,6,0,Matches
805,Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
806,Ralf Fährmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
807,Fayçal Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,1,1,0,1,0,0,6,0.0,6,75,24,32.0,13,41,21,7,0,0,7,3,4,8,0,Matches
808,Luca Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
809,Filippo Falco,it ITA,"FW,MF",Lecce,it Serie A,27,1992,22.4,19,15,3,8,8,4,16,25.0,12,236,56,23.7,55,117,64,13,1,0,12,5,24,1,0,Matches
810,Eliseo Falcon,es ESP,"DF,MF",Levante,es La Liga,22,1997,0.8,1,0,1,0,0,0,1,0.0,1,7,1,14.3,1,6,0,0,0,0,0,0,1,3,0,Matches
811,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,2.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
812,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,1,1,1,0,0,1,2,50.0,1,14,5,35.7,8,6,0,5,3,0,2,5,6,11,0,Matches
813,Iago Falque,es ESP,"MF,FW",Torino,it Serie A,29,1990,1.1,0,0,0,0,0,0,2,0.0,2,17,5,29.4,5,6,6,4,1,0,3,0,0,0,0,Matches
814,Iago Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.8,3,2,0,1,2,2,10,20.0,8,58,14,24.1,16,28,14,8,0,0,8,1,4,2,0,Matches
815,Akin Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
816,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,1.6,1,1,0,1,0,1,3,33.3,2,45,10,22.2,6,23,16,1,0,0,1,1,2,2,0,Matches
817,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,26,1993,14.9,47,28,25,17,5,21,52,40.4,31,251,73,29.1,101,110,40,37,10,0,27,9,56,69,2,Matches
