Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,21,19,5,14,2,4,11,36.4,7,148,57,38.5,24,104,20,8,1,0,7,16,37,13,0,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,40,26,28,11,1,8,28,28.6,20,304,108,35.5,218,79,7,42,16,0,26,46,86,162,1,Matches
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,49,28,26,19,4,24,49,49.0,25,330,96,29.1,141,131,58,70,9,0,61,42,91,56,1,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,10,7,7,3,0,2,25,8.0,23,164,47,28.7,41,108,15,12,2,0,10,5,15,7,1,Matches
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,32,18,13,11,8,6,24,25.0,18,224,83,37.1,104,83,37,32,1,0,31,20,52,51,0,Matches
35,Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,2,0,0,Matches
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,18,14,3,13,2,3,19,15.8,16,280,75,26.8,19,146,115,11,2,0,9,3,21,23,0,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,44,23,29,13,2,17,30,56.7,13,223,86,38.6,129,83,11,35,11,0,24,32,76,85,3,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,4,2,2,2,0,1,2,50.0,1,15,4,26.7,3,10,2,0,0,0,0,1,5,0,0,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,33,58,176,1,Matches
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,17,13,7,7,3,3,17,17.6,14,140,43,30.7,40,71,29,8,1,0,7,5,22,4,0,Matches
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,27,11,19,8,0,15,32,46.9,17,169,56,33.1,106,54,9,31,10,0,21,12,39,67,1,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,27,17,10,17,0,10,24,41.7,14,208,80,38.5,79,109,20,40,11,0,29,30,57,65,0,Matches
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,48,29,27,12,9,24,49,49.0,25,250,76,30.4,123,82,45,23,2,0,21,21,69,35,2,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,7,2,1,3,3,3,10,30.0,7,185,51,27.6,5,72,108,9,2,0,7,1,8,5,0,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,25,14,10,9,6,8,30,26.7,22,231,68,29.4,89,95,47,40,5,0,35,38,63,42,1,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,52,34,25,21,6,21,87,24.1,66,676,203,30.0,188,322,166,43,1,0,42,24,76,16,0,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,50,33,31,18,1,18,33,54.5,15,278,85,30.6,172,102,4,40,21,0,19,43,93,254,4,Matches
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,23,11,11,11,1,7,29,24.1,22,192,66,34.4,46,95,51,18,1,0,17,8,31,6,0,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,2,2,2,0,1,12,8.3,11,146,43,29.5,18,67,61,10,2,0,8,2,6,9,0,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,2,2,0,2,0,1,8,12.5,7,88,22,25.0,4,39,45,3,1,0,2,1,3,2,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,54,38,19,29,6,14,40,35.0,26,292,101,34.6,68,167,57,21,4,0,17,46,100,19,1,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,59,36,34,20,5,23,61,37.7,38,444,130,29.3,184,232,28,57,20,0,37,15,74,68,0,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,26,70,229,3,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,44,28,24,17,3,20,50,40.0,30,374,105,28.1,170,160,44,55,13,1,42,34,78,98,1,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,1,0,0,1,0,0,0,,0,21,6,28.6,1,8,12,1,0,0,1,0,1,0,0,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2,1,1,1,0,1,5,20.0,4,38,6,15.8,10,21,7,2,0,0,2,0,2,1,0,Matches
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,20,11,4,10,6,7,20,35.0,13,136,26,19.1,34,68,34,9,2,0,7,1,21,4,0,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,1,1,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,58,25,37,15,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,46,104,98,2,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,13,11,2,8,3,4,13,30.8,9,373,84,22.5,10,213,150,4,0,0,4,3,16,10,0,Matches
