,Player,Pos,Squad,Comp,Age,90s,Drib,Fld,Att,Touches,Drib+Fld,drib-ptouch
850,Thomas Foket,DF,Reims,fr Ligue 1,23,32.0,0.03125,0.0,1.03125,54.25,0.03125,0.0005940380184331798
852,José Fonte,DF,Lille,fr Ligue 1,34,34.6,0.028901734104046242,0.0,0.2890173410404624,72.9479768786127,0.028901734104046242,0.00011450766285279812
854,Pablo Fornals,"MF,FW",Villarreal,es La Liga,22,27.5,0.2545454545454545,0.10909090909090909,3.309090909090909,56.90909090909091,0.36363636363636365,0.002114435085681092
860,Ben Foster,GK,Watford,eng Premier League,35,38.0,0.0,0.0,0.0,36.13157894736842,0.0,0.0
862,Dimitri Foulquier,"MF,FW",Getafe,es La Liga,25,20.0,0.25,0.2,2.8,36.75,0.45,0.00380952380952381
866,Mike Frantz,"MF,FW",Freiburg,de Bundesliga,31,24.6,0.08130081300813008,0.16260162601626016,0.4065040650406504,35.609756097560975,0.24390243902439024,0.0004640457363477744
867,Ryan Fraser,"MF,FW",Bournemouth,eng Premier League,24,35.2,0.17045454545454544,0.14204545454545453,1.25,51.335227272727266,0.3125,0.0006917542888765909
871,Remo Freuler,MF,Atalanta,it Serie A,26,33.6,0.05952380952380952,0.05952380952380952,1.5476190476190474,79.43452380952381,0.11904761904761904,0.0005798497743046263
877,Angelo Fulgini,"MF,FW",Angers,fr Ligue 1,21,18.2,0.16483516483516483,0.38461538461538464,3.6263736263736264,58.07692307692308,0.5494505494505495,0.0034308170542796845
879,Ramiro Funes Mori,"DF,MF",Villarreal,es La Liga,27,29.2,0.03424657534246575,0.0,0.684931506849315,53.18493150684932,0.03424657534246575,0.00044103767343806505
882,Mijat Gaćinović,MF,Eint Frankfurt,de Bundesliga,23,18.1,0.055248618784530384,0.11049723756906077,2.707182320441989,45.35911602209944,0.16574585635359115,0.0032974206095517525
886,Riccardo Gagliolo,DF,Parma,it Serie A,28,33.8,0.0,0.02958579881656805,0.38461538461538464,54.023668639053255,0.02958579881656805,0.00021063274075322272
891,Enric Gallego,FW,Huesca,es La Liga,31,17.1,0.23391812865497075,0.17543859649122806,2.39766081871345,36.081871345029235,0.4093567251461988,0.0038859980854350894
893,Kévin Gameiro,FW,Valencia,es La Liga,31,17.9,0.0558659217877095,0.223463687150838,1.6759776536312851,34.30167597765364,0.2793296089385475,0.002729605299073754
894,Idrissa Gana Gueye,MF,Everton,eng Premier League,28,31.4,0.09554140127388536,0.09554140127388536,0.9235668789808917,67.8343949044586,0.1910828025477707,0.0004335994736999492
898,Ezequiel Garay,DF,Valencia,es La Liga,31,23.7,0.0,0.0,0.08438818565400844,55.86497890295359,0.0,6.373730034290668e-05
901,Aleix García,MF,Girona,es La Liga,21,18.5,0.0,0.10810810810810811,1.5135135135135136,70.10810810810811,0.10810810810810811,0.0011669340890620766
902,Álvaro García,"FW,MF",Rayo Vallecano,es La Liga,25,19.6,0.1020408163265306,0.1530612244897959,1.4795918367346939,35.306122448979586,0.25510204081632654,0.002138138492391176
903,Borja García,"FW,MF",Girona,es La Liga,27,29.2,0.20547945205479454,0.2397260273972603,2.328767123287671,58.8013698630137,0.4452054794520548,0.0013563000135630003
904,Dani García,MF,Athletic Club,es La Liga,28,27.5,0.0,0.0,0.32727272727272727,58.872727272727275,0.0,0.00020214498287382784
906,Manu García,MF,Alavés,es La Liga,32,25.9,0.0,0.11583011583011583,0.7335907335907337,48.803088803088805,0.11583011583011583,0.0005803724158154538
907,Manu García,MF,Toulouse,fr Ligue 1,20,20.5,0.14634146341463414,0.24390243902439024,3.1707317073170733,57.21951219512195,0.3902439024390244,0.0027030960846692867
908,Raúl García,"MF,FW",Athletic Club,es La Liga,32,26.3,0.11406844106463879,0.03802281368821293,0.03802281368821293,6.768060836501901,0.1520912547528517,0.0002136113128551288
914,Mario Gaspar,DF,Villarreal,es La Liga,27,28.9,0.10380622837370243,0.0,1.1072664359861593,56.71280276816609,0.10380622837370243,0.0006755743965748378
917,Jean-Philippe Gbamin,MF,Mainz 05,de Bundesliga,22,29.7,0.16835016835016836,0.0,2.8282828282828283,56.26262626262626,0.16835016835016836,0.0016925690175241344
918,David de Gea,GK,Manchester Utd,eng Premier League,27,38.0,0.0,0.0,0.0,30.763157894736842,0.0,0.0
919,Theodor Gebre Selassie,DF,Werder Bremen,de Bundesliga,31,31.3,0.0,0.06389776357827476,0.7348242811501597,64.63258785942492,0.06389776357827476,0.00036323493877911996
923,Christian Gentner,MF,Stuttgart,de Bundesliga,32,22.4,0.044642857142857144,0.08928571428571429,1.3392857142857144,58.080357142857146,0.13392857142857142,0.0010294279125947073
924,Yannick Gerhardt,MF,Wolfsburg,de Bundesliga,24,27.3,0.0,0.14652014652014653,1.1721611721611722,49.67032967032967,0.14652014652014653,0.0008644256431867051
925,Valère Germain,FW,Marseille,fr Ligue 1,28,24.1,0.04149377593360996,0.08298755186721991,0.37344398340248963,35.10373443983402,0.12448132780082986,0.00044142314822989313
926,Gerson,"MF,FW",Fiorentina,it Serie A,21,27.0,0.14814814814814814,0.2222222222222222,1.7407407407407407,54.81481481481482,0.37037037037037035,0.0011761761761761762
927,Gervinho,FW,Parma,it Serie A,31,25.6,0.8203125,0.3515625,6.1328125,33.59375,1.171875,0.007131177325581395
932,Saman Ghoddos,"FW,MF",Amiens,fr Ligue 1,24,20.3,0.09852216748768472,0.29556650246305416,1.773399014778325,41.37931034482759,0.3940886699507389,0.00211118930330753
934,Emanuele Giaccherini,"MF,FW",Chievo,it Serie A,33,22.3,0.04484304932735426,0.22421524663677128,2.10762331838565,59.91031390134529,0.26905829596412556,0.0015775623640611155
939,Niko Gießelmann,DF,Düsseldorf,de Bundesliga,26,28.8,0.034722222222222224,0.20833333333333331,0.798611111111111,57.43055555555556,0.24305555555555555,0.00048283622195351335
941,Matthias Ginter,DF,M'Gladbach,de Bundesliga,24,26.4,0.0,0.0,0.11363636363636365,75.49242424242425,0.0,5.7017743921908504e-05
944,Kamil Glik,DF,Monaco,fr Ligue 1,30,33.0,0.0,0.0,0.06060606060606061,59.63636363636363,0.0,3.0795762503079576e-05
945,Serge Gnabry,"FW,MF",Bayern Munich,de Bundesliga,23,19.6,0.3061224489795918,0.1530612244897959,5.408163265306122,58.5204081632653,0.4591836734693877,0.004715050798000106
947,Eddy Gnahoré,MF,Amiens,fr Ligue 1,24,24.9,0.1606425702811245,0.0,1.3253012048192772,56.626506024096386,0.1606425702811245,0.0009399299324959412
950,Diego Godín,DF,Atlético Madrid,es La Liga,32,27.9,0.0,0.0,0.5734767025089607,48.9247311827957,0.0,0.0004201294523875169
952,Edoardo Goldaniga,DF,Frosinone,it Serie A,24,29.0,0.034482758620689655,0.06896551724137931,0.5172413793103449,49.55172413793103,0.10344827586206896,0.0003599452883161759
953,Pierluigi Gollini,GK,Atalanta,it Serie A,23,20.0,0.0,0.0,0.0,31.65,0.0,0.0
954,Aleksandr Golovin,"MF,FW",Monaco,fr Ligue 1,22,25.4,0.1968503937007874,0.2362204724409449,2.952755905511811,56.102362204724415,0.4330708661417323,0.0020721094073767096
955,André Gomes,MF,Everton,eng Premier League,25,22.0,0.18181818181818182,0.045454545454545456,2.272727272727273,66.36363636363636,0.22727272727272727,0.001556662515566625
960,Mario Gómez,FW,Stuttgart,de Bundesliga,33,24.6,0.24390243902439024,0.0,1.097560975609756,28.69918699186992,0.24390243902439024,0.001554618945622884
962,Maxi Gómez,FW,Celta Vigo,es La Liga,21,32.9,0.12158054711246201,0.3343465045592705,1.1246200607902737,32.340425531914896,0.45592705167173253,0.001056973741344242
963,Moi Gómez,MF,Huesca,es La Liga,24,33.9,0.058997050147492625,0.058997050147492625,1.7994100294985251,53.77581120943953,0.11799410029498525,0.0009870598077336946
964,Papu Gómez,"MF,FW",Atalanta,it Serie A,30,32.2,0.3105590062111801,0.18633540372670807,3.881987577639751,74.3167701863354,0.49689440993788814,0.0016222263174424368
965,Sergi Gómez,DF,Sevilla,es La Liga,26,30.7,0.0,0.0,0.09771986970684039,56.644951140065146,0.0,5.619313956690074e-05
966,Alfred Gomis,GK,SPAL,it Serie A,24,19.2,0.0,0.0,0.0,37.708333333333336,0.0,0.0
970,Álvaro González,DF,Villarreal,es La Liga,28,32.9,0.0,0.030395136778115502,0.060790273556231005,57.0516717325228,0.030395136778115502,3.238693316794406e-05
971,Bruno González,DF,Getafe,es La Liga,28,18.9,0.0,0.10582010582010583,0.052910052910052914,36.87830687830688,0.10582010582010583,7.591112325689084e-05
974,Nicolás González,"FW,MF",Stuttgart,de Bundesliga,20,24.0,0.16666666666666666,0.20833333333333334,3.2083333333333335,40.666666666666664,0.375,0.0032872267759562843
976,Leon Goretzka,MF,Bayern Munich,de Bundesliga,23,22.5,0.13333333333333333,0.13333333333333333,1.2,61.955555555555556,0.26666666666666666,0.000860832137733142
980,Robin Gosens,"DF,MF",Atalanta,it Serie A,24,21.6,0.23148148148148145,0.0,2.222222222222222,71.2037037037037,0.23148148148148145,0.0014448779078167894
981,Dan Gosling,MF,Bournemouth,eng Premier League,28,19.3,0.0,0.0,0.7772020725388601,60.56994818652849,0.0,0.000664843517997314
983,Mario Götze,"FW,MF",Dortmund,de Bundesliga,26,18.6,0.16129032258064516,0.3225806451612903,2.8494623655913975,59.51612903225806,0.48387096774193544,0.002574040077318336
