,Player,Pos,Squad,Comp,Age,90s,Drib,Fld,Att,Touches,Drib+Fld,drib-ptouch
1133,Mats Hummels,DF,Bayern Munich,de Bundesliga,29,19.7,0.050761421319796954,0.050761421319796954,0.40609137055837563,96.29441624365482,0.10152284263959391,0.0002140703060402613
1136,Elseid Hysaj,DF,Napoli,it Serie A,24,23.4,0.08547008547008547,0.042735042735042736,1.623931623931624,84.7863247863248,0.12820512820512822,0.0008185139233526331
1138,Pierre Højbjerg,MF,Southampton,eng Premier League,22,30.7,0.06514657980456026,0.19543973941368079,1.3680781758957654,71.62866449511401,0.26058631921824105,0.0006221365056370011
1139,Simone Iacoponi,DF,Parma,it Serie A,31,37.2,0.0,0.026881720430107524,0.9139784946236559,49.166666666666664,0.026881720430107524,0.0004997148685749896
1144,Vedad Ibišević,FW,Hertha BSC,de Bundesliga,33,20.1,0.09950248756218905,0.14925373134328357,0.8457711442786069,32.48756218905472,0.24875621890547261,0.0012952084904725987
1145,Vicente Iborra,"MF,FW",Villarreal,es La Liga,30,18.5,0.0,0.10810810810810811,1.1891891891891893,52.32432432432432,0.10810810810810811,0.0012285012285012285
1148,Mauro Icardi,FW,Inter,it Serie A,25,25.2,0.11904761904761905,0.15873015873015872,0.753968253968254,26.19047619047619,0.2777777777777778,0.0011423761423761424
1152,Borja Iglesias,FW,Espanyol,es La Liga,25,34.2,0.29239766081871343,0.29239766081871343,2.1052631578947367,33.040935672514614,0.5847953216374269,0.001863064741499767
1154,Jordan Ikoko,DF,Guingamp,fr Ligue 1,24,19.0,0.05263157894736842,0.2631578947368421,1.8421052631578947,52.21052631578947,0.3157894736842105,0.001856960950764007
1155,Jonathan Ikone,"MF,FW",Lille,fr Ligue 1,20,31.1,0.5787781350482315,0.1607717041800643,3.8263665594855305,42.02572347266881,0.7395498392282958,0.002927594919269725
1157,Josip Iličić,"FW,MF",Atalanta,it Serie A,30,23.8,1.050420168067227,0.42016806722689076,7.100840336134453,71.76470588235294,1.4705882352941175,0.004157400665184106
1158,Asier Illarramendi,MF,Real Sociedad,es La Liga,28,20.2,0.04950495049504951,0.0,0.594059405940594,71.48514851485149,0.04950495049504951,0.00041139848056827847
1160,Giannelli Imbula,MF,Rayo Vallecano,es La Liga,25,19.2,0.3125,0.15625,3.8020833333333335,48.90625,0.46875,0.0040490770323038695
1161,Ciro Immobile,FW,Lazio,it Serie A,28,31.8,0.25157232704402516,0.22012578616352202,2.6729559748427674,41.855345911949684,0.4716981132075472,0.0020082313860576764
1164,Roberto Inglese,FW,Parma,it Serie A,26,21.8,0.3211009174311926,0.09174311926605504,2.706422018348624,33.76146788990825,0.4128440366972477,0.0036772038292780212
1165,Danny Ings,FW,Southampton,eng Premier League,26,18.3,0.4918032786885246,0.16393442622950818,2.73224043715847,35.02732240437158,0.6557377049180327,0.004262465580590437
1166,Lorenzo Insigne,"FW,MF",Napoli,it Serie A,27,23.0,0.08695652173913043,0.17391304347826086,3.0434782608695654,70.0,0.2608695652173913,0.001890359168241966
1167,Emiliano Insúa,DF,Stuttgart,de Bundesliga,29,23.5,0.0851063829787234,0.0851063829787234,1.9148936170212767,67.06382978723404,0.1702127659574468,0.0012150340209525867
1172,Artur Ioniță,MF,Cagliari,it Serie A,27,33.0,0.12121212121212122,0.030303030303030304,1.4242424242424243,45.18181818181818,0.15151515151515152,0.0009552263073389835
1176,Mikael Ishak,FW,Nürnberg,de Bundesliga,25,21.3,0.0,0.2347417840375587,0.7981220657276995,27.981220657276996,0.2347417840375587,0.0013391309827645965
1182,Alex Iwobi,"FW,MF",Arsenal,eng Premier League,22,21.9,0.18264840182648404,0.0,4.2465753424657535,59.45205479452055,0.18264840182648404,0.0032615786040443573
1184,Armando Izzo,DF,Torino,it Serie A,26,36.3,0.0,0.027548209366391185,0.46831955922865015,63.939393939393945,0.027548209366391185,0.0002017749070351789
1185,Koo Ja-cheol,"MF,FW",Augsburg,de Bundesliga,29,18.2,0.21978021978021978,0.27472527472527475,1.5934065934065935,48.07692307692308,0.4945054945054945,0.0018210361067503924
1201,Rune Jarstein,GK,Hertha BSC,de Bundesliga,33,30.5,0.0,0.0,0.0,40.26229508196721,0.0,0.0
1202,Jason,"MF,DF",Levante,es La Liga,24,25.9,0.07722007722007722,0.3474903474903475,3.0501930501930503,45.868725868725875,0.42471042471042475,0.0025675025675025677
1208,Jemerson,"DF,MF",Monaco,fr Ligue 1,25,24.7,0.0,0.0,0.16194331983805668,53.07692307692308,0.0,0.00012352655975442922
1215,Raúl Jiménez,FW,Wolves,eng Premier League,27,34.6,0.17341040462427745,0.028901734104046242,1.8208092485549132,44.36416184971098,0.20231213872832368,0.0011861949501986405
1216,Joaquín,"FW,DF",Betis,es La Liga,37,18.8,0.3723404255319149,0.2127659574468085,3.404255319148936,62.12765957446808,0.5851063829787234,0.002914602156805596
1217,Joelinton,"FW,MF",Hoffenheim,de Bundesliga,21,23.7,0.379746835443038,0.379746835443038,3.3755274261603376,45.0210970464135,0.759493670886076,0.0031635683469169048
1228,Jony,"MF,FW",Alavés,es La Liga,27,33.0,0.3333333333333333,0.030303030303030304,4.121212121212121,48.878787878787875,0.36363636363636365,0.0025549982152585993
1229,Joan Jordán,MF,Eibar,es La Liga,24,31.9,0.18808777429467086,0.25078369905956116,2.3197492163009406,70.03134796238245,0.438871473354232,0.0010383837136530621
1231,Jorginho,MF,Chelsea,eng Premier League,26,35.1,0.0,0.0,0.5982905982905983,94.84330484330484,0.0,0.00017972081654869278
1232,Willian José,FW,Real Sociedad,es La Liga,26,26.3,0.0,0.03802281368821293,1.6730038022813687,39.80988593155893,0.03802281368821293,0.0015979023899535517
1235,Diogo Jota,"FW,MF",Wolves,eng Premier League,21,26.2,0.3816793893129771,0.4961832061068702,4.00763358778626,44.656488549618324,0.8778625954198473,0.003425327852808769
1239,Luka Jović,"FW,MF",Eint Frankfurt,de Bundesliga,20,24.9,0.20080321285140562,0.24096385542168677,1.7670682730923695,38.152610441767074,0.44176706827309237,0.0018600718664130208
1242,Juanfran,DF,Atlético Madrid,es La Liga,33,17.9,0.0,0.111731843575419,1.452513966480447,45.3072625698324,0.111731843575419,0.0017910159882619568
1245,Juanpe,DF,Girona,es La Liga,27,30.7,0.0,0.0,0.5211726384364821,59.96742671009772,0.0,0.00028309214472378166
1249,Christopher Jullien,DF,Toulouse,fr Ligue 1,25,33.5,0.0,0.05970149253731343,0.208955223880597,54.56716417910448,0.05970149253731343,0.00011430810934387144
1250,David Juncà,DF,Celta Vigo,es La Liga,24,19.5,0.15384615384615385,0.10256410256410256,1.2307692307692308,65.33333333333333,0.2564102564102564,0.0009660669001328342
1252,Hamed Junior Traorè,MF,Empoli,it Serie A,18,25.1,0.3187250996015936,0.0796812749003984,3.6254980079681274,51.83266932270916,0.398406374501992,0.0027867010053559777
1255,Mathias Jørgensen,DF,Huddersfield,eng Premier League,28,23.9,0.0,0.0,0.2092050209205021,58.66108786610879,0.0,0.00014921898781776184
1258,Christian Kabasele,DF,Watford,eng Premier League,27,17.6,0.0,0.0,0.0,43.92045454545454,0.0,0.0
1260,Pavel Kadeřábek,"DF,MF",Hoffenheim,de Bundesliga,26,27.9,0.14336917562724016,0.03584229390681004,0.6451612903225806,60.322580645161295,0.17921146953405018,0.00038334004178406457
1265,Salomon Kalou,"FW,MF",Hertha BSC,de Bundesliga,32,25.7,0.3501945525291829,0.1556420233463035,3.6186770428015564,39.688715953307394,0.5058365758754864,0.003547722590981918
1267,François Kamano,"FW,MF",Bordeaux,fr Ligue 1,22,28.5,0.24561403508771928,0.17543859649122806,3.3333333333333335,46.21052631578947,0.42105263157894735,0.002531004808909137
1269,Boubacar Kamara,DF,Marseille,fr Ligue 1,18,26.8,0.03731343283582089,0.11194029850746269,0.5223880597014925,62.798507462686565,0.14925373134328357,0.0003103910039818732
1271,Marcin Kamiński,DF,Düsseldorf,de Bundesliga,26,27.0,0.0,0.0,0.037037037037037035,51.51851851851852,0.0,2.6626194850493917e-05
1274,Kevin Kampl,MF,RB Leipzig,de Bundesliga,27,23.5,0.0851063829787234,0.0,1.7446808510638299,73.40425531914893,0.0851063829787234,0.00101140918902251
1275,Harry Kane,FW,Tottenham,eng Premier League,25,26.9,0.29739776951672864,0.29739776951672864,2.5650557620817844,34.75836431226766,0.5947955390334573,0.0027433751466115343
1278,N'Golo Kanté,MF,Chelsea,eng Premier League,27,34.4,0.029069767441860465,0.029069767441860465,1.6569767441860466,71.01744186046511,0.05813953488372093,0.0006782549096136089
1291,Michael Keane,DF,Everton,eng Premier League,25,33.0,0.0,0.0,0.21212121212121213,58.60606060606061,0.0,0.00010968004763247783
1293,Thilo Kehrer,DF,Paris S-G,fr Ligue 1,21,21.1,0.04739336492890995,0.04739336492890995,0.2843601895734597,76.7298578199052,0.0947867298578199,0.0001756394006012722
1298,Marc-Oliver Kempf,DF,Stuttgart,de Bundesliga,23,22.5,0.0,0.0,0.26666666666666666,58.93333333333333,0.0,0.00020110608345902465
1302,Christophe Kerbrat,DF,Guingamp,fr Ligue 1,31,23.3,0.0,0.0,0.08583690987124463,48.06866952789699,0.0,7.664009809932556e-05
1304,Franck Kessié,MF,Milan,it Serie A,21,33.5,0.1791044776119403,0.029850746268656716,2.029850746268657,62.83582089552239,0.208955223880597,0.0009642996419328536
1306,Wahbi Khazri,"FW,MF",Saint-Étienne,fr Ligue 1,27,31.3,0.41533546325878595,0.3194888178913738,2.523961661341853,49.13738019169329,0.7348242811501597,0.001641067400092232
1307,Rani Khedira,"DF,MF",Augsburg,de Bundesliga,24,29.2,0.0,0.03424657534246575,0.17123287671232876,54.14383561643836,0.03424657534246575,0.00010830668988762098
1312,Joshua Kimmich,"DF,MF",Bayern Munich,de Bundesliga,23,34.0,0.20588235294117646,0.29411764705882354,1.6470588235294117,97.97058823529412,0.5,0.0004944637716990129
1313,Presnel Kimpembe,DF,Paris S-G,fr Ligue 1,22,22.3,0.0,0.04484304932735426,0.5829596412556054,74.66367713004485,0.04484304932735426,0.0003501259106640272
1314,Joshua King,FW,Bournemouth,eng Premier League,26,32.9,0.27355623100303955,0.24316109422492402,3.617021276595745,41.33738601823708,0.5167173252279635,0.0026595744680851063
1316,Simon Kjær,DF,Sevilla,es La Liga,29,22.3,0.0,0.0,0.13452914798206278,52.28699551569507,0.0,0.00011537662777192349
1317,Davy Klaassen,MF,Werder Bremen,de Bundesliga,25,31.3,0.12779552715654952,0.09584664536741214,0.9584664536741214,50.894568690095845,0.22364217252396165,0.0006016738566692538
1321,Lukas Klostermann,DF,RB Leipzig,de Bundesliga,22,22.3,0.04484304932735426,0.04484304932735426,0.5829596412556054,56.45739910313901,0.08968609865470852,0.00046303386914662854
1324,Robin Knoche,DF,Wolfsburg,de Bundesliga,26,31.0,0.0,0.0,0.22580645161290322,74.38709677419355,0.0,9.792127129787651e-05
1326,Anthony Knockaert,"FW,MF",Brighton,eng Premier League,26,20.4,0.04901960784313726,0.19607843137254904,3.03921568627451,47.05882352941177,0.2450980392156863,0.003165849673202615
1330,Robin Koch,"MF,DF",Freiburg,de Bundesliga,22,21.1,0.0,0.04739336492890995,0.33175355450236965,52.08530805687204,0.04739336492890995,0.00030186856642617805
1334,Koke,MF,Atlético Madrid,es La Liga,26,28.7,0.06968641114982578,0.06968641114982578,1.3588850174216027,80.97560975609757,0.13937282229965156,0.0005847181658440632
1335,Aleksandar Kolarov,DF,Roma,it Serie A,32,32.3,0.09287925696594428,0.12383900928792571,1.9504643962848298,74.3343653250774,0.21671826625387,0.0008123550171948479
1336,Sead Kolašinac,DF,Arsenal,eng Premier League,25,21.0,0.14285714285714285,0.047619047619047616,1.5714285714285714,67.23809523809524,0.19047619047619047,0.001112909753136382
1338,Timothée Kolodziejczak,DF,Saint-Étienne,fr Ligue 1,26,35.4,0.0,0.0,0.5084745762711864,65.45197740112995,0.0,0.00021945385251238085
1340,Ghislain Konan,DF,Reims,fr Ligue 1,22,20.0,0.15,0.1,3.55,63.75,0.25,0.002784313725490196
1341,Ibrahima Konaté,DF,RB Leipzig,de Bundesliga,19,27.0,0.037037037037037035,0.037037037037037035,0.7407407407407407,49.888888888888886,0.07407407407407407,0.0005499188869641727
1342,Moussa Konaté,FW,Amiens,fr Ligue 1,25,20.8,0.24038461538461536,0.3846153846153846,1.3942307692307692,31.44230769230769,0.625,0.0021318513290990355
1345,Lamine Koné,DF,Strasbourg,fr Ligue 1,29,23.9,0.041841004184100423,0.0,0.502092050209205,52.51046025104603,0.041841004184100423,0.00040007334678024306
1346,Youssouf Koné,DF,Lille,fr Ligue 1,23,19.0,0.05263157894736842,0.05263157894736842,0.8421052631578947,68.94736842105263,0.10526315789473684,0.0006428284451586982
1347,Terence Kongolo,DF,Huddersfield,eng Premier League,24,30.2,0.033112582781456956,0.033112582781456956,0.695364238410596,52.94701986754967,0.06622516556291391,0.000434874445535082
1353,Filip Kostić,"DF,MF",Eint Frankfurt,de Bundesliga,25,32.8,0.12195121951219513,0.09146341463414635,2.439024390243903,60.701219512195124,0.2134146341463415,0.001225024806752337
1355,Christian Kouamé,"FW,MF",Genoa,it Serie A,20,34.1,0.2346041055718475,0.26392961876832843,3.255131964809384,43.19648093841642,0.49853372434017595,0.002209865556557627
1356,Tomáš Koubek,GK,Rennes,fr Ligue 1,25,32.5,0.0,0.0,0.09230769230769231,29.6,0.0,9.595394210778826e-05
1357,Kalidou Koulibaly,DF,Napoli,it Serie A,27,34.8,0.02873563218390805,0.02873563218390805,0.4310344827586207,82.38505747126437,0.0574712643678161,0.00015034338428971774
1358,Jules Koundé,DF,Bordeaux,fr Ligue 1,19,37.0,0.0,0.0,0.5945945945945946,64.16216216216216,0.0,0.00025046107607185953
1359,Cheikhou Kouyaté,MF,Crystal Palace,eng Premier League,28,21.1,0.14218009478672985,0.0947867298578199,1.2322274881516586,49.00473933649289,0.23696682464454974,0.0011917093695857433
1360,Mateo Kovačić,MF,Chelsea,eng Premier League,24,19.3,0.15544041450777202,0.20725388601036268,2.1243523316062176,88.39378238341969,0.3626943005181347,0.0012452241099684745
1364,Emil Krafth,DF,Amiens,fr Ligue 1,23,33.0,0.030303030303030304,0.0,0.48484848484848486,54.42424242424242,0.030303030303030304,0.0002699601808733212
1366,Andrej Kramarić,"MF,FW",Hoffenheim,de Bundesliga,27,26.6,0.5263157894736842,0.18796992481203006,2.518796992481203,51.9172932330827,0.7142857142857143,0.001823893549950183
1371,Toni Kroos,MF,Real Madrid,es La Liga,28,24.7,0.16194331983805668,0.04048582995951417,0.728744939271255,96.72064777327935,0.20242914979757085,0.0003050418330980557
1372,Rade Krunić,MF,Empoli,it Serie A,24,30.8,0.2597402597402597,0.16233766233766234,2.4675324675324677,55.81168831168831,0.42207792207792205,0.001435446461624472
1373,Max Kruse,"FW,MF",Werder Bremen,de Bundesliga,30,31.5,0.2222222222222222,0.12698412698412698,2.126984126984127,65.07936507936508,0.3492063492063492,0.001037553232675184
1376,Juraj Kucka,MF,Parma,it Serie A,31,17.1,0.11695906432748537,0.05847953216374269,2.1637426900584793,47.485380116959064,0.17543859649122806,0.002664707746377438
1379,Pierre Kunde,MF,Mainz 05,de Bundesliga,23,21.2,0.18867924528301888,0.04716981132075472,1.4622641509433962,66.60377358490567,0.2358490566037736,0.0010355978406114705
1380,Jasmin Kurtić,MF,SPAL,it Serie A,29,28.4,0.14084507042253522,0.28169014084507044,1.619718309859155,59.190140845070424,0.4225352112676057,0.0009635445031880755
1384,Enock Kwateng,DF,Nantes,fr Ligue 1,21,22.7,0.0,0.0,2.4229074889867843,69.47136563876653,0.0,0.0015364029733587724
1388,Gaëtan Laborde,"FW,MF",Montpellier,fr Ligue 1,24,32.2,0.24844720496894407,0.2795031055900621,0.12422360248447203,1.1180124223602483,0.5279503105590062,0.0034506556245686676
1390,Alexandre Lacazette,FW,Arsenal,eng Premier League,27,27.8,0.5755395683453237,0.17985611510791366,2.5899280575539567,42.014388489208635,0.7553956834532374,0.002217404158864689
1391,Alban Lafont,GK,Fiorentina,it Serie A,19,33.5,0.0,0.0,0.05970149253731343,32.776119402985074,0.0,5.4372944023054125e-05
1392,Víctor Laguardia,DF,Alavés,es La Liga,28,36.0,0.0,0.027777777777777776,0.08333333333333333,46.611111111111114,0.027777777777777776,4.966229638458482e-05
1394,Konrad Laimer,"MF,DF",RB Leipzig,de Bundesliga,21,20.8,0.09615384615384615,0.0,2.9326923076923075,53.31730769230769,0.09615384615384615,0.002644447527224804
1396,Kenny Lala,"DF,MF",Strasbourg,fr Ligue 1,26,34.0,0.058823529411764705,0.029411764705882353,2.8529411764705883,75.47058823529412,0.08823529411764706,0.0011118243088349914
1400,Loïck Landre,DF,Nîmes,fr Ligue 1,26,17.7,0.0,0.0,0.2824858757062147,41.46892655367232,0.0,0.00038485814128912083
1406,Aymeric Laporte,DF,Manchester City,eng Premier League,24,34.0,0.0,0.0,0.14705882352941177,96.32352941176471,0.0,4.49034575662326e-05
1407,Danilo Larangeira,DF,Bologna,it Serie A,34,34.2,0.0,0.029239766081871343,0.11695906432748537,52.48538011695906,0.029239766081871343,6.515825310723419e-05
1409,Kevin Lasagna,FW,Udinese,it Serie A,25,27.3,0.18315018315018314,0.32967032967032966,0.8058608058608059,28.46153846153846,0.5128205128205128,0.0010371438942867513
1410,Jamaal Lascelles,DF,Newcastle Utd,eng Premier League,24,30.5,0.0,0.0,0.13114754098360656,47.114754098360656,0.0,9.126481627251674e-05
1411,Paul Lasne,"MF,DF",Montpellier,fr Ligue 1,29,19.9,0.0,0.10050251256281408,1.4572864321608041,60.60301507537689,0.10050251256281408,0.0012083635424218941
1413,Danny Latza,MF,Mainz 05,de Bundesliga,28,20.7,0.14492753623188406,0.24154589371980678,1.884057971014493,62.7536231884058,0.3864734299516908,0.0014503910477401793
1417,Wesley Lautoa,"DF,MF",Dijon,fr Ligue 1,30,33.6,0.0,0.0,0.41666666666666663,57.32142857142857,0.0,0.00021633783316026307
1420,Valentino Lazaro,"DF,MF",Hertha BSC,de Bundesliga,22,30.5,0.16393442622950818,0.06557377049180328,2.1311475409836067,63.967213114754095,0.22950819672131148,0.0010923360025543857
1421,Darko Lazović,"MF,DF",Genoa,it Serie A,27,28.2,0.425531914893617,0.03546099290780142,2.978723404255319,47.23404255319149,0.46099290780141844,0.0022362788320235126
1422,Manuel Lazzari,"MF,DF",SPAL,it Serie A,24,31.5,0.19047619047619047,0.2222222222222222,3.5238095238095237,59.01587301587302,0.4126984126984127,0.0018955403570788186
1424,Maxime Le Marchand,DF,Fulham,eng Premier League,28,25.0,0.0,0.04,0.52,69.68,0.04,0.00029850746268656717
1426,Damien Le Tallec,MF,Montpellier,fr Ligue 1,28,31.2,0.0,0.032051282051282055,0.32051282051282054,50.0,0.032051282051282055,0.000205456936226167
1431,Benjamin Lecomte,GK,Montpellier,fr Ligue 1,27,37.0,0.0,0.0,0.05405405405405406,37.16216216216216,0.0,3.931203931203931e-05
1432,Pierre Lees-Melou,MF,Nice,fr Ligue 1,25,26.6,0.11278195488721804,0.18796992481203006,1.1654135338345863,66.42857142857143,0.3007518796992481,0.0006595435958316844
1433,Jordan Lefort,"DF,MF",Amiens,fr Ligue 1,24,20.0,0.0,0.0,0.65,58.0,0.0,0.0005603448275862069
1435,Tim Leibold,DF,Nürnberg,de Bundesliga,24,30.7,0.09771986970684039,0.19543973941368079,1.4332247557003257,61.56351791530945,0.2931596091205212,0.0007583199765610189
1436,Lucas Leiva,MF,Lazio,it Serie A,31,22.1,0.04524886877828054,0.0,1.0407239819004523,76.60633484162895,0.04524886877828054,0.0006147217849382471
1439,Thomas Lemar,"MF,FW",Atlético Madrid,es La Liga,22,20.2,0.24752475247524752,0.1485148514851485,4.158415841584159,62.87128712871287,0.39603960396039606,0.003274343182349731
1440,Mario Lemina,MF,Southampton,eng Premier League,24,17.9,0.1675977653631285,0.223463687150838,2.5139664804469275,58.60335195530727,0.3910614525139665,0.0023965362063364417
1442,Clément Lenglet,DF,Barcelona,es La Liga,23,21.5,0.0,0.0,0.18604651162790697,62.51162790697674,0.0,0.00013842746400885935
1444,Bernd Leno,GK,Arsenal,eng Premier League,26,31.5,0.0,0.0,0.0,37.87301587301587,0.0,0.0
1449,Mehdi Léris,"MF,FW",Chievo,it Serie A,20,17.9,0.223463687150838,0.1675977653631285,3.1843575418994416,56.36871508379889,0.3910614525139665,0.003155953956292806
1450,Jefferson Lerma,MF,Bournemouth,eng Premier League,23,27.8,0.1079136690647482,0.1079136690647482,1.223021582733813,67.76978417266187,0.2158273381294964,0.0006491621989032977
1451,Robert Lewandowski,FW,Bayern Munich,de Bundesliga,29,32.9,0.3343465045592705,0.364741641337386,2.522796352583587,35.19756838905775,0.6990881458966566,0.002178580615357156
1458,Lucas Lima,"DF,FW",Nantes,fr Ligue 1,26,27.7,0.07220216606498195,0.07220216606498195,2.0577617328519855,74.4404332129964,0.1444043321299639,0.0009979445843123112
1460,Victor Lindelöf,DF,Manchester Utd,eng Premier League,24,28.9,0.0,0.0,0.24221453287197234,59.65397923875433,0.0,0.0001404956687192415
1461,Karol Linetty,MF,Sampdoria,it Serie A,23,27.9,0.07168458781362008,0.17921146953405018,1.6129032258064517,58.02867383512545,0.2508960573476703,0.0009962342345932376
1462,Jesse Lingard,"FW,MF",Manchester Utd,eng Premier League,25,18.5,0.32432432432432434,0.16216216216216217,2.108108108108108,52.91891891891892,0.4864864864864865,0.002153327996024625
1463,Pol Lirola,"DF,MF",Sassuolo,it Serie A,20,33.1,0.09063444108761329,0.0,2.537764350453172,62.0845921450151,0.09063444108761329,0.00123492182503804
1465,Diego Llorente,DF,Real Sociedad,es La Liga,24,19.5,0.0,0.0,0.3076923076923077,67.02564102564102,0.0,0.00023541875110352542
1468,Hugo Lloris,GK,Tottenham,eng Premier League,31,33.0,0.0,0.0,0.0,38.24242424242424,0.0,0.0
1469,Giovani Lo Celso,"MF,FW",Betis,es La Liga,22,26.6,0.07518796992481203,0.37593984962406013,0.0,0.48872180451127817,0.45112781954887216,0.0
1471,Stanislav Lobotka,MF,Celta Vigo,es La Liga,23,27.7,0.07220216606498195,0.07220216606498195,1.588447653429603,59.24187725631769,0.1444043321299639,0.000967975413424499
1473,Manuel Locatelli,MF,Sassuolo,it Serie A,20,20.5,0.04878048780487805,0.14634146341463414,2.097560975609756,72.2439024390244,0.1951219512195122,0.0014163139605737718
1482,Anthony Lopes,GK,Lyon,fr Ligue 1,27,34.0,0.0,0.0,0.0,33.26470588235294,0.0,0.0
1483,Rony Lopes,"FW,MF",Monaco,fr Ligue 1,22,20.5,0.3902439024390244,0.04878048780487805,2.7804878048780486,46.53658536585366,0.43902439024390244,0.002914557447461267
1487,David López,DF,Espanyol,es La Liga,28,20.2,0.0,0.09900990099009901,0.34653465346534656,67.67326732673267,0.09900990099009901,0.00025350011226433545
1488,Diego López,GK,Espanyol,es La Liga,36,38.0,0.0,0.0,0.02631578947368421,33.71052631578947,0.0,2.054316118164263e-05
1489,Javi López,DF,Espanyol,es La Liga,32,21.6,0.046296296296296294,0.046296296296296294,1.574074074074074,62.731481481481474,0.09259259259259259,0.001161678283449501
1491,Maxime Lopez,MF,Marseille,fr Ligue 1,20,24.2,0.04132231404958678,0.08264462809917356,1.4462809917355373,100.24793388429752,0.12396694214876033,0.0005961586940377318
1492,Pau López,GK,Betis,es La Liga,23,33.0,0.0,0.0,0.0,39.18181818181818,0.0,0.0
1495,Jonas Lössl,GK,Huddersfield,eng Premier League,29,30.9,0.0,0.0,0.06472491909385114,37.89644012944984,0.0,5.527320161729388e-05
1500,Chris Löwe,"DF,MF",Huddersfield,eng Premier League,29,22.9,0.04366812227074236,0.0,0.7423580786026202,56.506550218340614,0.04366812227074236,0.0005736924873281454
1501,Eduard Löwen,"MF,FW",Nürnberg,de Bundesliga,21,18.0,0.1111111111111111,0.2777777777777778,3.8333333333333335,54.0,0.3888888888888889,0.003943758573388203
1502,Matthew Lowton,DF,Burnley,eng Premier League,29,19.4,0.051546391752577324,0.0,1.1340206185567012,57.680412371134025,0.051546391752577324,0.0010134232516145676
1505,José Luis Gayà,DF,Valencia,es La Liga,23,34.9,0.05730659025787966,0.08595988538681949,1.9770773638968482,63.26647564469914,0.14326647564469916,0.0008954154727793697
1506,José Luis Morales,"FW,MF",Levante,es La Liga,31,35.5,0.704225352112676,0.4507042253521127,4.140845070422535,35.605633802816904,1.1549295774647887,0.003275985024068461
1508,José Luis Palomino,DF,Atalanta,it Serie A,28,25.1,0.0,0.0,0.5577689243027888,61.95219123505976,0.0,0.0003586938419953626
1509,Filipe Luís,DF,Atlético Madrid,es La Liga,32,22.6,0.04424778761061947,0.0,1.415929203539823,77.30088495575221,0.04424778761061947,0.0008104918165654395
1511,David Luiz,DF,Chelsea,eng Premier League,31,36.0,0.0,0.027777777777777776,0.25,81.58333333333333,0.027777777777777776,8.512087163772556e-05
1515,Romelu Lukaku,FW,Manchester Utd,eng Premier League,25,23.7,0.2109704641350211,0.04219409282700422,1.6033755274261603,34.85232067510549,0.25316455696202533,0.0019411325997895404
1516,Dodi Lukebakio,"FW,MF",Düsseldorf,de Bundesliga,20,21.9,0.27397260273972607,0.36529680365296807,3.9726027397260277,42.6027397260274,0.6392694063926941,0.004257880749974306
1518,Senad Lulić,"DF,MF",Lazio,it Serie A,32,32.5,0.09230769230769231,0.03076923076923077,2.923076923076923,63.13846153846154,0.12307692307692308,0.0014245014245014244
1522,Fabian Lustenberger,"DF,MF",Hertha BSC,de Bundesliga,30,24.1,0.0,0.04149377593360996,0.08298755186721991,64.43983402489626,0.04149377593360996,5.3436929727765554e-05
1528,Yann M'Vila,MF,Saint-Étienne,fr Ligue 1,28,36.2,0.0,0.055248618784530384,0.49723756906077343,72.48618784530386,0.055248618784530384,0.00018949602479450208
1530,James Maddison,"MF,FW",Leicester City,eng Premier League,21,31.5,0.25396825396825395,0.6031746031746031,1.873015873015873,62.25396825396825,0.8571428571428571,0.0009551330306047288
1534,Francesco Magnanelli,MF,Sassuolo,it Serie A,33,20.7,0.04830917874396135,0.0,0.6763285024154589,72.46376811594203,0.04830917874396135,0.0004508856682769727
1536,Harry Maguire,DF,Leicester City,eng Premier League,25,28.8,0.06944444444444445,0.034722222222222224,0.6944444444444444,71.73611111111111,0.10416666666666666,0.0003361299343874368
1539,Raffaele Maiello,MF,Frosinone,it Serie A,27,22.7,0.04405286343612335,0.0881057268722467,1.4096916299559472,63.70044052863436,0.13215859030837004,0.000974890477147958
1540,Arne Maier,MF,Hertha BSC,de Bundesliga,19,22.9,0.13100436681222707,0.04366812227074236,1.091703056768559,62.27074235807861,0.17467248908296945,0.0007655701660368577
1541,Domenico Maietta,DF,Empoli,it Serie A,35,19.0,0.05263157894736842,0.0,0.3684210526315789,60.05263157894737,0.05263157894736842,0.00032289312237649337
1542,Mike Maignan,GK,Lille,fr Ligue 1,22,38.0,0.0,0.0,0.02631578947368421,31.157894736842106,0.0,2.2226173541963017e-05
1546,Abdul Majeed Waris,FW,Nantes,fr Ligue 1,26,25.0,0.28,0.52,3.16,37.96,0.8,0.0033298208640674394
1548,Nemanja Maksimović,MF,Getafe,es La Liga,23,35.7,0.0,0.028011204481792715,0.5042016806722689,31.98879551820728,0.028011204481792715,0.0004415076012892022
1551,Kévin Malcuit,DF,Napoli,it Serie A,27,20.1,0.1990049751243781,0.0,3.5820895522388057,76.76616915422885,0.1990049751243781,0.0023215097551774503
1553,Hugo Mallo,DF,Celta Vigo,es La Liga,27,34.4,0.05813953488372093,0.029069767441860465,1.0465116279069768,70.17441860465117,0.0872093023255814,0.00043351765861929443
1555,Vincent Manceau,DF,Angers,fr Ligue 1,29,31.0,0.03225806451612903,0.06451612903225806,0.9032258064516129,61.83870967741935,0.0967741935483871,0.00047116630487825396
