Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY
Pass,4,15,102248,13,Successful,13.8,62.0,58.9,92.9
Pass,4,18,44120,13,Successful,58.9,92.9,55.5,83
Pass,4,19,345845,13,Successful,55.5,83.0,52.4,91.7
Pass,4,20,255169,13,Unsuccessful,52.8,90.1,56.7,79.3
BallTouch,4,21,115916,26,Successful,43.6,21.5,,
Pass,4,23,297403,13,Successful,39.7,94.6,48.1,91.9
Pass,4,24,255169,13,Successful,47.3,91.7,36.2,91.3
Pass,4,25,297403,13,Successful,37.5,93.4,26.5,79.3
Pass,4,27,27586,13,Successful,28.2,77.0,33.5,62.9
Pass,4,32,125209,13,Unsuccessful,35.6,46.4,79.9,40
BallRecovery,4,37,114147,26,Successful,19.6,61.4,,
Pass,4,38,114147,26,Successful,19.6,61.4,25.1,34.2
Pass,4,43,136451,26,Successful,28.0,38.0,26.9,56.6
Pass,4,44,95408,26,Successful,26.4,58.5,11.7,52.6
Pass,4,46,114147,26,Successful,12.4,53.6,13.5,96
Pass,4,50,4511,26,Successful,15.3,96.0,4.9,65.4
Pass,4,58,114147,26,Successful,10.2,53.1,12.3,73.5
Pass,5,1,95408,26,Successful,13.3,73.2,25.6,69.4
Pass,5,2,115916,26,Successful,25.6,69.4,20.7,92.9
Pass,5,4,4511,26,Successful,20.7,92.9,43.9,98.4
Pass,5,7,115726,26,Unsuccessful,43.6,98.3,44.6,97.2
BlockedPass,5,7,288795,13,Successful,55.2,4.4,,
Pass,5,9,115916,26,Successful,40.5,83.8,59.1,85.9
Pass,5,14,109915,26,Unsuccessful,63.1,67.8,65.5,43.5
Interception,5,15,89401,13,Successful,35.2,54.0,,
Pass,5,17,115916,26,Successful,60.2,60.9,47.1,42.2
Pass,5,21,136451,26,Successful,46.6,41.9,42.4,59.1
Pass,5,23,95408,26,Successful,42.4,59.1,55.9,93.2
Pass,5,27,115726,26,Successful,57.7,95.1,64,68.7
Pass,5,30,96182,26,Successful,61.2,64.0,71.5,56.3
Foul,5,34,33568,26,Successful,72.4,63.0,,
Foul,5,34,27586,13,Unsuccessful,27.6,37.0,,
OffsideGiven,6,,95408,26,Unsuccessful,92.2,45.0,,
OffsideProvoked,6,6,297403,13,Successful,15.4,55.5,,
OffsidePass,6,6,115726,26,Successful,68.5,72.1,92.2,45
Pass,6,51,102248,13,Unsuccessful,8.5,52.7,65.4,71.1
Aerial,6,55,95408,26,Successful,35.6,31.2,,
Aerial,6,55,345845,13,Unsuccessful,64.4,68.8,,
Interception,6,55,95408,26,Successful,36.8,32.2,,
Pass,6,57,297403,13,Successful,46.4,75.2,53.2,18.7
Pass,7,2,125211,13,Successful,60.1,9.8,59.3,24.2
Pass,7,3,125209,13,Successful,59.3,24.2,53.3,5.3
Pass,7,5,125211,13,Successful,51.5,2.5,33.5,10.6
Pass,7,8,288795,13,Successful,32.3,16.3,27.1,48.2
Pass,7,11,27586,13,Successful,30.1,53.2,38.3,96.6
Pass,7,14,297403,13,Unsuccessful,41.3,97.2,85.7,63
KeeperPickup,7,19,114147,26,Successful,14.2,41.3,,
Pass,7,20,114147,26,Successful,14.7,41.2,24,81.2
Pass,7,25,115726,26,Successful,30.3,93.5,35,71.2
Pass,7,28,115916,26,Successful,35.9,61.4,29.4,32.8
Pass,7,33,136451,26,Successful,29.0,30.7,26.1,46.3
Pass,7,35,95408,26,Successful,26.1,48.4,28.4,72.4
Pass,7,36,4511,26,Successful,28.7,81.1,36.5,93.6
Pass,7,39,115726,26,Successful,37.6,94.8,28.3,86
Pass,7,40,4511,26,Successful,27.7,82.9,24.4,54.8
Pass,7,44,95408,26,Successful,21.4,55.1,7.5,44.6
Pass,7,52,114147,26,Unsuccessful,9.7,40.4,46.2,61.2
Aerial,7,55,27586,13,Successful,52.6,40.8,,
Aerial,7,55,96182,26,Unsuccessful,47.4,59.2,,
Pass,7,55,27586,13,Unsuccessful,53.6,37.4,62,43.1
TakeOn,7,58,115916,26,Unsuccessful,39.5,64.9,,
Tackle,7,58,125209,13,Successful,60.5,35.1,,
BallRecovery,8,0,367185,13,Successful,57.7,21.5,,
Pass,8,0,367185,13,Successful,57.7,21.5,54.1,13.7
Pass,8,1,125211,13,Successful,54.1,13.7,57.7,29.6
Pass,8,2,125209,13,Successful,57.7,29.6,37.5,25.6
Pass,8,5,288795,13,Unsuccessful,37.1,28.1,41,33.5
BallTouch,8,6,96182,26,Successful,58.8,64.2,,
Pass,8,8,386969,26,Successful,27.5,30.3,29.2,35.8
BallTouch,8,9,136451,26,Unsuccessful,29.2,35.8,,
Pass,8,10,255169,13,Unsuccessful,66.8,60.6,75.9,50.3
BallRecovery,8,11,136451,26,Successful,23.6,49.7,,
Pass,8,12,136451,26,Successful,22.6,49.5,7.1,46.6
Pass,8,14,114147,26,Successful,7.0,48.1,11.9,79.1
Pass,8,20,115726,26,Unsuccessful,13.6,93.9,46.6,65.8
Aerial,8,21,27586,13,Successful,53.0,33.9,,
Aerial,8,21,96182,26,Unsuccessful,47.0,66.1,,
Pass,8,22,27586,13,Successful,52.4,33.4,47.8,43.3
BallRecovery,8,23,89401,13,Successful,46.9,44.3,,
TakeOn,8,24,89401,13,Successful,44.2,38.6,,
Challenge,8,24,96182,26,Unsuccessful,55.8,61.4,,
Pass,8,25,89401,13,Successful,44.4,34.9,47.2,10.9
Pass,8,27,125211,13,Successful,42.8,8.8,25.8,27.1
Pass,8,30,288795,13,Successful,23.2,31.9,12.7,56.9
Pass,8,33,102248,13,Unsuccessful,11.8,56.9,22.4,0
Pass,9,6,115726,26,Successful,68.9,100.0,72.9,97.1
Pass,9,7,109915,26,Successful,74.1,91.7,69.8,94.8
Pass,9,8,115726,26,Unsuccessful,71.7,96.2,71.9,0
Pass,9,30,255169,13,Unsuccessful,28.2,100.0,44.2,87.2
BallRecovery,9,33,115916,26,Successful,54.3,23.7,,
Pass,9,33,115916,26,Successful,53.9,30.6,45.1,47
Pass,9,34,95408,26,Successful,45.1,47.0,51.1,39.5
Challenge,9,37,345845,13,Unsuccessful,45.2,61.2,,
TakeOn,9,37,115916,26,Successful,54.8,38.8,,
Pass,9,38,115916,26,Successful,54.9,44.5,44.5,48.7
Pass,9,39,95408,26,Successful,44.5,48.7,56.9,5.3
Pass,9,44,33568,26,Successful,61.3,5.0,68.3,8.9
Pass,9,45,108226,26,Successful,68.3,8.9,61.6,18.2
Pass,9,47,33568,26,Successful,61.6,18.2,50.4,18.6
Pass,9,49,136451,26,Successful,50.4,18.6,46.8,52.8
Pass,9,52,95408,26,Unsuccessful,46.2,53.2,90.5,61.4
KeeperPickup,9,55,102248,13,Successful,10.1,37.4,,
Pass,9,58,102248,13,Successful,13.8,36.5,12,60
Pass,10,0,27586,13,Successful,12.9,60.6,22.5,77.6
Pass,10,2,89401,13,Successful,22.5,77.6,17.4,96.2
Pass,10,4,297403,13,Unsuccessful,19.5,97.5,65.1,96.9
Aerial,10,8,136451,26,Successful,35.4,4.5,,
Aerial,10,8,255169,13,Unsuccessful,64.6,95.5,,
Pass,10,9,136451,26,Unsuccessful,33.8,3.8,42.3,4
Pass,10,13,44120,13,Successful,55.2,98.3,53.8,88.7
Pass,10,15,89401,13,Successful,48.2,89.6,33,78.8
Pass,10,19,27586,13,Unsuccessful,37.2,66.6,73.6,40.6
BallRecovery,10,24,115726,26,Successful,26.2,60.8,,
Pass,10,26,115726,26,Successful,31.6,58.1,40.7,71.7
Pass,10,27,109915,26,Successful,41.3,74.0,32.5,70.9
Pass,10,29,4511,26,Successful,38.7,73.0,41.8,92.6
Pass,10,32,109915,26,Successful,40.4,83.0,41.7,61.8
Pass,10,35,115916,26,Successful,39.2,50.9,47.3,42.5
Pass,10,36,33568,26,Successful,47.3,41.7,38.3,29.7
Pass,10,42,136451,26,Successful,36.5,33.4,33,60.2
Pass,10,43,95408,26,Successful,33.0,60.2,39.7,91.4
Pass,10,46,4511,26,Unsuccessful,40.8,93.5,87.9,95.6
BallRecovery,10,49,288795,13,Successful,13.1,8.0,,
Pass,10,50,288795,13,Successful,9.8,10.7,3,42.5
Pass,10,53,102248,13,Successful,3.6,45.2,5.2,60.5
Pass,10,56,27586,13,Unsuccessful,4.7,71.1,2.9,100
Pass,11,8,386969,26,Successful,91.4,0.0,94.8,16.8
Pass,11,11,108226,26,Successful,95.2,17.0,89.9,5.8
Pass,11,12,386969,26,Successful,90.3,6.9,90.9,50.9
MissedShots,11,15,4511,26,Successful,90.7,51.9,,
Pass,11,32,102248,13,Successful,3.6,48.7,3.3,66.6
Pass,11,34,27586,13,Successful,3.0,69.3,13,62.5
Pass,11,36,89401,13,Successful,12.7,59.6,3,45.4
Pass,11,38,102248,13,Successful,3.9,44.8,14.2,39.2
Pass,11,39,125209,13,Successful,11.6,38.8,1.7,22.1
Pass,11,40,288795,13,Successful,2.0,22.7,13.8,2.7
Pass,11,44,125211,13,Successful,20.2,4.0,44.7,3.1
Pass,11,50,367185,13,Successful,62.3,16.9,76.1,84.7
Goal,11,55,44120,13,Successful,81.9,71.7,,
Pass,12,57,96182,26,Successful,50.2,50.0,38.7,67.8
Pass,12,59,4511,26,Successful,41.2,75.2,34.5,43.1
Pass,13,3,136451,26,Successful,41.0,43.9,36.6,63.1
Pass,13,5,95408,26,Successful,39.2,67.8,59.7,93.1
Pass,13,7,115726,26,Unsuccessful,60.1,95.3,72.8,72.7
Clearance,13,9,125209,13,Successful,26.6,28.1,23.2,0
Pass,13,15,4511,26,Successful,75.5,100.0,79.5,85.3
Pass,13,16,109915,26,Unsuccessful,78.1,84.5,88.2,90.3
BallTouch,13,17,125211,13,Successful,13.4,10.2,,
Pass,13,19,109915,26,Unsuccessful,79.5,73.2,82.3,46.8
BallRecovery,13,20,255169,13,Successful,16.4,53.3,,
Pass,13,20,255169,13,Unsuccessful,17.7,53.6,45.7,83.3
BallRecovery,13,21,136451,26,Successful,54.8,13.0,,
Pass,13,25,136451,26,Successful,53.3,11.2,70.9,5.8
Dispossessed,13,28,386969,26,Successful,73.0,5.3,,
Tackle,13,28,255169,13,Successful,27.0,94.7,,
Pass,13,32,386969,26,Successful,70.8,0.0,56.9,6.4
Pass,13,39,136451,26,Successful,53.1,7.7,44.6,31.2
Pass,13,39,95408,26,Successful,44.3,44.3,43.7,71.5
Pass,13,44,115726,26,Successful,36.7,65.5,32.7,40.3
Pass,13,44,95408,26,Successful,32.7,40.3,14.8,47.8
Pass,13,46,114147,26,Successful,14.4,47.4,23.1,20.9
Pass,13,49,136451,26,Unsuccessful,22.5,20.9,32.2,0
Pass,14,16,297403,13,Unsuccessful,64.2,100.0,89.7,92.5
Pass,14,18,386969,26,Successful,10.0,9.3,13,23.1
Pass,14,21,95408,26,Unsuccessful,14.1,22.7,38.9,0
Pass,14,35,297403,13,Successful,70.2,100.0,78.4,94.4
Pass,14,36,255169,13,Successful,78.2,93.6,70.5,97.3
Pass,14,37,297403,13,Successful,68.9,98.4,58,92.7
Pass,14,39,89401,13,Successful,59.3,87.4,34.2,87
Pass,14,42,27586,13,Successful,34.6,84.7,17.2,53.4
Pass,14,47,102248,13,Successful,15.6,49.3,12.4,26.6
Pass,14,50,288795,13,Successful,13.3,18.4,51.4,20.2
BallTouch,14,53,367185,13,Successful,51.9,19.2,,
Pass,14,55,345845,13,Successful,43.6,22.3,39,15.8
Pass,14,56,125211,13,Successful,39.0,15.8,40.6,27.1
Pass,14,58,125209,13,Successful,38.2,29.6,23.8,63.3
Pass,15,1,27586,13,Successful,27.0,65.6,39.4,70.1
Pass,15,4,89401,13,Successful,37.5,76.5,40.4,96.9
Pass,15,6,297403,13,Successful,39.1,96.9,21.8,82.2
Pass,15,10,27586,13,Successful,14.3,70.2,8.1,50.1
Pass,15,13,102248,13,Successful,8.5,45.2,19.7,36.8
Pass,15,15,125209,13,Successful,19.7,36.8,5.6,15.8
Pass,15,18,288795,13,Unsuccessful,5.5,12.7,7.4,12.2
BlockedPass,15,18,109915,26,Successful,89.2,88.0,,
Pass,15,37,125211,13,Successful,17.7,0.0,14.5,12.5
Pass,15,38,288795,13,Successful,13.4,15.1,14.7,74.6
Pass,15,39,27586,13,Successful,13.4,74.6,24.6,95.8
Pass,15,42,297403,13,Successful,23.4,96.4,14.5,76.3
Pass,15,44,27586,13,Successful,18.8,72.1,9.3,43.1
Pass,15,50,102248,13,Successful,10.6,42.4,9,66.6
Pass,15,53,27586,13,Successful,9.2,59.0,23.3,6.1
TakeOn,15,56,125211,13,Successful,29.2,6.2,,
Challenge,15,56,4511,26,Unsuccessful,70.8,93.8,,
Pass,16,0,125211,13,Unsuccessful,41.7,13.0,53.1,13.4
Interception,16,2,115726,26,Successful,46.2,86.3,,
Foul,16,4,115726,26,Successful,44.5,86.6,,
Foul,16,4,125211,13,Unsuccessful,55.5,13.4,,
Pass,16,10,115726,26,Successful,43.1,84.8,59.4,94.7
Pass,16,14,4511,26,Successful,63.2,96.9,52.1,91.7
Pass,16,18,115726,26,Successful,50.7,87.4,44.7,44.5
Pass,16,20,136451,26,Unsuccessful,53.3,43.5,86,69.3
Clearance,16,24,288795,13,Successful,15.7,29.1,2.4,9.3
Clearance,16,28,288795,13,Successful,0.7,8.5,5.3,0
Pass,16,35,4511,26,Successful,94.5,100.0,95.7,91.2
Pass,16,36,109915,26,Successful,95.7,91.2,88.9,93.5
Pass,16,39,4511,26,Successful,89.7,92.9,84.5,92.9
Pass,16,40,115726,26,Unsuccessful,87.2,94.1,89.4,89.4
Clearance,16,40,367185,13,Successful,8.8,6.7,8.8,6.7
Pass,16,49,115726,26,Successful,78.4,100.0,55.1,68.5
Pass,16,50,95408,26,Successful,55.1,68.5,55.4,42.8
Pass,16,53,136451,26,Successful,55.4,42.8,65.8,53.3
Pass,16,55,115916,26,Successful,64.9,51.2,48.1,62.7
Pass,16,58,95408,26,Successful,48.8,58.2,47.9,41.8
Pass,17,1,136451,26,Successful,47.9,41.8,55.2,15.8
Pass,17,3,33568,26,Successful,55.6,15.5,44,36.3
TakeOn,17,6,136451,26,Unsuccessful,44.7,36.7,,
Tackle,17,6,345845,13,Unsuccessful,55.3,63.3,,
BallTouch,17,7,136451,26,Successful,44.7,35.7,,
Pass,17,8,345845,13,Successful,56.6,62.0,53.7,55.5
BallRecovery,17,9,89401,13,Successful,54.2,56.1,,
Pass,17,11,89401,13,Successful,68.7,49.1,78.7,28.4
Pass,17,13,367185,13,Successful,88.5,28.1,85.2,46.6
SavedShot,17,16,345845,13,Successful,84.5,46.8,,
Save,17,16,114147,26,Successful,2.6,50.0,,
CornerAwarded,17,18,345845,13,Successful,91.2,48.2,,
CornerAwarded,17,18,114147,26,Unsuccessful,8.8,51.8,,
Pass,17,59,367185,13,Unsuccessful,99.5,0.5,95.4,48.1
KeeperPickup,18,1,114147,26,Successful,4.4,52.2,,
Pass,18,5,114147,26,Successful,13.8,52.7,30.5,13.1
Pass,18,8,386969,26,Unsuccessful,39.0,7.3,88.6,24.6
KeeperPickup,18,11,102248,13,Successful,10.6,75.3,,
Pass,18,22,102248,13,Unsuccessful,15.1,54.3,64.8,91.7
Aerial,18,26,136451,26,Successful,34.6,9.6,,
Aerial,18,26,44120,13,Unsuccessful,65.4,90.4,,
BallRecovery,18,28,136451,26,Successful,21.8,3.5,,
Pass,18,30,136451,26,Successful,14.3,5.2,5,32.8
Pass,18,39,114147,26,Successful,9.5,42.5,8.4,68.7
