,Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Recipient,Pass Recipient Name,Player Name
113,Pass,8,13,114147,26,Successful,7.0,48.1,11.9,79.1,OpenPlay,115726.0,Andrew Robertson,Alisson
114,Pass,8,17,115726,26,Unsuccessful,13.6,93.9,46.6,65.8,OpenPlay,,,Andrew Robertson
115,Pass,8,20,27586,13,Successful,52.4,33.4,47.8,43.3,OpenPlay,89401.0,Granit Xhaka,David Luiz
116,Pass,8,24,89401,13,Successful,44.4,34.9,47.2,10.9,OpenPlay,125211.0,Héctor Bellerín,Granit Xhaka
117,Pass,8,26,125211,13,Successful,42.8,8.8,25.8,27.1,OpenPlay,288795.0,Rob Holding,Héctor Bellerín
118,Pass,8,29,288795,13,Successful,23.2,31.9,12.7,56.9,OpenPlay,102248.0,Emiliano Martínez,Rob Holding
119,Pass,8,33,102248,13,Unsuccessful,11.8,56.9,22.4,0,OpenPlay,,,Emiliano Martínez
120,Pass,9,5,115726,26,Successful,68.9,100.0,72.9,97.1,ThrowIn,109915.0,Sadio Mané,Andrew Robertson
121,Pass,9,6,109915,26,Successful,74.1,91.7,69.8,94.8,OpenPlay,115726.0,Andrew Robertson,Sadio Mané
122,Pass,9,7,115726,26,Unsuccessful,71.7,96.2,71.9,0,OpenPlay,,,Andrew Robertson
123,Pass,9,28,255169,13,Unsuccessful,28.2,100.0,44.2,87.2,ThrowIn,,,Ainsley Maitland-Niles
124,Pass,9,32,115916,26,Successful,53.9,30.6,45.1,47,OpenPlay,95408.0,Virgil van Dijk,Fabinho
125,Pass,9,34,95408,26,Successful,45.1,47.0,51.1,39.5,OpenPlay,115916.0,Fabinho,Virgil van Dijk
126,Pass,9,38,115916,26,Successful,54.9,44.5,44.5,48.7,OpenPlay,95408.0,Virgil van Dijk,Fabinho
127,Pass,9,39,95408,26,Successful,44.5,48.7,56.9,5.3,OpenPlay,33568.0,Georginio Wijnaldum,Virgil van Dijk
128,Pass,9,43,33568,26,Successful,61.3,5.0,68.3,8.9,OpenPlay,108226.0,Mohamed Salah,Georginio Wijnaldum
129,Pass,9,44,108226,26,Successful,68.3,8.9,61.6,18.2,OpenPlay,33568.0,Georginio Wijnaldum,Mohamed Salah
130,Pass,9,46,33568,26,Successful,61.6,18.2,50.4,18.6,OpenPlay,136451.0,Joseph Gomez,Georginio Wijnaldum
131,Pass,9,48,136451,26,Successful,50.4,18.6,46.8,52.8,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
132,Pass,9,50,95408,26,Unsuccessful,46.2,53.2,90.5,61.4,OpenPlay,,,Virgil van Dijk
133,Pass,9,57,102248,13,Successful,13.8,36.5,12,60,OpenPlay,27586.0,David Luiz,Emiliano Martínez
134,Pass,10,0,27586,13,Successful,12.9,60.6,22.5,77.6,OpenPlay,89401.0,Granit Xhaka,David Luiz
135,Pass,10,1,89401,13,Successful,22.5,77.6,17.4,96.2,OpenPlay,297403.0,Kieran Tierney,Granit Xhaka
136,Pass,10,4,297403,13,Unsuccessful,19.5,97.5,65.1,96.9,OpenPlay,,,Kieran Tierney
137,Pass,10,7,136451,26,Unsuccessful,33.8,3.8,42.3,4,OpenPlay,,,Joseph Gomez
138,Pass,10,13,44120,13,Successful,55.2,98.3,53.8,88.7,OpenPlay,89401.0,Granit Xhaka,Pierre-Emerick Aubameyang
139,Pass,10,14,89401,13,Successful,48.2,89.6,33,78.8,OpenPlay,27586.0,David Luiz,Granit Xhaka
140,Pass,10,18,27586,13,Unsuccessful,37.2,66.6,73.6,40.6,OpenPlay,,,David Luiz
141,Pass,10,25,115726,26,Successful,31.6,58.1,40.7,71.7,OpenPlay,109915.0,Sadio Mané,Andrew Robertson
142,Pass,10,27,109915,26,Successful,41.3,74.0,32.5,70.9,OpenPlay,4511.0,James Milner,Sadio Mané
143,Pass,10,28,4511,26,Successful,38.7,73.0,41.8,92.6,OpenPlay,109915.0,Sadio Mané,James Milner
144,Pass,10,31,109915,26,Successful,40.4,83.0,41.7,61.8,OpenPlay,115916.0,Fabinho,Sadio Mané
145,Pass,10,34,115916,26,Successful,39.2,50.9,47.3,42.5,OpenPlay,33568.0,Georginio Wijnaldum,Fabinho
146,Pass,10,36,33568,26,Successful,47.3,41.7,38.3,29.7,OpenPlay,136451.0,Joseph Gomez,Georginio Wijnaldum
147,Pass,10,39,136451,26,Successful,36.5,33.4,33,60.2,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
148,Pass,10,41,95408,26,Successful,33.0,60.2,39.7,91.4,OpenPlay,4511.0,James Milner,Virgil van Dijk
149,Pass,10,45,4511,26,Unsuccessful,40.8,93.5,87.9,95.6,OpenPlay,,,James Milner
150,Pass,10,49,288795,13,Successful,9.8,10.7,3,42.5,OpenPlay,102248.0,Emiliano Martínez,Rob Holding
151,Pass,10,52,102248,13,Successful,3.6,45.2,5.2,60.5,OpenPlay,27586.0,David Luiz,Emiliano Martínez
152,Pass,10,55,27586,13,Unsuccessful,4.7,71.1,2.9,100,OpenPlay,,,David Luiz
153,Pass,11,6,386969,26,Successful,91.4,0.0,94.8,16.8,ThrowIn,108226.0,Mohamed Salah,Neco Williams
154,Pass,11,9,108226,26,Successful,95.2,17.0,89.9,5.8,OpenPlay,386969.0,Neco Williams,Mohamed Salah
155,Pass,11,12,386969,26,Successful,90.3,6.9,90.9,50.9,OpenPlay,102248.0,Emiliano Martínez,Neco Williams
156,Pass,11,25,102248,13,Successful,3.6,48.7,3.3,66.6,OpenPlay,27586.0,David Luiz,Emiliano Martínez
157,Pass,11,31,27586,13,Successful,3.0,69.3,13,62.5,OpenPlay,89401.0,Granit Xhaka,David Luiz
158,Pass,11,34,89401,13,Successful,12.7,59.6,3,45.4,OpenPlay,102248.0,Emiliano Martínez,Granit Xhaka
159,Pass,11,36,102248,13,Successful,3.9,44.8,14.2,39.2,OpenPlay,125209.0,Mohamed Elneny,Emiliano Martínez
160,Pass,11,38,125209,13,Successful,11.6,38.8,1.7,22.1,OpenPlay,288795.0,Rob Holding,Mohamed Elneny
161,Pass,11,40,288795,13,Successful,2.0,22.7,13.8,2.7,OpenPlay,125211.0,Héctor Bellerín,Rob Holding
162,Pass,11,43,125211,13,Successful,20.2,4.0,44.7,3.1,OpenPlay,367185.0,Bukayo Saka,Héctor Bellerín
163,Pass,11,49,367185,13,Successful,62.3,16.9,76.1,84.7,OpenPlay,96182.0,Roberto Firmino,Bukayo Saka
164,Pass,12,54,96182,26,Successful,50.2,50.0,38.7,67.8,OpenPlay,4511.0,James Milner,Roberto Firmino
165,Pass,12,57,4511,26,Successful,41.2,75.2,34.5,43.1,OpenPlay,136451.0,Joseph Gomez,James Milner
166,Pass,13,1,136451,26,Successful,41.0,43.9,36.6,63.1,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
167,Pass,13,3,95408,26,Successful,39.2,67.8,59.7,93.1,OpenPlay,115726.0,Andrew Robertson,Virgil van Dijk
168,Pass,13,6,115726,26,Unsuccessful,60.1,95.3,72.8,72.7,OpenPlay,,,Andrew Robertson
