id,playerId,teamId,matchId,matchPeriod,eventSec,eventId,subEventId,StartX,StartY,EndX,EndY,accurate,recipientId,carryStartX,carryStartY,isCarry,carryStart,carryEnd,carryId,carryXGain,Position,Formation,lost,not_accurate,won,Right,blocked,interception,high,neutral,take_on_r,take_on_l,sliding_tackle,yellow_card,keypass,free_space_l,free_space_r,Left,counter_attack,anticipation,anticipated,Goal,opportunity,gr,through,or,olb,direct,glb,gtl,head_body,ot,missed_ball,assist,gt,gl,gc,gb,red_card,otr,otl,eventOrder,Feint,gbr,obr,dangerous_ball_lost,gtr,pbr,ol,pl,fairplay,pt,plb,ptr,ptl,second_yellow_card,own_goal,indirect,pr,seasonId,leagueId,recipientPosition,id,xG,seasonId
473532396,448597,10531,2830990,1,1634.529588,10,100,88,67,0,0,0,0,88,74,0,0,1,96,0,cf,4-2-3-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NULL,0,0,NULL,NULL,0,NULL,0,NULL,0,0,0,0,0,0,NULL,0,0,482,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,473532396,0.005464915015806317,185728
473532691,448597,10531,2830990,1,2581.108569,10,100,89,72,0,0,1,0,75,80,0,0,1,34,14,cf,4-2-3-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,NULL,NULL,0,NULL,0,NULL,0,0,0,0,1,0,NULL,0,0,746,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,473532691,0.1263693750435794,185728
476203720,448597,10531,2831003,2,180.72920699999986,10,100,82,66,100,100,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NULL,0,NULL,0,NULL,0,0,0,NULL,0,0,0,0,0,1,NULL,0,NULL,872,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,476203720,0.0016996538580301213,185728
476204044,448597,10531,2831003,2,1474.4722510000001,10,100,67,47,100,100,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,NULL,1,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,1186,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,476204044,0.029159367059455637,185728
477439974,448597,10531,2831024,1,2650.369274,10,100,82,29,100,100,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NULL,0,NULL,0,NULL,1,NULL,0,0,0,0,NULL,NULL,0,0,NULL,0,0,723,NULL,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,477439974,0.09949595491856966,185728
477440251,448597,10531,2831024,2,689.9226290000001,10,100,91,46,100,100,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,NULL,0,NULL,0,NULL,1,0,0,0,NULL,NULL,1,0,NULL,0,0,951,NULL,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,477440251,0.20547885439520566,185728
477440507,448597,10531,2831024,2,1874.8365240000003,10,100,87,51,100,100,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,NULL,1,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,NULL,0,0,1257,NULL,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,477440507,0.008743478782562491,185728
480528537,448597,10531,2831076,1,2272.720056,10,100,79,72,0,0,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,NULL,0,NULL,1,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,0,733,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,480528537,0.040727132813931206,185728
525974852,448597,10531,2830888,1,1080.9499,10,100,88,53,0,0,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NULL,0,0,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,0,0,274,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,525974852,0.3354220423867492,185728
525974870,448597,10531,2830888,1,1125.741105,10,100,91,39,0,0,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,NULL,0,0,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,0,0,284,NULL,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,525974870,0.2895704528305633,185728
