Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
549,Andrea Conti,it ITA,DF,Milan,it Serie A,25,1994,19.2,1236,75,406,685,224,15,1067,9,11,81.8,10,0,743,4104,2349,763,740,97.0,9,9,Matches
550,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,15.0,862,41,217,462,236,13,844,35,43,81.4,36,5,635,3349,1481,654,590,90.2,19,28,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
551,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,27.0,1559,262,941,621,69,26,1500,4,4,100.0,4,0,823,4489,2115,923,891,96.5,6,4,Matches
552,Francis Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,21.2,1184,68,347,734,167,19,1162,21,29,72.4,21,0,843,3737,1723,859,810,94.3,19,23,Matches
553,Gabriele Corbo,it ITA,DF,Bologna,it Serie A,19,2000,1.4,74,13,46,28,1,0,73,0,0,,0,0,48,219,129,48,47,97.9,0,0,Matches
554,Sébastien Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3.0,233,8,47,95,100,4,198,6,10,60.0,6,0,155,733,438,175,159,90.9,3,6,Matches
555,Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,22,1997,16.0,652,12,138,271,282,37,645,17,32,53.1,18,0,437,2334,1275,605,442,73.1,34,20,Matches
556,Jhon Córdoba,co COL,FW,Köln,de Bundesliga,26,1993,22.2,738,21,34,380,362,126,693,26,48,54.2,27,0,485,2863,1109,1059,521,49.2,86,40,Matches
557,Sergio Córdova,ve VEN,"FW,MF",Augsburg,de Bundesliga,21,1997,4.1,122,4,12,69,51,14,117,3,5,60.0,3,0,81,503,313,158,81,51.3,12,8,Matches
558,Benjamin Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,2.9,105,2,10,58,41,8,99,1,5,20.0,2,1,55,310,182,111,76,68.5,4,2,Matches
559,Jack Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,29.0,1229,64,219,793,286,31,1222,26,35,74.3,26,1,746,3860,1597,788,670,85.0,25,44,Matches
560,Andreas Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,16.6,648,28,71,322,292,89,629,18,31,58.1,20,1,384,2256,883,833,487,58.5,60,38,Matches
561,Maxwel Cornet,ci CIV,"FW,DF",Lyon,fr Ligue 1,22,1996,14.8,890,22,176,382,402,39,800,22,33,66.7,23,0,587,3895,2462,721,570,79.1,25,26,Matches
562,Quentin Cornette,fr FRA,"FW,MF",Amiens,fr Ligue 1,25,1994,3.9,220,0,39,83,125,8,202,9,21,42.9,11,1,146,1211,912,198,144,72.7,16,13,Matches
563,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24,1995,22.9,942,29,133,384,488,139,930,41,74,55.4,46,2,696,3619,2197,917,666,72.6,79,61,Matches
564,Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,24,1994,22.2,989,11,48,411,621,167,957,53,83,63.9,61,4,814,5947,3838,1128,808,71.6,52,40,Matches
565,Rober Correa,es ESP,DF,Eibar,es La Liga,26,1992,10.3,628,39,155,327,185,8,493,5,7,71.4,5,0,283,1670,778,310,271,87.4,10,6,Matches
566,Thierry Correia,pt POR,DF,Valencia,es La Liga,20,1999,2.9,172,12,61,96,24,0,141,1,2,50.0,1,0,88,448,286,101,92,91.1,4,1,Matches
567,Antonio Cortés,es ESP,"FW,MF",Granada,es La Liga,19,2000,2.0,68,0,8,28,37,6,67,4,9,44.4,4,0,53,344,165,86,48,55.8,7,5,Matches
568,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1.0,28,20,27,1,0,0,21,0,0,,0,0,19,60,31,15,15,100.0,0,0,Matches
569,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,26,1993,15.4,806,28,153,317,373,45,697,23,40,57.5,25,0,469,2688,1299,582,457,78.5,12,15,Matches
570,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,15.0,533,16,43,262,250,72,517,15,27,55.6,16,1,338,1766,734,749,411,54.9,41,21,Matches
571,Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,28,1990,8.9,613,6,61,301,315,43,584,36,58,62.1,39,3,509,3982,2429,572,503,87.9,26,22,Matches
572,Jaume Costa,es ESP,DF,Valencia,es La Liga,31,1988,15.4,981,69,316,487,241,17,858,12,19,63.2,12,1,594,3065,1724,666,614,92.2,9,6,Matches
573,Nuno da Costa,cv CPV,"FW,MF",Strasbourg,fr Ligue 1,28,1991,5.9,255,4,17,113,136,37,253,18,28,64.3,21,2,181,857,326,292,184,63.0,19,15,Matches
574,David Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,3.8,240,29,128,119,6,2,233,0,0,,0,0,162,908,456,158,153,96.8,1,1,Matches
575,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28.0,947,821,938,9,0,0,634,2,2,100.0,2,0,431,1913,917,388,388,100.0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
576,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18.0,597,36,45,229,341,104,586,14,39,35.9,15,1,314,1646,848,859,458,53.3,66,43,Matches
577,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,484,81,303,193,7,5,473,0,0,,0,0,289,1592,871,320,314,98.1,1,3,Matches
578,Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,16.3,770,17,131,366,325,39,726,15,27,55.6,16,1,493,2865,1750,685,510,74.5,23,31,Matches
579,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34.0,1153,1059,1150,3,1,1,869,0,0,,0,0,628,3238,1408,575,572,99.5,0,0,Matches
580,Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,15.7,1071,2,76,556,515,81,1012,45,69,65.2,49,5,860,4940,2766,1045,856,81.9,22,33,Matches
581,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,288,26,178,132,11,5,280,2,4,50.0,3,0,193,1309,593,195,187,95.9,1,0,Matches
582,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16.0,528,481,526,3,0,0,317,0,0,,0,0,169,1117,754,145,144,99.3,0,0,Matches
583,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,1971,107,549,943,562,26,1581,16,38,42.1,19,2,1076,4665,2306,1139,1047,91.9,9,13,Matches
584,Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.8,1522,119,581,695,327,21,1309,9,11,81.8,10,2,812,4045,2458,886,851,96.0,11,5,Matches
585,Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,18.0,1229,44,294,803,227,21,1201,14,17,82.4,14,0,854,5739,3080,985,935,94.9,11,16,Matches
586,Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1.0,62,3,21,23,18,0,53,0,0,,0,0,34,95,42,33,31,93.9,1,1,Matches
587,Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,469,11,80,260,153,8,458,10,17,58.8,11,0,287,1125,516,323,259,80.2,11,20,Matches
588,Juan Cuadrado,co COL,DF,Juventus,it Serie A,31,1988,29.5,2671,70,651,1448,812,54,2444,51,80,63.8,55,0,1880,10524,7353,2102,1970,93.7,22,30,Matches
589,Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,690,22,105,331,310,65,679,33,51,64.7,34,1,502,3500,2006,757,524,69.2,44,41,Matches
590,Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36.0,1819,41,296,828,813,65,1643,24,48,50.0,29,2,1059,5590,3315,1350,1009,74.7,65,43,Matches
591,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27.0,905,734,884,20,1,0,561,0,0,,0,0,349,2849,1552,229,228,99.6,0,0,Matches
592,Jaume Cuéllar,bo BOL,"FW,MF",SPAL,it Serie A,17,2001,0.8,24,0,0,13,12,1,23,2,2,100.0,2,0,15,94,41,30,20,66.7,2,1,Matches
593,Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,231,3,29,116,103,10,212,11,18,61.1,12,1,175,1008,579,200,181,90.5,3,4,Matches
594,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,315,6,41,173,139,25,308,34,43,79.1,36,0,266,2230,1419,303,204,67.3,17,24,Matches
595,Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,156,2,5,71,88,21,154,7,11,63.6,7,0,122,768,434,176,110,62.5,12,9,Matches
596,Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,12,0,3,7,4,1,11,0,0,,0,0,10,113,102,9,9,100.0,0,0,Matches
597,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,9.3,275,10,30,116,143,46,271,7,13,53.8,7,0,182,1112,497,417,204,48.9,33,11,Matches
598,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,105,1,10,51,49,17,98,5,9,55.6,6,0,70,478,231,173,60,34.7,10,9,Matches
599,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,1525,48,357,946,328,19,1365,11,19,57.9,12,0,1032,4792,2842,1199,1123,93.7,15,22,Matches
600,Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,1472,251,862,666,54,12,1409,5,7,71.4,5,0,832,5756,3198,866,843,97.3,6,7,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
601,Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,13,0,1,8,5,0,12,0,0,,0,0,9,32,14,15,10,66.7,0,1,Matches
602,Marco D'Alessandro,it ITA,"MF,DF",SPAL,it Serie A,28,1991,8.7,352,9,69,145,177,25,343,19,28,67.9,19,3,263,2620,1709,299,254,84.9,16,7,Matches
603,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,15.6,1039,67,348,546,203,26,943,12,20,60.0,12,0,676,2992,1764,775,714,92.1,11,7,Matches
604,Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0.0,10,0,2,3,5,1,8,0,0,,0,0,5,39,9,6,5,83.3,1,1,Matches
605,Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,29,0,3,13,15,3,28,1,2,50.0,1,0,21,167,70,27,19,70.4,1,0,Matches
606,Jacopo Da Riva,it ITA,FW,Atalanta,it Serie A,18,2000,0.0,2,0,0,1,1,0,2,0,0,,0,0,2,7,4,2,2,100.0,0,0,Matches
607,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,1515,199,896,695,41,11,1467,10,11,90.9,10,0,917,5505,2680,955,941,98.5,3,7,Matches
608,Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,12.5,700,22,151,445,167,12,689,12,23,52.2,14,0,506,3240,1812,590,534,90.5,16,12,Matches
609,Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,366,2,33,187,165,36,356,12,26,46.2,12,2,266,1184,637,390,270,69.2,16,17,Matches
610,Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,28,0,1,4,23,6,27,0,0,,0,0,15,48,21,25,20,80.0,2,1,Matches
611,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,467,19,134,203,166,16,413,9,13,69.2,9,0,332,2030,1157,351,323,92.0,4,10,Matches
612,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,578,15,121,377,118,9,572,13,17,76.5,14,1,456,2268,1050,522,471,90.2,9,11,Matches
613,Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,7,1,2,3,2,0,6,0,0,,0,0,5,42,27,4,2,50.0,0,0,Matches
614,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,556,79,275,268,41,7,516,2,4,50.0,2,0,332,1623,838,364,355,97.5,2,0,Matches
615,Christian Dalle Mura,it ITA,MF,Fiorentina,it Serie A,17,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches
616,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,78,4,12,31,35,4,64,0,0,,0,0,46,230,124,49,46,93.9,0,5,Matches
617,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,62,8,22,26,14,1,52,0,0,,0,0,37,169,67,30,29,96.7,1,0,Matches
618,Danilo,br BRA,DF,Juventus,it Serie A,28,1991,16.0,1372,62,361,745,344,18,1254,14,22,63.6,15,0,916,3886,2519,1037,984,94.9,7,7,Matches
619,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,683,120,428,271,25,21,655,5,6,83.3,5,0,346,1666,983,391,378,96.7,1,0,Matches
620,Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,206,12,65,104,49,2,173,3,6,50.0,3,0,115,683,322,123,109,88.6,8,1,Matches
621,Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21.0,1821,300,1094,832,38,20,1773,10,10,100.0,10,0,1292,7269,4299,1390,1374,98.8,5,8,Matches
622,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0,0,1,1,100.0,0,0,Matches
623,Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,1369,28,188,844,422,41,1276,21,47,44.7,22,1,883,5360,2580,1119,920,82.2,34,31,Matches
624,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,1468,36,289,792,499,52,1363,31,50,62.0,35,1,974,6260,2804,1156,938,81.1,33,48,Matches
625,Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,29.8,1828,124,682,875,364,33,1540,14,30,46.7,14,0,1022,4754,2915,1101,1017,92.4,9,16,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
626,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,2213,70,573,1135,685,67,1948,90,145,62.1,98,12,1512,9762,5917,1449,1344,92.8,44,47,Matches
627,Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,1138,58,385,575,228,23,968,8,15,53.3,8,0,589,2749,1578,667,642,96.3,5,9,Matches
628,Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,1118,48,288,691,204,23,1097,21,34,61.8,24,0,688,3888,2018,770,689,89.5,22,30,Matches
629,Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,224,5,17,102,122,33,219,9,15,60.0,9,1,168,1169,571,311,179,57.6,19,19,Matches
630,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,506,66,238,262,47,5,487,4,5,80.0,4,0,326,1852,1266,335,325,97.0,5,0,Matches
631,Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,1225,167,634,562,79,47,1197,2,2,100.0,2,0,631,2921,1372,693,657,94.8,9,6,Matches
632,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31.0,2577,30,220,1135,1405,164,2305,63,97,64.9,65,1,1816,9863,6500,2180,1949,89.4,43,44,Matches
633,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,16.7,850,136,523,338,43,11,818,2,3,66.7,2,0,465,2759,1423,487,472,96.9,2,3,Matches
634,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,31.4,2268,26,383,1171,958,96,2062,55,96,57.3,61,5,1649,13610,8597,1808,1617,89.4,49,58,Matches
635,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,400,15,122,223,76,5,350,8,11,72.7,8,0,258,1452,749,272,260,95.6,7,5,Matches
636,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,1196,89,302,532,423,66,1015,6,14,42.9,6,0,619,3700,2084,885,724,81.8,24,17,Matches
637,Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,881,35,231,547,157,29,864,14,20,70.0,14,0,511,2685,1406,553,492,89.0,12,10,Matches
638,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,1352,83,468,636,316,18,1128,15,24,62.5,18,1,654,3680,2025,755,674,89.3,11,17,Matches
639,Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,951,26,75,447,456,110,924,11,22,50.0,11,0,429,1700,712,1367,707,51.7,64,26,Matches
640,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,452,7,42,250,200,33,432,12,17,70.6,14,0,340,2303,1124,462,330,71.4,17,17,Matches
641,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0.0,2,1,2,0,0,0,2,0,0,,0,0,1,5,4,0,0,,0,0,Matches
642,Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8.0,383,28,127,208,67,13,373,10,14,71.4,11,0,233,1205,572,268,239,89.2,4,8,Matches
643,Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,669,6,84,365,292,42,656,37,57,64.9,40,5,546,3989,2487,681,497,73.0,28,41,Matches
644,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,831,31,232,398,280,22,684,18,32,56.3,19,2,522,4387,2974,541,473,87.4,18,17,Matches
645,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,709,37,205,451,89,9,696,4,7,57.1,4,1,439,1612,707,504,477,94.6,3,6,Matches
646,Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,47,42,46,1,0,0,32,0,0,,0,0,25,169,125,19,19,100.0,0,0,Matches
647,Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,11.2,672,64,293,295,130,7,611,4,11,36.4,5,1,403,2362,1480,439,421,95.9,0,10,Matches
648,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,1117,13,68,470,638,131,1048,28,74,37.8,31,2,729,4226,2286,1344,837,62.3,78,37,Matches
649,Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,895,32,230,582,150,1,882,20,24,83.3,20,0,620,3263,1515,635,613,96.5,10,9,Matches
650,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,807,32,76,357,422,130,781,23,50,46.0,29,0,547,3310,1844,1091,618,56.6,80,77,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
651,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,4.0,310,1,19,110,213,23,286,16,31,51.6,17,0,259,1926,1228,307,257,83.7,12,7,Matches
652,Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.6,358,51,184,181,11,4,356,0,1,0.0,0,0,237,1259,536,270,266,98.5,0,0,Matches
653,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,1410,23,227,853,426,34,1260,35,44,79.5,36,1,959,5516,2545,1065,974,91.5,21,26,Matches
654,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,1235,21,294,791,235,15,1205,12,21,57.1,14,1,908,4316,2298,1004,939,93.5,17,18,Matches
655,Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,10.0,850,36,193,524,195,7,835,3,4,75.0,3,0,638,3087,1388,717,695,96.9,4,10,Matches
656,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,1768,219,976,915,34,12,1725,9,13,69.2,10,0,1302,8025,4664,1370,1351,98.6,4,5,Matches
657,Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,31.1,1599,113,576,901,198,39,1583,17,21,81.0,17,1,957,4352,2169,1186,1011,85.2,23,16,Matches
658,Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,229,3,19,104,117,28,219,8,12,66.7,8,0,150,710,326,324,164,50.6,21,11,Matches
659,Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,24.9,1519,160,692,796,142,17,1400,7,11,63.6,8,0,856,5094,2766,932,915,98.2,5,3,Matches
660,Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,20.6,948,57,232,405,377,50,876,22,35,62.9,23,1,581,3604,2215,744,562,75.5,24,25,Matches
661,Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,11.3,640,1,40,330,327,58,576,34,53,64.2,36,1,491,2969,1892,670,492,73.4,36,25,Matches
662,Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,11.4,501,141,344,174,9,2,480,2,2,100.0,2,0,259,1696,976,291,282,96.9,0,2,Matches
663,Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,20.8,875,33,197,535,206,31,851,12,19,63.2,14,0,606,3775,1709,675,589,87.3,19,20,Matches
664,Mattia Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,39,0,3,22,16,9,39,1,1,100.0,1,0,25,125,47,74,25,33.8,5,3,Matches
665,Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,1991,1.7,42,1,4,17,21,8,37,3,3,100.0,3,1,24,135,81,84,26,31.0,2,1,Matches
666,Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,1126,13,145,428,669,157,1036,63,108,58.3,69,2,895,8042,5493,1107,769,69.5,53,50,Matches
667,Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,96,3,6,46,47,6,93,4,6,66.7,4,2,57,202,78,116,70,60.3,10,4,Matches
668,Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,14.4,387,12,26,165,205,70,360,5,7,71.4,6,0,221,940,319,610,277,45.4,28,17,Matches
669,Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,1994,12.0,478,7,61,222,243,49,439,16,28,57.1,18,2,355,2643,1453,488,335,68.6,24,25,Matches
670,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,33.0,2562,152,780,1291,658,66,2291,27,41,65.9,28,4,1785,9207,5615,1946,1842,94.7,28,20,Matches
671,Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,1988,22.2,1593,8,106,688,923,139,1452,72,136,52.9,77,7,1257,8241,4835,1407,1235,87.8,47,43,Matches
672,Boulaye Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,579,21,76,278,272,96,548,30,60,50.0,34,0,389,2849,1823,783,384,49.0,46,45,Matches
673,Fousseni Diabaté,ml MLI,"FW,MF",Amiens,fr Ligue 1,23,1995,13.2,648,7,110,312,288,46,641,27,45,60.0,31,2,494,3525,2050,626,459,73.3,43,33,Matches
674,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,de Bundesliga,20,1999,19.7,947,9,95,468,502,101,927,72,117,61.5,81,6,868,7399,4408,1045,770,73.7,52,58,Matches
675,Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,16.0,956,159,564,436,20,4,930,8,8,100.0,8,0,656,4279,2265,663,648,97.7,0,4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
676,Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,15.2,805,129,441,377,49,11,762,6,9,66.7,9,0,464,2787,1579,509,493,96.9,0,2,Matches
677,Abdou Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,1169,95,444,762,73,8,1122,17,21,81.0,18,1,894,5367,3369,923,906,98.2,4,6,Matches
678,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,779,39,73,384,374,109,740,28,53,52.8,36,3,479,3219,1579,1191,566,47.5,91,48,Matches
679,Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,1005,43,343,644,119,8,983,23,36,63.9,25,3,752,4864,2575,700,657,93.9,18,21,Matches
680,Moussa Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,65,6,39,31,0,0,61,0,0,,0,0,38,251,163,40,40,100.0,0,0,Matches
681,Raphael Dias Belloli,br BRA,"MF,FW",Rennes,fr Ligue 1,23,1996,18.8,971,18,113,482,455,77,879,58,110,52.7,64,8,705,5193,3295,845,636,75.3,36,43,Matches
682,Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,116,109,116,0,0,0,66,0,0,,0,0,37,140,98,27,27,100.0,0,0,Matches
683,Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,16.9,1111,35,276,760,161,6,1084,10,10,100.0,10,0,813,4789,2547,834,813,97.5,3,4,Matches
684,Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,63,0,5,39,26,7,63,2,7,28.6,3,0,55,373,275,65,53,81.5,4,3,Matches
685,Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,1878,128,594,912,437,14,1512,15,26,57.7,15,1,836,3591,1853,943,861,91.3,15,9,Matches
686,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,1139,126,536,571,95,14,1083,10,12,83.3,11,1,672,3575,1881,697,667,95.7,9,3,Matches
687,Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,1035,118,475,547,61,11,1015,3,5,60.0,4,0,611,2911,1466,723,698,96.5,6,4,Matches
688,Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,2366,110,626,963,881,63,1827,25,43,58.1,27,2,1064,5744,3303,1288,1111,86.3,18,32,Matches
689,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,3465,340,1427,2086,108,49,3382,3,5,60.0,4,0,2321,9327,4883,2568,2514,97.9,2,2,Matches
