Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
290,Muhamed Bešić,ba BIH,MF,Sheffield Utd,eng Premier League,26,1992,2.8,137,9,36,59,49,3,136,9,10,90.0,9,0,96,489,174,96,84,87.5,2,2,Matches
291,Louis Beyer,de GER,DF,M'Gladbach,de Bundesliga,19,2000,1.2,57,9,26,26,7,1,53,1,1,100.0,1,0,25,116,56,32,30,93.8,0,0,Matches
292,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,29,1990,13.1,950,136,507,463,56,13,930,1,3,33.3,1,0,592,3228,1806,683,662,96.9,3,2,Matches
293,Pedro Bigas,es ESP,DF,Eibar,es La Liga,28,1990,19.7,907,93,422,481,62,11,854,0,2,0.0,1,0,384,2502,1172,415,398,95.9,3,3,Matches
294,Lucas Biglia,ar ARG,MF,Milan,it Serie A,33,1986,7.6,508,26,141,328,65,5,473,6,8,75.0,6,0,310,1367,683,372,340,91.4,6,5,Matches
295,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,17,2001,5.0,125,1,4,57,72,26,116,3,6,50.0,4,0,67,558,306,177,86,48.6,17,8,Matches
296,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,23,1996,28.1,1632,134,477,799,436,60,1576,20,38,52.6,22,0,853,4588,2125,1063,891,83.8,36,29,Matches
297,Cristiano Biraghi,it ITA,"DF,MF",Inter,it Serie A,26,1992,17.5,1086,60,277,420,438,26,884,8,19,42.1,10,1,620,3031,1663,724,655,90.5,15,10,Matches
298,Davide Biraschi,it ITA,DF,Genoa,it Serie A,25,1994,21.9,1422,133,598,722,212,12,1245,37,53,69.8,39,1,898,5434,3260,887,853,96.2,13,25,Matches
299,Valter Birsa,si SVN,MF,Cagliari,it Serie A,32,1986,4.8,364,9,69,223,97,3,327,1,2,50.0,1,0,237,1653,928,270,249,92.2,4,1,Matches
300,Dimitri Bisoli,it ITA,MF,Brescia,it Serie A,25,1994,23.9,1134,69,294,497,401,72,1110,22,34,64.7,22,1,693,3770,2003,848,648,76.4,32,38,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
301,Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,22,1996,14.0,840,32,226,471,206,12,830,26,43,60.5,29,2,573,4114,2030,586,542,92.5,32,29,Matches
