Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
713,Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,19.6,4,0,0,17,29,0,52,16,25,0,0,1,137,15,10,60.0,Matches
714,Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,1,0,0,3,2,1,1,0,0,0,0,0,1,3,4,42.9,Matches
715,Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,1,0,0,17,8,5,17,0,3,0,0,0,31,7,21,25.0,Matches
716,Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.7,1,0,0,18,33,11,9,6,7,0,0,0,81,12,39,23.5,Matches
717,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,35.6,3,0,0,1,4,0,0,0,0,0,0,0,152,0,0,,Matches
718,Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,3,0,0,18,26,0,4,12,31,0,0,1,254,88,36,71.0,Matches
719,Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,0,0,0,23,22,5,96,8,22,0,0,0,128,7,23,23.3,Matches
720,Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,2,0,0,16,13,9,1,4,4,0,0,0,69,125,52,70.6,Matches
721,Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,9,0,0,51,15,6,27,22,49,0,1,1,440,53,53,50.0,Matches
722,Mamadou Doucouré,fr FRA,MF,M'Gladbach,de Bundesliga,21,1998,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
723,Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,8,1,1,22,55,1,36,20,14,1,0,0,158,5,20,20.0,Matches
724,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,1,0,0,5,2,0,12,4,4,0,0,0,43,4,6,40.0,Matches
725,Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
726,Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
727,Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,2,0,0,16,23,0,23,15,26,0,0,0,146,8,13,38.1,Matches
728,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,7,1,1,17,6,0,0,7,15,0,1,0,121,22,13,62.9,Matches
729,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,1,0,0,1,6,0,0,0,0,0,1,0,175,0,0,,Matches
730,Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,5,0,0,17,4,0,5,8,8,0,0,0,59,3,1,75.0,Matches
731,Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,5,0,0,26,39,8,38,22,19,0,1,0,163,18,32,36.0,Matches
732,Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,1,0,0,7,1,0,1,7,5,0,0,0,46,2,2,50.0,Matches
733,Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,0,0,0,1,0,0,0,2,2,0,0,0,8,0,1,0.0,Matches
734,Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,0,1,0,6,4,7,3,3,3,0,0,0,49,12,40,23.1,Matches
735,Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,7,0,0,39,22,4,5,15,21,0,4,0,297,87,47,64.9,Matches
736,Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.5,2,0,0,3,2,0,0,2,1,0,0,0,32,11,8,57.9,Matches
737,Óscar Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,0,0,0,10,3,0,0,3,7,0,1,0,38,13,14,48.1,Matches
738,Rubén Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,11,0,0,45,39,0,44,19,38,1,5,0,289,58,49,54.2,Matches
739,Edgaras Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
740,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,3,0,0,17,11,1,45,13,21,0,0,0,124,19,8,70.4,Matches
741,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,0,0,0,0,4,0,0,0,0,0,0,0,170,0,0,,Matches
742,Ondrej Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,0,0,0,9,13,2,8,5,15,0,0,0,66,8,20,28.6,Matches
743,Ondrej Duda,sk SVK,"MF,FW",Hertha BSC,de Bundesliga,24,1994,5.0,2,0,0,12,11,0,6,3,3,0,0,0,43,7,11,38.9,Matches
744,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,2,0,0,14,10,0,1,13,9,0,0,0,136,63,17,78.8,Matches
745,Haris Duljević,ba BIH,"FW,MF",Nîmes,fr Ligue 1,25,1993,5.8,0,0,0,4,8,1,13,2,9,0,0,0,32,3,9,25.0,Matches
746,Paul Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,2,0,0,4,6,0,14,15,6,0,0,1,121,35,23,60.3,Matches
747,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,9.9,2,0,0,9,10,0,10,5,7,0,0,0,66,4,6,40.0,Matches
748,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,3,0,0,17,13,0,6,6,11,0,2,0,67,5,8,38.5,Matches
749,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,9,0,0,19,19,1,2,36,28,0,0,0,410,84,44,65.6,Matches
750,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,0,0,0,4,4,0,14,3,8,0,0,0,59,5,10,33.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
751,Riza Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,0,0,0,1,0,0,2,1,1,0,0,0,8,0,3,0.0,Matches
752,Hugo Duro,es ESP,"FW,MF",Getafe,es La Liga,19,1999,4.2,3,0,0,11,16,1,3,1,2,1,0,0,23,14,38,26.9,Matches
753,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,22,1997,13.1,0,0,0,10,9,0,0,16,11,0,1,0,154,23,26,46.9,Matches
754,Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,25,1993,23.9,5,0,0,24,54,6,41,12,18,3,0,0,125,3,9,25.0,Matches
755,Edin Džeko,ba BIH,FW,Roma,it Serie A,33,1986,31.7,4,0,0,39,48,16,23,7,11,4,0,0,130,135,75,64.3,Matches
756,Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,2,0,0,11,17,0,4,5,16,0,0,0,75,4,3,57.1,Matches
757,Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,2,0,0,10,15,0,1,25,20,0,0,0,272,85,32,72.6,Matches
758,Simone Edera,it ITA,"MF,FW",Torino,it Serie A,22,1997,4.4,4,1,1,13,5,0,3,2,7,1,0,0,25,3,11,21.4,Matches
759,Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,3,1,0,2,2,0,0,0,1,0,0,0,155,0,0,,Matches
760,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,5,1,1,33,20,1,3,26,27,0,1,0,371,140,57,71.1,Matches
761,Johannes Eggestein,de GER,"MF,FW",Werder Bremen,de Bundesliga,21,1998,5.7,3,1,1,8,6,1,10,2,5,0,0,0,57,2,12,14.3,Matches
762,Maximilian Eggestein,de GER,"MF,DF",Werder Bremen,de Bundesliga,22,1996,31.7,6,0,0,34,39,0,19,25,32,0,0,0,320,34,43,44.2,Matches
763,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,6,1,0,54,35,3,50,28,51,0,1,0,201,42,23,64.6,Matches
764,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,8,0,0,43,56,0,5,32,44,2,0,0,299,30,21,58.8,Matches
765,Harvey Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,Matches
766,Elif Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,12.6,7,0,0,31,16,0,3,7,10,0,0,0,84,2,14,12.5,Matches
767,Ilay Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
768,Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,1,0,0,13,5,2,50,6,17,0,0,0,114,25,20,55.6,Matches
769,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,4,0,0,12,9,0,6,14,13,0,0,0,185,72,30,70.6,Matches
770,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,22,1996,29.1,5,0,0,22,19,1,1,30,37,0,1,0,346,93,62,60.0,Matches
771,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,9,1,0,34,12,2,0,12,16,0,0,0,268,81,34,70.4,Matches
772,Adri Embarba,es ESP,"MF,FW",Espanyol,es La Liga,27,1992,15.2,4,0,0,24,27,1,58,11,18,0,0,0,107,12,38,24.0,Matches
773,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,de Bundesliga,22,1997,17.2,4,0,0,42,47,13,5,5,15,2,0,0,95,18,42,30.0,Matches
774,Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,11,0,0,46,94,1,80,17,45,0,0,0,236,65,37,63.7,Matches
775,Renaud Emond,be BEL,"FW,MF",Nantes,fr Ligue 1,27,1991,3.2,1,0,0,4,6,0,0,1,4,0,0,0,14,14,20,41.2,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
776,Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,3,0,0,18,9,0,2,15,13,0,1,0,97,25,18,58.1,Matches
777,Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,2,0,0,21,19,17,12,2,5,1,0,0,61,60,91,39.7,Matches
778,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,1,0,0,16,11,12,5,5,6,0,0,0,27,37,43,46.3,Matches
779,Björn Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,1,0,0,5,5,1,3,12,4,0,2,0,128,58,28,67.4,Matches
780,Sergi Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,6,0,0,60,23,17,5,5,17,0,0,0,105,100,170,37.0,Matches
781,Javier Eraso,es ESP,"MF,FW",Leganés,es La Liga,29,1990,9.1,3,0,0,18,15,3,12,4,8,0,0,0,58,10,25,28.6,Matches
782,Christian Eriksen,dk DEN,"MF,FW",Tottenham,eng Premier League,27,1992,12.2,5,0,0,9,6,2,24,8,12,0,0,0,138,3,9,25.0,Matches
783,Christian Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,0,0,0,6,2,0,17,1,6,0,0,0,71,4,6,40.0,Matches
784,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,9,1,1,31,30,2,10,15,29,2,1,0,252,49,51,49.0,Matches
785,Aarón Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,,Matches
786,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,2,0,0,11,8,0,18,6,13,0,1,0,99,21,16,56.8,Matches
787,Espeto,br BRA,"DF,MF",SPAL,it Serie A,22,1997,23.4,9,1,1,51,61,2,52,12,39,0,0,0,163,10,36,21.7,Matches
788,Bernardo Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,5,1,0,33,18,3,4,12,19,0,1,0,342,100,54,64.9,Matches
789,Sebastiano Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,2,0,0,7,4,1,0,3,3,0,0,0,13,1,8,11.1,Matches
790,Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
791,Alexander Esswein,de GER,"FW,MF",Hertha BSC,de Bundesliga,29,1990,2.4,1,0,0,5,6,0,8,1,3,0,0,0,15,6,1,85.7,Matches
792,Pervis Estupiñán,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,8,0,0,42,39,4,140,44,57,0,0,0,368,45,41,52.3,Matches
793,Oghenekaro Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,4,0,0,8,7,0,10,10,13,0,0,0,72,23,12,65.7,Matches
794,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,0,0,0,2,2,0,5,3,4,0,0,0,43,5,4,55.6,Matches
795,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,7,0,0,16,12,0,1,7,11,0,0,0,182,54,35,60.7,Matches
796,Antony Evans,eng ENG,"MF,DF",Paderborn 07,de Bundesliga,20,1998,1.7,0,0,0,5,1,0,5,0,4,0,0,0,18,2,3,40.0,Matches
797,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,8,1,0,36,27,2,5,39,31,1,1,1,434,141,59,70.5,Matches
798,Edu Expósito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,3,0,0,29,19,0,14,20,41,0,0,0,310,46,60,43.4,Matches
799,Valentin Eysseric,fr FRA,"MF,FW",Hellas Verona,it Serie A,27,1992,3.9,3,0,0,11,3,1,6,2,1,0,0,0,18,8,10,44.4,Matches
800,Valentin Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,0,0,0,3,0,0,1,0,0,0,0,0,4,1,2,33.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
801,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,1,0,0,1,2,0,0,0,0,0,1,0,120,0,0,,Matches
802,Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,6,0,0,32,20,0,6,25,53,0,0,0,326,41,30,57.7,Matches
803,Fábio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,4,0,0,12,3,0,15,12,24,0,0,0,66,19,15,55.9,Matches
804,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,1,1,0,11,8,1,15,7,9,0,0,0,70,12,10,54.5,Matches
805,Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,,Matches
806,Ralf Fährmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
807,Fayçal Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,2,0,0,3,5,0,12,4,1,0,0,0,55,6,10,37.5,Matches
808,Luca Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
809,Filippo Falco,it ITA,"FW,MF",Lecce,it Serie A,27,1992,22.4,0,0,0,13,83,6,98,5,15,0,0,0,122,3,20,13.0,Matches
810,Eliseo Falcon,es ESP,"DF,MF",Levante,es La Liga,22,1997,0.8,2,1,1,2,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
811,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,2.0,1,0,0,1,0,0,0,0,0,0,1,0,12,0,0,,Matches
812,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,0,0,0,0,1,0,0,1,1,0,0,0,17,2,0,100.0,Matches
813,Iago Falque,es ESP,"MF,FW",Torino,it Serie A,29,1990,1.1,0,0,0,1,0,0,2,0,0,0,0,0,9,0,2,0.0,Matches
814,Iago Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.8,0,0,0,3,2,3,20,1,2,0,0,0,46,6,7,46.2,Matches
815,Akin Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
816,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,1.6,0,0,0,4,2,0,1,1,1,0,0,0,16,1,2,33.3,Matches
817,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,26,1993,14.9,3,0,0,21,15,0,33,7,28,0,0,0,133,29,15,65.9,Matches
818,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,35.9,6,0,0,31,40,4,95,25,36,0,1,0,333,41,42,49.4,Matches
819,Mohamed Fares,dz ALG,"DF,MF",SPAL,it Serie A,23,1996,4.7,2,0,0,10,8,0,9,3,3,0,0,0,23,4,5,44.4,Matches
820,Diego Farias,br BRA,"FW,MF",Lecce,it Serie A,29,1990,9.2,3,1,0,17,16,1,21,6,5,1,0,0,59,1,5,16.7,Matches
821,Ansu Fati,es ESP,"FW,DF",Barcelona,es La Liga,16,2002,11.4,2,1,0,19,19,4,24,2,10,0,0,0,54,6,10,37.5,Matches
822,Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,32,1987,22.0,1,0,0,17,16,2,66,23,28,0,0,0,187,15,22,40.5,Matches
823,Andrea Favilli,it ITA,FW,Genoa,it Serie A,22,1997,7.3,4,0,0,28,17,4,3,3,5,1,0,0,23,27,38,41.5,Matches
824,Federico Fazio,ar ARG,DF,Roma,it Serie A,32,1987,13.5,2,1,0,11,7,1,1,9,11,0,0,0,127,36,21,63.2,Matches
825,Aleix Febas,es ESP,MF,Mallorca,es La Liga,23,1996,18.8,4,0,0,19,48,0,7,19,25,1,0,0,125,3,16,15.8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
826,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,30,1989,15.9,10,2,0,23,10,0,1,9,11,0,0,0,159,41,22,65.1,Matches
827,Ljubomir Fejsa,rs SRB,MF,Alavés,es La Liga,30,1988,8.7,2,0,0,24,7,0,0,4,17,0,1,0,114,20,9,69.0,Matches
828,Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,26,1993,29.3,10,2,2,69,113,14,42,12,26,5,0,0,158,26,46,36.1,Matches
829,Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,23.4,7,0,0,30,14,1,5,24,18,0,1,0,228,82,33,71.3,Matches
830,Luiz Felipe,br BRA,DF,Lazio,it Serie A,22,1997,22.5,6,0,0,18,15,2,4,20,25,0,1,0,175,30,25,54.5,Matches
831,Lucas Felippe,br BRA,"MF,DF",Hellas Verona,it Serie A,19,2000,0.3,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,,Matches
832,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,21,1997,21.8,3,0,0,14,15,1,0,22,24,0,0,0,241,87,52,62.6,Matches
833,João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,19,1999,19.4,6,0,0,33,39,6,20,2,4,1,0,0,86,16,48,25.0,Matches
834,Kiko Femenía,es ESP,DF,Watford,eng Premier League,28,1991,24.9,5,0,0,26,12,1,56,28,32,1,0,0,274,21,10,67.7,Matches
835,Zinedine Ferhat,dz ALG,"FW,MF",Nîmes,fr Ligue 1,26,1993,25.0,1,0,0,17,54,7,85,16,16,0,0,0,179,60,58,50.8,Matches
836,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,24,1994,13.2,2,0,0,9,14,2,22,7,14,2,0,0,91,2,10,16.7,Matches
837,Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,de Bundesliga,23,1996,16.5,7,1,1,19,5,0,9,31,26,0,0,0,186,14,12,53.8,Matches
838,Gedson Fernandes,pt POR,"MF,DF",Tottenham,eng Premier League,20,1999,0.8,0,0,0,0,2,0,3,0,1,0,0,0,9,0,1,0.0,Matches
839,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,32,1986,8.6,5,1,1,25,2,0,1,13,20,0,0,0,96,11,23,32.4,Matches
840,Matheus Fernandes,br BRA,MF,Valladolid,es La Liga,21,1998,1.8,0,0,0,2,1,0,0,3,1,,,0,,,,,Matches
841,Aitor Fernández,es ESP,GK,Levante,es La Liga,28,1991,36.0,2,0,0,1,4,0,0,0,0,0,1,0,193,0,0,,Matches
842,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,32,1986,4.3,1,0,0,1,1,0,0,0,0,0,1,0,23,0,0,,Matches
843,Carlos Fernández,es ESP,"FW,MF",Granada,es La Liga,23,1996,24.5,8,0,0,60,45,8,13,12,13,2,0,0,134,75,130,36.6,Matches
844,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,30,1989,29.1,8,0,0,17,20,2,16,8,32,0,0,1,250,67,50,57.3,Matches
845,Gabriel Fernández,uy URU,"FW,MF",Celta Vigo,es La Liga,25,1994,6.2,5,1,1,17,8,7,8,2,2,0,0,0,23,26,26,50.0,Matches
846,Joaquín Fernández,es ESP,"MF,DF",Valladolid,es La Liga,23,1996,18.4,9,0,0,32,9,5,3,21,23,0,0,0,179,45,36,55.6,Matches
847,Fernandinho,br BRA,DF,Manchester City,eng Premier League,34,1985,26.6,9,2,1,26,17,1,3,16,25,0,0,1,310,73,36,67.0,Matches
848,Fernando,br BRA,MF,Sevilla,es La Liga,32,1987,29.5,13,0,0,39,22,2,6,30,44,0,0,0,377,83,63,56.8,Matches
849,Juan Ferney Otero,co COL,"FW,MF",Amiens,fr Ligue 1,24,1995,13.4,0,1,0,19,18,6,28,12,11,1,0,0,91,37,47,44.0,Matches
850,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1994,11.2,4,0,0,16,13,0,0,17,12,0,0,0,120,15,12,55.6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
851,Facundo Ferreyra,ar ARG,FW,Espanyol,es La Liga,28,1991,6.4,2,0,0,25,8,5,2,2,5,0,0,0,26,17,26,39.5,Matches
852,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,27,1992,12.8,1,1,0,21,28,0,17,11,17,0,0,0,146,13,12,52.0,Matches
853,Oliver Fink,de GER,"MF,FW",Düsseldorf,de Bundesliga,37,1982,7.5,2,0,0,13,16,0,7,9,20,1,0,0,85,46,34,57.5,Matches
854,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,30,1989,10.7,1,0,0,14,10,6,2,4,5,0,0,0,52,16,48,25.0,Matches
855,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,27,1991,33.2,0,0,0,29,16,6,16,11,26,0,0,0,191,29,74,28.2,Matches
856,Junior Firpo,es ESP,DF,Barcelona,es La Liga,22,1996,11.3,5,0,0,35,16,2,8,8,14,0,0,0,81,10,9,52.6,Matches
857,John Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,27,1991,28.0,8,0,0,25,22,1,58,20,24,0,0,0,250,12,25,32.4,Matches
858,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,26,1993,10.0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,0,,Matches
859,Sergio Floccari,it ITA,FW,SPAL,it Serie A,37,1981,10.5,3,0,0,22,18,10,16,5,6,0,0,0,45,25,58,30.1,Matches
860,Alessandro Florenzi,it ITA,"DF,FW",Roma,it Serie A,28,1991,11.1,5,0,0,11,12,2,25,7,13,0,0,0,115,12,12,50.0,Matches
861,Alessandro Florenzi,it ITA,DF,Valencia,es La Liga,28,1991,8.4,1,1,0,7,5,0,22,10,10,0,0,0,75,2,8,20.0,Matches
862,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,19,2000,10.0,0,0,0,12,13,1,22,3,9,0,0,0,61,8,17,32.0,Matches
863,Mamadou Fofana,ml MLI,"DF,MF",Metz,fr Ligue 1,21,1998,17.6,4,0,0,20,4,0,1,17,36,0,1,0,168,25,26,49.0,Matches
864,Seko Fofana,ci CIV,MF,Udinese,it Serie A,24,1995,25.0,4,0,0,20,19,0,20,16,12,0,1,0,209,9,20,31.0,Matches
865,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2000,13.5,4,0,0,14,16,0,2,21,14,0,0,0,146,70,21,76.9,Matches
866,Youssouf Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,11.2,0,0,0,11,6,1,6,11,14,0,0,0,95,18,9,66.7,Matches
867,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,20,1999,6.8,1,0,0,12,7,1,5,6,15,0,0,0,76,8,7,53.3,Matches
868,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,24,1994,27.0,3,0,0,26,32,0,45,23,36,0,1,0,214,22,32,40.7,Matches
869,Lamine Fomba,fr FRA,MF,Nîmes,fr Ligue 1,21,1998,15.3,5,0,0,44,9,0,5,17,31,0,0,0,165,42,46,47.7,Matches
870,José Fonte,pt POR,DF,Lille,fr Ligue 1,35,1983,24.5,4,0,0,18,14,0,4,16,15,0,2,0,239,67,35,65.7,Matches
871,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,23,1996,24.1,3,0,0,18,16,7,37,15,29,0,0,0,187,9,49,15.5,Matches
872,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,27,1991,12.7,1,0,0,12,19,1,11,6,12,0,0,0,69,7,15,31.8,Matches
873,Hernâni Fortes,pt POR,"MF,FW",Levante,es La Liga,27,1991,7.3,3,1,1,5,17,5,38,4,3,0,0,0,47,1,8,11.1,Matches
874,Ben Foster,eng ENG,GK,Watford,eng Premier League,36,1983,38.0,1,0,0,2,3,0,0,0,0,0,2,0,222,1,0,100.0,Matches
875,Lyle Foster,za RSA,FW,Monaco,fr Ligue 1,18,2000,0.7,0,0,0,1,0,1,0,0,0,0,0,0,4,1,2,33.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
876,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,21,1998,1.5,1,0,0,5,0,1,2,4,1,0,0,0,9,1,2,33.3,Matches
