Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,1,0,0,12,7,7,6,3,4,1,0,0,47,14,40,25.9,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1,0,0,2,3,1,1,2,3,0,0,0,10,1,6,14.3,Matches
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,0,0,3,2,1,2,3,3,0,0,0,12,4,2,66.7,Matches
17,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,1,0,0,2,0,0,1,1,0,0,0,0,4,1,1,50.0,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,3,0,0,13,18,0,11,9,18,0,0,0,85,9,14,39.1,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,3,0,0,7,1,0,1,0,1,0,0,0,7,20,6,76.9,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5,1,1,13,10,0,54,11,23,0,0,0,205,14,15,48.3,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5,1,0,32,19,1,30,9,22,0,1,0,207,23,20,53.5,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1,0,0,1,0,0,1,1,3,0,0,0,10,1,0,100.0,Matches
24,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,0,0,0,3,1,0,0,0,1,0,0,0,11,0,2,0.0,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,5,1,1,20,11,1,10,6,18,0,1,0,55,4,6,40.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,2,0,0,13,6,0,0,10,11,0,0,0,94,41,13,75.9,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,1,0,0,9,9,6,8,2,5,2,0,0,61,2,14,12.5,Matches
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,2,2,0,10,20,0,52,11,28,0,0,0,119,16,15,51.6,Matches
29,Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,2,0,0,7,3,1,0,1,1,0,0,0,22,5,12,29.4,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,3,1,0,11,14,1,2,12,19,0,0,0,72,12,10,54.5,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,4,0,0,17,16,0,1,33,26,0,2,0,248,59,50,54.1,Matches
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,8,0,0,26,35,2,70,26,28,0,0,0,165,26,23,53.1,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,1,0,0,10,3,0,1,5,7,0,0,0,79,8,7,53.3,Matches
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,3,0,0,11,12,0,37,13,18,0,0,0,143,19,8,70.4,Matches
35,Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0,Matches
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,3,0,0,37,21,4,18,3,14,1,1,0,74,112,71,61.2,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2,0,0,11,23,0,0,18,23,0,0,1,231,41,31,56.9,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,1,0,0,3,3,0,1,2,2,0,0,0,7,0,4,0.0,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,9,13,3,2,27,11,0,0,0,247,64,58,52.5,Matches
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,1,0,0,9,8,2,7,5,13,0,0,0,35,4,10,28.6,Matches
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2,0,0,8,13,1,1,11,11,0,1,1,121,21,26,44.7,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0,0,0,10,7,1,25,11,17,0,0,0,328,22,27,44.9,Matches
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,3,0,0,14,26,2,27,18,30,0,1,1,148,8,20,28.6,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,6,0,0,23,13,18,5,2,2,0,0,0,49,34,51,40.0,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7,0,0,18,18,5,79,25,14,0,0,1,211,10,14,41.7,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5,0,0,20,38,1,44,16,34,0,0,0,292,8,15,34.8,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,9,0,0,30,25,2,4,17,33,0,2,0,338,78,41,65.5,Matches
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,2,0,0,8,11,1,49,9,11,0,1,0,90,2,5,28.6,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1,0,0,4,11,13,3,2,2,1,0,0,40,8,18,30.8,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0,0,0,2,3,7,2,2,2,0,0,0,17,4,15,21.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7,0,0,24,14,0,7,23,38,0,0,0,305,29,38,43.3,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10,0,0,37,57,0,12,16,36,0,2,0,283,43,43,50.0,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7,0,0,18,4,1,8,11,24,0,0,1,322,76,54,58.5,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4,0,0,31,9,1,36,26,28,0,0,0,197,38,22,63.3,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,5,4,1,0,1,0,0,0,0,5,11,9,55.0,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,3,2,0,0,0,1,0,0,0,12,2,3,40.0,Matches
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1,0,0,9,19,3,2,1,11,0,0,0,55,4,11,26.7,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,2,0,0,0,0,0,0,0,45,0,0,,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5,0,0,22,9,3,183,34,25,0,0,0,352,14,32,30.4,Matches
