Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Ashley Cole,eng ENG,DF,23.0,35,35,3150.0,2,2,0,0,7,0,0.06,0.06,0.11,0.06,0.11,Matches,2004/2005,35.0
Kolo Touré,ci CIV,DF,23.0,35,35,3135.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2004/2005,34.833333333333336
Lauren,cm CMR,DF,27.0,33,32,2939.0,1,4,1,1,4,0,0.03,0.12,0.15,0.0,0.12,Matches,2004/2005,32.65555555555556
Patrick Vieira,fr FRA,MF,28.0,32,32,2796.0,6,6,0,0,9,0,0.19,0.19,0.39,0.19,0.39,Matches,2004/2005,31.066666666666666
Thierry Henry,fr FRA,FW,26.0,32,31,2844.0,25,15,0,1,2,0,0.79,0.47,1.27,0.79,1.27,Matches,2004/2005,31.6
Jens Lehmann,de GER,GK,34.0,28,28,2520.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2004/2005,28.0
Robert Pirès,fr FRA,"FW,MF",30.0,33,26,2317.0,14,5,1,1,2,0,0.54,0.19,0.74,0.5,0.7,Matches,2004/2005,25.744444444444444
José Antonio Reyes,es ESP,MF,20.0,30,25,2025.0,9,11,0,0,3,0,0.4,0.49,0.89,0.4,0.89,Matches,2004/2005,22.5
Cesc Fàbregas,es ESP,"FW,MF",17.0,33,24,2122.0,2,4,0,0,4,0,0.08,0.17,0.25,0.08,0.25,Matches,2004/2005,23.57777777777778
Freddie Ljungberg,se SWE,"FW,MF",27.0,26,24,2004.0,10,7,0,0,2,0,0.45,0.31,0.76,0.45,0.76,Matches,2004/2005,22.266666666666666
Dennis Bergkamp,nl NED,FW,35.0,29,20,1921.0,8,12,0,0,1,0,0.37,0.56,0.94,0.37,0.94,Matches,2004/2005,21.344444444444445
Sol Campbell,eng ENG,"DF,FW",29.0,16,16,1421.0,1,0,0,0,1,0,0.06,0.0,0.06,0.06,0.06,Matches,2004/2005,15.78888888888889
Pascal Cygan,fr FRA,DF,30.0,15,15,1284.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2004/2005,14.266666666666667
Gilberto Silva,br BRA,"DF,MF",27.0,13,13,1126.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2004/2005,12.511111111111111
Philippe Senderos,ch SUI,DF,19.0,13,12,1088.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2004/2005,12.088888888888889
