Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Nacho Monreal,es ESP,DF,29.0,37,36,3249.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2015/2016,36.1
Héctor Bellerín,es ESP,DF,20.0,36,36,3240.0,1.0,5.0,0.0,0.0,3.0,0.0,0.03,0.14,0.17,0.03,0.17,Matches,2015/2016,36.0
Mesut Özil,de GER,MF,26.0,35,35,3035.0,6.0,19.0,0.0,0.0,4.0,0.0,0.18,0.56,0.74,0.18,0.74,Matches,2015/2016,33.72222222222222
Petr Čech,cz CZE,GK,33.0,34,34,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2015/2016,34.0
Laurent Koscielny,fr FRA,DF,29.0,33,33,2845.0,4.0,0.0,0.0,0.0,3.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,2015/2016,31.61111111111111
Aaron Ramsey,wal WAL,MF,24.0,31,29,2623.0,5.0,4.0,0.0,0.0,4.0,0.0,0.17,0.14,0.31,0.17,0.31,Matches,2015/2016,29.144444444444446
Alexis Sánchez,cl CHI,MF,26.0,30,28,2436.0,13.0,4.0,0.0,0.0,1.0,0.0,0.48,0.15,0.63,0.48,0.63,Matches,2015/2016,27.066666666666666
Olivier Giroud,fr FRA,FW,28.0,38,26,2429.0,16.0,6.0,1.0,1.0,2.0,0.0,0.59,0.22,0.82,0.56,0.78,Matches,2015/2016,26.988888888888887
Per Mertesacker,de GER,DF,30.0,24,24,2048.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2015/2016,22.755555555555556
Francis Coquelin,fr FRA,MF,24.0,26,21,1644.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2015/2016,18.266666666666666
Gabriel Paulista,br BRA,DF,24.0,21,18,1764.0,1.0,0.0,0.0,0.0,4.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches,2015/2016,19.6
Theo Walcott,eng ENG,"MF,FW",26.0,28,15,1373.0,5.0,2.0,0.0,0.0,0.0,0.0,0.33,0.13,0.46,0.33,0.46,Matches,2015/2016,15.255555555555556
Santi Cazorla,es ESP,MF,30.0,15,15,1291.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.21,0.21,0.0,0.21,Matches,2015/2016,14.344444444444445
Mathieu Flamini,fr FRA,MF,31.0,16,12,1089.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2015/2016,12.1
Squad Total,,,,38,418,3420.0,62.0,53.0,1.0,2.0,0.0,0.0,1.63,1.39,3.03,1.61,3.0,,2015/2016,38.0
