Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Jens Lehmann,de GER,GK,35.0,38,38,3420.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2005/2006,38.0
Kolo Touré,ci CIV,DF,24.0,33,33,2970.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,2005/2006,33.0
Gilberto Silva,br BRA,"DF,MF",28.0,33,33,2871.0,2,1,0,0,5,1,0.06,0.03,0.09,0.06,0.09,Matches,2005/2006,31.9
Thierry Henry,fr FRA,FW,27.0,32,30,2672.0,27,6,3,3,2,0,0.91,0.2,1.11,0.81,1.01,Matches,2005/2006,29.68888888888889
Cesc Fàbregas,es ESP,"FW,MF",18.0,35,30,2652.0,3,5,0,0,5,1,0.1,0.17,0.27,0.1,0.27,Matches,2005/2006,29.466666666666665
Robert Pirès,fr FRA,"FW,MF",31.0,33,23,2166.0,7,3,1,3,2,0,0.29,0.12,0.42,0.25,0.37,Matches,2005/2006,24.066666666666666
Lauren,cm CMR,DF,28.0,22,22,1963.0,0,1,0,1,6,0,0.0,0.05,0.05,0.0,0.05,Matches,2005/2006,21.81111111111111
José Antonio Reyes,es ESP,MF,21.0,26,22,1793.0,5,10,0,0,5,0,0.25,0.5,0.75,0.25,0.75,Matches,2005/2006,19.92222222222222
Freddie Ljungberg,se SWE,"FW,MF",28.0,25,21,1732.0,1,4,0,0,2,0,0.05,0.21,0.26,0.05,0.26,Matches,2005/2006,19.244444444444444
Sol Campbell,eng ENG,"DF,FW",30.0,20,20,1754.0,2,2,0,0,1,0,0.1,0.1,0.21,0.1,0.21,Matches,2005/2006,19.488888888888887
Mathieu Flamini,fr FRA,MF,21.0,31,19,1828.0,0,3,0,0,4,0,0.0,0.15,0.15,0.0,0.15,Matches,2005/2006,20.31111111111111
Philippe Senderos,ch SUI,DF,20.0,20,19,1675.0,2,0,0,0,2,0,0.11,0.0,0.11,0.11,0.11,Matches,2005/2006,18.61111111111111
Alexander Hleb,by BLR,MF,24.0,25,17,1480.0,3,0,0,0,0,0,0.18,0.0,0.18,0.18,0.18,Matches,2005/2006,16.444444444444443
Robin van Persie,nl NED,FW,21.0,24,13,1213.0,5,1,0,0,2,0,0.37,0.07,0.45,0.37,0.45,Matches,2005/2006,13.477777777777778
Emmanuel Adebayor,tg TOG,FW,21.0,13,12,1005.0,4,4,0,0,0,0,0.36,0.36,0.72,0.36,0.72,Matches,2005/2006,11.166666666666666
Emmanuel Eboué,ci CIV,"DF,MF",22.0,18,11,1124.0,0,2,0,0,0,0,0.0,0.16,0.16,0.0,0.16,Matches,2005/2006,12.488888888888889
Dennis Bergkamp,nl NED,FW,36.0,24,8,1008.0,2,3,0,0,2,0,0.18,0.27,0.45,0.18,0.45,Matches,2005/2006,11.2
