Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Per Mertesacker,de GER,DF,29.0,35,35,3150.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2014/2015,35.0
Alexis Sánchez,cl CHI,"FW,MF",25.0,35,34,2942.0,16.0,8.0,0.0,1.0,4.0,0.0,0.49,0.24,0.73,0.49,0.73,Matches,2014/2015,32.68888888888889
Santi Cazorla,es ESP,MF,29.0,37,33,2990.0,7.0,11.0,6.0,6.0,5.0,0.0,0.21,0.33,0.54,0.03,0.36,Matches,2014/2015,33.22222222222222
Nacho Monreal,es ESP,DF,28.0,28,26,2311.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2014/2015,25.677777777777777
Laurent Koscielny,fr FRA,DF,28.0,27,26,2287.0,3.0,0.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2014/2015,25.41111111111111
Aaron Ramsey,wal WAL,MF,23.0,29,23,2007.0,6.0,5.0,0.0,0.0,6.0,0.0,0.27,0.22,0.49,0.27,0.49,Matches,2014/2015,22.3
Olivier Giroud,fr FRA,FW,27.0,27,21,1862.0,14.0,3.0,0.0,0.0,5.0,1.0,0.68,0.15,0.82,0.68,0.82,Matches,2014/2015,20.68888888888889
Mesut Özil,de GER,MF,25.0,22,21,1856.0,4.0,5.0,0.0,0.0,0.0,0.0,0.19,0.24,0.44,0.19,0.44,Matches,2014/2015,20.622222222222224
Francis Coquelin,fr FRA,"DF,MF",23.0,22,19,1661.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014/2015,18.455555555555556
Danny Welbeck,eng ENG,"FW,MF",23.0,25,18,1663.0,4.0,4.0,0.0,0.0,3.0,0.0,0.22,0.22,0.43,0.22,0.43,Matches,2014/2015,18.477777777777778
Kieran Gibbs,eng ENG,"DF,MF",24.0,22,18,1659.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,2014/2015,18.433333333333334
David Ospina,co COL,GK,25.0,18,18,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014/2015,18.0
Calum Chambers,eng ENG,"DF,MF",19.0,23,17,1573.0,1.0,0.0,0.0,0.0,8.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2014/2015,17.477777777777778
Héctor Bellerín,es ESP,"DF,MF",19.0,20,17,1563.0,2.0,1.0,0.0,0.0,5.0,0.0,0.12,0.06,0.17,0.12,0.17,Matches,2014/2015,17.366666666666667
Wojciech Szczęsny,pl POL,GK,24.0,17,17,1498.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014/2015,16.644444444444446
Alex Oxlade-Chamberlain,eng ENG,MF,20.0,23,17,1490.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2014/2015,16.555555555555557
Mathieu Flamini,fr FRA,MF,30.0,23,15,1460.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2014/2015,16.22222222222222
Squad Total,,,,38,418,3420.0,69.0,47.0,6.0,7.0,0.0,0.0,1.82,1.24,3.05,1.66,2.89,,2014/2015,38.0
