Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season,nineties
Bernd Leno,de GER,GK,26.0,32,31,2836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018/2019,31.511111111111113
Shkodran Mustafi,de GER,DF,26.0,31,31,2611.0,2.0,0.0,0.0,0.0,9.0,0.0,0.07,0.0,0.07,0.07,0.07,1.3,1.3,0.2,0.04,0.01,0.05,0.04,0.05,Matches,2018/2019,29.011111111111113
Pierre-Emerick Aubameyang,ga GAB,FW,29.0,36,30,2726.0,22.0,5.0,4.0,5.0,0.0,0.0,0.73,0.17,0.89,0.59,0.76,20.7,16.8,4.2,0.68,0.14,0.82,0.55,0.69,Matches,2018/2019,30.288888888888888
Granit Xhaka,ch SUI,"MF,DF",25.0,29,29,2498.0,4.0,2.0,0.0,0.0,10.0,0.0,0.14,0.07,0.22,0.14,0.22,1.6,1.6,3.6,0.06,0.13,0.19,0.06,0.19,Matches,2018/2019,27.755555555555556
Alexandre Lacazette,fr FRA,FW,27.0,35,27,2502.0,13.0,8.0,0.0,0.0,2.0,0.0,0.47,0.29,0.76,0.47,0.76,11.8,11.8,2.9,0.42,0.1,0.53,0.42,0.53,Matches,2018/2019,27.8
Sokratis Papastathopoulos,gr GRE,DF,30.0,25,25,2198.0,1.0,2.0,0.0,0.0,12.0,0.0,0.04,0.08,0.12,0.04,0.12,0.8,0.8,0.5,0.03,0.02,0.05,0.03,0.05,Matches,2018/2019,24.42222222222222
Lucas Torreira,uy URU,MF,22.0,34,24,2382.0,2.0,2.0,0.0,0.0,7.0,1.0,0.08,0.08,0.15,0.08,0.15,1.7,1.7,1.3,0.06,0.05,0.11,0.06,0.11,Matches,2018/2019,26.466666666666665
Mattéo Guendouzi,fr FRA,MF,19.0,33,23,2149.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.1,0.02,0.09,0.11,0.02,0.11,Matches,2018/2019,23.877777777777776
Alex Iwobi,ng NGA,"FW,MF",22.0,35,22,1970.0,3.0,6.0,0.0,0.0,0.0,0.0,0.14,0.27,0.41,0.14,0.41,3.2,3.2,5.5,0.15,0.25,0.4,0.15,0.4,Matches,2018/2019,21.88888888888889
Sead Kolašinac,ba BIH,DF,25.0,24,22,1887.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.24,0.24,0.0,0.24,0.5,0.5,5.5,0.02,0.26,0.28,0.02,0.28,Matches,2018/2019,20.966666666666665
Nacho Monreal,es ESP,DF,32.0,22,21,1861.0,1.0,3.0,0.0,0.0,5.0,0.0,0.05,0.15,0.19,0.05,0.19,1.3,1.3,1.3,0.06,0.06,0.13,0.06,0.13,Matches,2018/2019,20.677777777777777
Mesut Özil,de GER,"MF,FW",29.0,24,20,1735.0,5.0,2.0,0.0,0.0,2.0,0.0,0.26,0.1,0.36,0.26,0.36,1.6,1.6,5.6,0.08,0.29,0.37,0.08,0.37,Matches,2018/2019,19.27777777777778
Henrikh Mkhitaryan,am ARM,"FW,MF",29.0,25,19,1641.0,6.0,4.0,0.0,0.0,1.0,0.0,0.33,0.22,0.55,0.33,0.55,4.6,4.6,4.3,0.25,0.24,0.49,0.25,0.49,Matches,2018/2019,18.233333333333334
Héctor Bellerín,es ESP,DF,23.0,19,18,1533.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.29,0.29,0.0,0.29,0.9,0.9,2.1,0.05,0.12,0.18,0.05,0.18,Matches,2018/2019,17.033333333333335
Aaron Ramsey,wal WAL,"MF,FW",27.0,28,14,1331.0,4.0,6.0,0.0,0.0,0.0,0.0,0.27,0.41,0.68,0.27,0.68,3.2,3.2,2.4,0.22,0.16,0.38,0.22,0.38,Matches,2018/2019,14.78888888888889
Laurent Koscielny,fr FRA,DF,32.0,17,13,1331.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,1.7,1.7,0.1,0.12,0.01,0.12,0.12,0.12,Matches,2018/2019,14.78888888888889
Squad Total,,,,38,418,3420.0,69.0,52.0,4.0,5.0,73.0,2.0,1.82,1.37,3.18,1.71,3.08,57.1,53.1,44.0,1.5,1.16,2.66,1.4,2.56,,2018/2019,38.0
