Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Thierry Henry,fr FRA,FW,24.0,37,37,3301.0,24,20,4,5,9,0,0.65,0.55,1.2,0.55,1.09,Matches,2002/2003,36.67777777777778
Sol Campbell,eng ENG,"DF,FW",27.0,33,33,2930.0,2,1,0,0,3,2,0.06,0.03,0.09,0.06,0.09,Matches,2002/2003,32.55555555555556
Gilberto Silva,br BRA,"DF,MF",25.0,35,32,3017.0,0,1,0,0,0,0,0.0,0.03,0.03,0.0,0.03,Matches,2002/2003,33.522222222222226
Ashley Cole,eng ENG,DF,21.0,31,30,2703.0,1,5,0,0,5,0,0.03,0.17,0.2,0.03,0.2,Matches,2002/2003,30.033333333333335
David Seaman,eng ENG,GK,38.0,28,28,2520.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2002/2003,28.0
Sylvain Wiltord,fr FRA,"FW,MF",28.0,34,27,2362.0,10,5,0,0,1,0,0.38,0.19,0.57,0.38,0.57,Matches,2002/2003,26.244444444444444
Lauren,cm CMR,DF,25.0,27,26,2300.0,2,1,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Matches,2002/2003,25.555555555555557
Patrick Vieira,fr FRA,MF,26.0,24,24,2081.0,3,2,0,0,6,1,0.13,0.09,0.22,0.13,0.22,Matches,2002/2003,23.122222222222224
Dennis Bergkamp,nl NED,FW,33.0,29,23,1807.0,4,10,0,0,3,0,0.2,0.5,0.7,0.2,0.7,Matches,2002/2003,20.07777777777778
Martin Keown,eng ENG,"DF,MF",36.0,24,22,1954.0,0,1,0,0,6,0,0.0,0.05,0.05,0.0,0.05,Matches,2002/2003,21.711111111111112
Robert Pirès,fr FRA,"FW,MF",28.0,26,21,1797.0,14,5,1,1,0,0,0.7,0.25,0.95,0.65,0.9,Matches,2002/2003,19.966666666666665
Freddie Ljungberg,se SWE,"FW,MF",25.0,20,19,1605.0,6,2,0,0,0,0,0.34,0.11,0.45,0.34,0.45,Matches,2002/2003,17.833333333333332
Pascal Cygan,fr FRA,DF,28.0,18,16,1429.0,1,0,0,0,3,0,0.06,0.0,0.06,0.06,0.06,Matches,2002/2003,15.877777777777778
Ray Parlour,eng ENG,MF,29.0,19,14,1274.0,0,2,0,0,4,0,0.0,0.14,0.14,0.0,0.14,Matches,2002/2003,14.155555555555555
Edu Gaspar,br BRA,MF,24.0,18,12,1002.0,3,1,0,0,4,0,0.27,0.09,0.36,0.27,0.36,Matches,2002/2003,11.133333333333333
Oleh Luzhny,ua UKR,DF,33.0,17,11,1064.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,2002/2003,11.822222222222223
