Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Denílson,br BRA,MF,20.0,37,36,3144.0,3,5,0,0,3,0,0.09,0.14,0.23,0.09,0.23,Matches,2008/2009,34.93333333333333
Bacary Sagna,fr FRA,DF,25.0,35,34,2933.0,0,1,0,0,4,0,0.0,0.03,0.03,0.0,0.03,Matches,2008/2009,32.58888888888889
Manuel Almunia,es ESP,GK,31.0,32,32,2867.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2008/2009,31.855555555555554
Gaël Clichy,fr FRA,DF,23.0,31,30,2654.0,1,0,0,0,7,0,0.03,0.0,0.03,0.03,0.03,Matches,2008/2009,29.488888888888887
Samir Nasri,fr FRA,"FW,MF",21.0,29,28,2397.0,6,2,0,0,4,0,0.23,0.08,0.3,0.23,0.3,Matches,2008/2009,26.633333333333333
Kolo Touré,ci CIV,DF,27.0,29,26,2280.0,1,1,0,0,3,0,0.04,0.04,0.08,0.04,0.08,Matches,2008/2009,25.333333333333332
Robin van Persie,nl NED,FW,24.0,28,24,2198.0,11,10,2,2,5,1,0.45,0.41,0.86,0.37,0.78,Matches,2008/2009,24.42222222222222
William Gallas,fr FRA,DF,30.0,23,23,2070.0,2,0,0,0,3,0,0.09,0.0,0.09,0.09,0.09,Matches,2008/2009,23.0
Alex Song,cm CMR,"DF,MF",20.0,31,23,2064.0,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches,2008/2009,22.933333333333334
Cesc Fàbregas,es ESP,"FW,MF",21.0,22,22,1900.0,3,8,0,0,7,0,0.14,0.38,0.52,0.14,0.52,Matches,2008/2009,21.11111111111111
Emmanuel Adebayor,tg TOG,FW,24.0,26,21,1876.0,10,4,1,1,4,1,0.48,0.19,0.67,0.43,0.62,Matches,2008/2009,20.844444444444445
Nicklas Bendtner,dk DEN,FW,20.0,31,17,1764.0,9,2,1,1,1,0,0.46,0.1,0.56,0.41,0.51,Matches,2008/2009,19.6
Emmanuel Eboué,ci CIV,"DF,MF",25.0,28,17,1487.0,3,3,1,1,1,1,0.18,0.18,0.36,0.12,0.3,Matches,2008/2009,16.522222222222222
Abou Diaby,fr FRA,MF,22.0,24,16,1465.0,3,2,0,0,5,0,0.18,0.12,0.31,0.18,0.31,Matches,2008/2009,16.27777777777778
Theo Walcott,eng ENG,"FW,MF",19.0,22,16,1265.0,2,2,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches,2008/2009,14.055555555555555
Johan Djourou,ch SUI,DF,21.0,15,13,1204.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2008/2009,13.377777777777778
Mikaël Silvestre,fr FRA,DF,30.0,14,12,1092.0,2,1,0,0,0,0,0.16,0.08,0.25,0.16,0.25,Matches,2008/2009,12.133333333333333
