Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Jens Lehmann,de GER,GK,33.0,38,38,3420.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2003/2004,38.0
Thierry Henry,fr FRA,FW,25.0,37,37,3330.0,30,9,7,7,3,0,0.81,0.24,1.05,0.62,0.86,Matches,2003/2004,37.0
Kolo Touré,ci CIV,DF,22.0,37,36,3184.0,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,2003/2004,35.37777777777778
Sol Campbell,eng ENG,"DF,FW",28.0,35,35,3085.0,1,0,0,0,2,1,0.03,0.0,0.03,0.03,0.03,Matches,2003/2004,34.27777777777778
Robert Pirès,fr FRA,"FW,MF",29.0,36,33,2845.0,14,10,0,0,0,0,0.44,0.32,0.76,0.44,0.76,Matches,2003/2004,31.61111111111111
Ashley Cole,eng ENG,DF,22.0,32,32,2825.0,0,3,0,0,5,1,0.0,0.1,0.1,0.0,0.1,Matches,2003/2004,31.38888888888889
Lauren,cm CMR,DF,26.0,32,30,2744.0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,Matches,2003/2004,30.488888888888887
Gilberto Silva,br BRA,"DF,MF",26.0,32,29,2546.0,4,3,0,0,2,0,0.14,0.11,0.25,0.14,0.25,Matches,2003/2004,28.288888888888888
Patrick Vieira,fr FRA,MF,27.0,29,29,2536.0,3,5,0,0,10,1,0.11,0.18,0.28,0.11,0.28,Matches,2003/2004,28.177777777777777
Freddie Ljungberg,se SWE,"FW,MF",26.0,30,28,2232.0,4,7,0,0,2,0,0.16,0.28,0.44,0.16,0.44,Matches,2003/2004,24.8
Dennis Bergkamp,nl NED,FW,34.0,28,21,1766.0,4,9,0,0,2,0,0.2,0.46,0.66,0.2,0.66,Matches,2003/2004,19.622222222222224
Ray Parlour,eng ENG,MF,30.0,25,16,1514.0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,Matches,2003/2004,16.822222222222223
Edu Gaspar,br BRA,MF,25.0,30,13,1483.0,2,2,0,0,3,0,0.12,0.12,0.24,0.12,0.24,Matches,2003/2004,16.477777777777778
