Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Thomas Vermaelen,be BEL,DF,23.0,33,33,2797.0,7,1,0,0,3,1,0.23,0.03,0.26,0.23,0.26,Matches,2009/2010,31.07777777777778
Bacary Sagna,fr FRA,DF,26.0,35,31,2760.0,0,3,0,0,3,0,0.0,0.1,0.1,0.0,0.1,Matches,2009/2010,30.666666666666668
Manuel Almunia,es ESP,GK,32.0,29,29,2610.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2009/2010,29.0
William Gallas,fr FRA,DF,31.0,26,26,2340.0,3,0,0,0,2,0,0.12,0.0,0.12,0.12,0.12,Matches,2009/2010,26.0
Abou Diaby,fr FRA,MF,23.0,29,26,2319.0,6,3,0,0,2,0,0.23,0.12,0.35,0.23,0.35,Matches,2009/2010,25.766666666666666
Cesc Fàbregas,es ESP,"FW,MF",22.0,27,26,2188.0,15,13,3,4,5,0,0.62,0.53,1.15,0.49,1.03,Matches,2009/2010,24.31111111111111
Andrey Arshavin,ru RUS,"FW,MF",28.0,30,25,2255.0,10,2,0,0,2,0,0.4,0.08,0.48,0.4,0.48,Matches,2009/2010,25.055555555555557
Alex Song,cm CMR,"DF,MF",21.0,26,25,2238.0,1,0,0,0,10,0,0.04,0.0,0.04,0.04,0.04,Matches,2009/2010,24.866666666666667
Gaël Clichy,fr FRA,DF,24.0,24,23,2087.0,0,1,0,0,4,0,0.0,0.04,0.04,0.0,0.04,Matches,2009/2010,23.18888888888889
Samir Nasri,fr FRA,"FW,MF",22.0,26,22,1880.0,2,4,0,0,2,0,0.1,0.19,0.29,0.1,0.29,Matches,2009/2010,20.88888888888889
Denílson,br BRA,MF,21.0,20,19,1567.0,4,1,0,0,2,0,0.23,0.06,0.29,0.23,0.29,Matches,2009/2010,17.41111111111111
Emmanuel Eboué,ci CIV,"DF,MF",26.0,25,17,1493.0,0,2,0,0,4,0,0.0,0.12,0.12,0.0,0.12,Matches,2009/2010,16.58888888888889
Tomáš Rosický,cz CZE,MF,28.0,25,14,1306.0,3,4,0,0,1,0,0.21,0.28,0.48,0.21,0.48,Matches,2009/2010,14.511111111111111
Robin van Persie,nl NED,FW,25.0,16,14,1252.0,9,6,0,0,3,0,0.65,0.43,1.08,0.65,1.08,Matches,2009/2010,13.911111111111111
Nicklas Bendtner,dk DEN,FW,21.0,23,13,1234.0,6,4,0,0,2,0,0.44,0.29,0.73,0.44,0.73,Matches,2009/2010,13.71111111111111
Eduardo da Silva,hr CRO,FW,26.0,24,13,1120.0,4,5,0,0,0,0,0.32,0.4,0.72,0.32,0.72,Matches,2009/2010,12.444444444444445
Theo Walcott,eng ENG,"FW,MF",20.0,23,12,1129.0,3,1,0,0,0,0,0.24,0.08,0.32,0.24,0.32,Matches,2009/2010,12.544444444444444
