Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Patrick Vieira,fr FRA,MF,25.0,36,36,3081.0,2,4,0,1,11,1,0.06,0.12,0.18,0.06,0.18,Matches,2001/2002,34.233333333333334
Thierry Henry,fr FRA,FW,23.0,33,31,2939.0,24,5,4,4,4,0,0.73,0.15,0.89,0.61,0.77,Matches,2001/2002,32.65555555555556
Sol Campbell,eng ENG,"DF,FW",26.0,31,30,2624.0,2,0,0,0,2,0,0.07,0.0,0.07,0.07,0.07,Matches,2001/2002,29.155555555555555
Ashley Cole,eng ENG,DF,20.0,29,29,2485.0,2,4,0,0,6,0,0.07,0.14,0.22,0.07,0.22,Matches,2001/2002,27.61111111111111
Lauren,cm CMR,DF,24.0,27,27,2430.0,2,2,1,1,8,0,0.07,0.07,0.15,0.04,0.11,Matches,2001/2002,27.0
Robert Pirès,fr FRA,"FW,MF",27.0,28,27,2344.0,9,15,1,1,6,0,0.35,0.58,0.92,0.31,0.88,Matches,2001/2002,26.044444444444444
Ray Parlour,eng ENG,MF,28.0,27,25,2038.0,0,1,0,0,7,2,0.0,0.04,0.04,0.0,0.04,Matches,2001/2002,22.644444444444446
Freddie Ljungberg,se SWE,"FW,MF",24.0,25,24,1904.0,12,3,0,0,4,0,0.57,0.14,0.71,0.57,0.71,Matches,2001/2002,21.155555555555555
Sylvain Wiltord,fr FRA,"FW,MF",27.0,32,22,2425.0,10,5,0,0,0,0,0.37,0.19,0.56,0.37,0.56,Matches,2001/2002,26.944444444444443
Dennis Bergkamp,nl NED,FW,32.0,33,22,1948.0,9,11,0,0,2,0,0.42,0.51,0.92,0.42,0.92,Matches,2001/2002,21.644444444444446
Martin Keown,eng ENG,"DF,MF",35.0,22,21,1878.0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,Matches,2001/2002,20.866666666666667
David Seaman,eng ENG,GK,37.0,17,17,1530.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2001/2002,17.0
Oleh Luzhny,ua UKR,DF,32.0,18,15,1352.0,0,1,0,0,4,1,0.0,0.07,0.07,0.0,0.07,Matches,2001/2002,15.022222222222222
Giovanni van Bronckhorst,nl NED,"DF,MF",26.0,21,13,1289.0,1,1,0,0,5,1,0.07,0.07,0.14,0.07,0.14,Matches,2001/2002,14.322222222222223
Richard Wright,eng ENG,GK,23.0,12,12,1073.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2001/2002,11.922222222222222
Gilles Grimandi,fr FRA,DF,30.0,26,11,1174.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2001/2002,13.044444444444444
