Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season,nineties
Pierre-Emerick Aubameyang,ga GAB,FW,30.0,36,35,3136.0,22.0,3.0,2.0,2.0,3.0,1.0,0.63,0.09,0.72,0.57,0.66,15.8,14.3,2.9,0.45,0.08,0.54,0.41,0.49,Matches,2019/2020,34.84444444444444
David Luiz,br BRA,DF,32.0,33,32,2809.0,2.0,1.0,0.0,0.0,5.0,2.0,0.06,0.03,0.1,0.06,0.1,1.9,1.9,0.9,0.06,0.03,0.09,0.06,0.09,Matches,2019/2020,31.211111111111112
Bernd Leno,de GER,GK,27.0,30,30,2649.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019/2020,29.433333333333334
Granit Xhaka,ch SUI,MF,26.0,31,30,2586.0,1.0,2.0,0.0,0.0,10.0,0.0,0.03,0.07,0.1,0.03,0.1,0.3,0.3,1.1,0.01,0.04,0.05,0.01,0.05,Matches,2019/2020,28.733333333333334
Nicolas Pépé,ci CIV,FW,24.0,31,22,2010.0,5.0,6.0,1.0,1.0,4.0,0.0,0.22,0.27,0.49,0.18,0.45,4.5,3.8,4.4,0.2,0.2,0.4,0.17,0.37,Matches,2019/2020,22.333333333333332
Alexandre Lacazette,fr FRA,FW,28.0,30,22,1874.0,10.0,4.0,0.0,0.0,8.0,0.0,0.48,0.19,0.67,0.48,0.67,8.5,8.5,3.1,0.41,0.15,0.55,0.41,0.55,Matches,2019/2020,20.822222222222223
Bukayo Saka,eng ENG,"DF,FW",17.0,26,19,1753.0,1.0,5.0,0.0,0.0,6.0,0.0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.5,0.07,0.18,0.25,0.07,0.25,Matches,2019/2020,19.477777777777778
Mattéo Guendouzi,fr FRA,MF,20.0,24,19,1748.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,0.6,0.6,1.2,0.03,0.06,0.1,0.03,0.1,Matches,2019/2020,19.42222222222222
Sead Kolašinac,ba BIH,DF,26.0,26,19,1701.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,0.7,0.7,1.0,0.04,0.06,0.09,0.04,0.09,Matches,2019/2020,18.9
Sokratis Papastathopoulos,gr GRE,DF,31.0,19,19,1696.0,2.0,0.0,0.0,0.0,6.0,0.0,0.11,0.0,0.11,0.11,0.11,1.0,1.0,0.2,0.05,0.01,0.06,0.05,0.06,Matches,2019/2020,18.844444444444445
Dani Ceballos,es ESP,MF,22.0,24,18,1692.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,0.5,0.5,1.9,0.03,0.1,0.13,0.03,0.13,Matches,2019/2020,18.8
Mesut Özil,de GER,MF,30.0,18,18,1438.0,1.0,2.0,0.0,0.0,1.0,0.0,0.06,0.13,0.19,0.06,0.19,1.3,1.3,2.2,0.08,0.14,0.22,0.08,0.22,Matches,2019/2020,15.977777777777778
Lucas Torreira,uy URU,MF,23.0,29,17,1512.0,1.0,1.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.1,0.1,0.07,0.16,0.1,0.16,Matches,2019/2020,16.8
Ainsley Maitland-Niles,eng ENG,DF,21.0,20,15,1386.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.13,0.13,0.0,0.13,0.3,0.3,1.5,0.02,0.1,0.12,0.02,0.12,Matches,2019/2020,15.4
Shkodran Mustafi,de GER,DF,27.0,15,13,1207.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,0.8,0.8,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2019/2020,13.411111111111111
Héctor Bellerín,es ESP,DF,24.0,15,13,1158.0,1.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.3,0.04,0.02,0.06,0.04,0.06,Matches,2019/2020,12.866666666666667
Calum Chambers,eng ENG,DF,24.0,14,13,1102.0,1.0,1.0,0.0,0.0,5.0,0.0,0.08,0.08,0.16,0.08,0.16,0.7,0.7,0.7,0.06,0.06,0.11,0.06,0.11,Matches,2019/2020,12.244444444444444
Squad Total,,,,38,418,3420.0,56.0,35.0,3.0,3.0,88.0,5.0,1.47,0.92,2.39,1.39,2.32,49.2,46.9,29.9,1.3,0.79,2.08,1.24,2.02,,2019/2020,38.0
