Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Gaël Clichy,fr FRA,DF,22.0,38,37,3330.0,0,4,0,0,5,0,0.0,0.11,0.11,0.0,0.11,Matches,2007/2008,37.0
Emmanuel Adebayor,tg TOG,FW,23.0,36,32,2926.0,24,4,3,3,3,0,0.74,0.12,0.86,0.65,0.77,Matches,2007/2008,32.51111111111111
Cesc Fàbregas,es ESP,"FW,MF",20.0,32,32,2857.0,7,15,0,0,9,0,0.22,0.47,0.69,0.22,0.69,Matches,2007/2008,31.744444444444444
William Gallas,fr FRA,DF,29.0,31,31,2723.0,4,0,0,0,6,0,0.13,0.0,0.13,0.13,0.13,Matches,2007/2008,30.255555555555556
Mathieu Flamini,fr FRA,MF,23.0,30,30,2660.0,3,2,0,0,5,0,0.1,0.07,0.17,0.1,0.17,Matches,2007/2008,29.555555555555557
Manuel Almunia,es ESP,GK,30.0,29,29,2610.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2007/2008,29.0
Kolo Touré,ci CIV,DF,26.0,30,29,2565.0,2,3,0,0,4,0,0.07,0.11,0.18,0.07,0.18,Matches,2007/2008,28.5
Bacary Sagna,fr FRA,DF,24.0,29,29,2458.0,1,2,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,2007/2008,27.31111111111111
Alexander Hleb,by BLR,MF,26.0,31,29,2425.0,2,7,0,0,3,0,0.07,0.26,0.33,0.07,0.33,Matches,2007/2008,26.944444444444443
Emmanuel Eboué,ci CIV,"DF,MF",24.0,23,20,1650.0,0,2,0,0,5,0,0.0,0.11,0.11,0.0,0.11,Matches,2007/2008,18.333333333333332
Tomáš Rosický,cz CZE,MF,26.0,18,15,1334.0,6,2,0,0,1,0,0.4,0.13,0.54,0.4,0.54,Matches,2007/2008,14.822222222222223
Philippe Senderos,ch SUI,DF,22.0,17,14,1247.0,2,0,0,0,0,1,0.14,0.0,0.14,0.14,0.14,Matches,2007/2008,13.855555555555556
Robin van Persie,nl NED,FW,23.0,15,13,1071.0,7,3,2,3,2,0,0.59,0.25,0.84,0.42,0.67,Matches,2007/2008,11.9
Gilberto Silva,br BRA,"DF,MF",30.0,23,12,1196.0,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,Matches,2007/2008,13.28888888888889
Theo Walcott,eng ENG,"FW,MF",18.0,25,11,1260.0,4,3,0,0,0,0,0.29,0.21,0.5,0.29,0.5,Matches,2007/2008,14.0
