Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Wojciech Szczęsny,pl POL,GK,21.0,38,38,3420.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2011/2012,38.0
Robin van Persie,nl NED,FW,27.0,38,37,3331.0,30,11,2,3,8,0,0.81,0.3,1.11,0.76,1.05,Matches,2011/2012,37.01111111111111
Alex Song,cm CMR,"DF,MF",23.0,34,34,2995.0,1,10,0,0,10,0,0.03,0.3,0.33,0.03,0.33,Matches,2011/2012,33.27777777777778
Laurent Koscielny,fr FRA,DF,25.0,33,33,2871.0,2,1,0,0,9,0,0.06,0.03,0.09,0.06,0.09,Matches,2011/2012,31.9
Theo Walcott,eng ENG,"FW,MF",22.0,35,32,2727.0,8,8,0,0,1,0,0.26,0.26,0.53,0.26,0.53,Matches,2011/2012,30.3
Mikel Arteta,es ESP,MF,29.0,29,29,2470.0,6,2,0,0,4,0,0.22,0.07,0.29,0.22,0.29,Matches,2011/2012,27.444444444444443
Thomas Vermaelen,be BEL,DF,25.0,29,28,2477.0,6,1,0,0,7,0,0.22,0.04,0.25,0.22,0.25,Matches,2011/2012,27.522222222222222
Aaron Ramsey,wal WAL,MF,20.0,34,27,2463.0,2,5,0,0,3,0,0.07,0.18,0.26,0.07,0.26,Matches,2011/2012,27.366666666666667
Per Mertesacker,de GER,DF,26.0,21,21,1826.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2011/2012,20.288888888888888
Bacary Sagna,fr FRA,DF,28.0,21,20,1697.0,1,3,0,0,2,0,0.05,0.16,0.21,0.05,0.21,Matches,2011/2012,18.855555555555554
Tomáš Rosický,cz CZE,MF,30.0,28,19,1762.0,1,4,0,0,4,0,0.05,0.2,0.26,0.05,0.26,Matches,2011/2012,19.57777777777778
Gervinho,ci CIV,"FW,MF",24.0,28,19,1679.0,4,5,0,0,0,1,0.21,0.27,0.48,0.21,0.48,Matches,2011/2012,18.655555555555555
Kieran Gibbs,eng ENG,"DF,MF",21.0,16,15,1249.0,1,0,0,0,1,0,0.07,0.0,0.07,0.07,0.07,Matches,2011/2012,13.877777777777778
Johan Djourou,ch SUI,DF,24.0,18,14,1164.0,0,1,0,0,4,1,0.0,0.08,0.08,0.0,0.08,Matches,2011/2012,12.933333333333334
André Santos,br BRA,"DF,MF",28.0,15,10,1017.0,2,0,0,0,2,0,0.18,0.0,0.18,0.18,0.18,Matches,2011/2012,11.3
