Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Santi Cazorla,es ESP,MF,27.0,38,37,3297.0,12,11,0,0,1,0,0.33,0.3,0.63,0.33,0.63,Matches,2012/2013,36.63333333333333
Mikel Arteta,es ESP,MF,30.0,34,34,2982.0,6,3,5,6,6,0,0.18,0.09,0.27,0.03,0.12,Matches,2012/2013,33.13333333333333
Per Mertesacker,de GER,DF,27.0,34,33,3029.0,3,0,0,0,3,1,0.09,0.0,0.09,0.09,0.09,Matches,2012/2013,33.65555555555556
Wojciech Szczęsny,pl POL,GK,22.0,25,25,2250.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2012/2013,25.0
Bacary Sagna,fr FRA,DF,29.0,25,25,2239.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2012/2013,24.877777777777776
Thomas Vermaelen,be BEL,DF,26.0,29,25,2236.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,2012/2013,24.844444444444445
Lukas Podolski,de GER,"FW,MF",27.0,33,25,1985.0,11,10,0,0,1,0,0.5,0.45,0.95,0.5,0.95,Matches,2012/2013,22.055555555555557
Olivier Giroud,fr FRA,FW,25.0,34,24,2333.0,11,3,0,0,3,1,0.42,0.12,0.54,0.42,0.54,Matches,2012/2013,25.92222222222222
Theo Walcott,eng ENG,"FW,MF",23.0,32,24,2284.0,14,10,0,0,3,0,0.55,0.39,0.95,0.55,0.95,Matches,2012/2013,25.377777777777776
Kieran Gibbs,eng ENG,"DF,MF",22.0,27,23,2103.0,0,3,0,0,2,0,0.0,0.13,0.13,0.0,0.13,Matches,2012/2013,23.366666666666667
Aaron Ramsey,wal WAL,MF,21.0,36,21,2097.0,1,2,0,0,5,0,0.04,0.09,0.13,0.04,0.13,Matches,2012/2013,23.3
Jack Wilshere,eng ENG,MF,20.0,25,20,1696.0,0,3,0,0,4,1,0.0,0.16,0.16,0.0,0.16,Matches,2012/2013,18.844444444444445
Laurent Koscielny,fr FRA,DF,26.0,25,20,1676.0,2,1,0,0,1,1,0.11,0.05,0.16,0.11,0.16,Matches,2012/2013,18.622222222222224
Carl Jenkinson,eng ENG,DF,20.0,14,14,1186.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Matches,2012/2013,13.177777777777777
Gervinho,ci CIV,"FW,MF",25.0,18,12,1012.0,5,3,0,0,1,0,0.44,0.27,0.71,0.44,0.71,Matches,2012/2013,11.244444444444444
Alex Oxlade-Chamberlain,eng ENG,MF,18.0,25,11,1063.0,1,3,0,0,1,0,0.08,0.25,0.34,0.08,0.34,Matches,2012/2013,11.811111111111112
