Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season,nineties
Wojciech Szczęsny,pl POL,GK,23.0,37,37,3330.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,2013/2014,37.0
Olivier Giroud,fr FRA,FW,26.0,36,36,3067.0,16,8,1,1,4,0,0.47,0.23,0.7,0.44,0.67,Matches,2013/2014,34.077777777777776
Per Mertesacker,de GER,DF,28.0,35,35,3150.0,2,0,0,0,3,0,0.06,0.0,0.06,0.06,0.06,Matches,2013/2014,35.0
Bacary Sagna,fr FRA,DF,30.0,35,34,3060.0,1,0,0,0,6,0,0.03,0.0,0.03,0.03,0.03,Matches,2013/2014,34.0
Laurent Koscielny,fr FRA,DF,27.0,32,32,2739.0,2,0,0,0,2,1,0.07,0.0,0.07,0.07,0.07,Matches,2013/2014,30.433333333333334
Santi Cazorla,es ESP,MF,28.0,31,30,2587.0,4,8,0,0,2,0,0.14,0.28,0.42,0.14,0.42,Matches,2013/2014,28.744444444444444
Mikel Arteta,es ESP,MF,31.0,31,27,2408.0,2,0,2,2,3,1,0.07,0.0,0.07,0.0,0.0,Matches,2013/2014,26.755555555555556
Mesut Özil,de GER,MF,24.0,26,25,2140.0,5,9,0,0,0,0,0.21,0.38,0.59,0.21,0.59,Matches,2013/2014,23.77777777777778
Kieran Gibbs,eng ENG,"DF,MF",23.0,28,24,2055.0,0,1,0,0,2,1,0.0,0.04,0.04,0.0,0.04,Matches,2013/2014,22.833333333333332
Aaron Ramsey,wal WAL,MF,22.0,23,20,1761.0,10,7,0,0,3,0,0.51,0.36,0.87,0.51,0.87,Matches,2013/2014,19.566666666666666
Jack Wilshere,eng ENG,MF,21.0,24,19,1719.0,3,4,0,0,6,0,0.16,0.21,0.37,0.16,0.37,Matches,2013/2014,19.1
Mathieu Flamini,fr FRA,MF,29.0,27,18,1667.0,2,0,0,0,8,1,0.11,0.0,0.11,0.11,0.11,Matches,2013/2014,18.522222222222222
Tomáš Rosický,cz CZE,MF,32.0,27,17,1572.0,2,1,0,0,7,0,0.11,0.06,0.17,0.11,0.17,Matches,2013/2014,17.466666666666665
Lukas Podolski,de GER,"FW,MF",28.0,20,14,1167.0,8,2,0,0,0,0,0.62,0.15,0.77,0.62,0.77,Matches,2013/2014,12.966666666666667
Nacho Monreal,es ESP,DF,27.0,23,13,1185.0,0,1,0,0,2,0,0.0,0.08,0.08,0.0,0.08,Matches,2013/2014,13.166666666666666
