Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot-Creating Actions,Shot-Creating Actions p90,SCA pass live,SCA pass dead,SCA from dribbles,SCA shots,SCA from fouls,Goal-Creating Actions,Goal-Creating Actions p90,GCA pass live,GCA pass dead,GCA dribbled,GCA shots,GCA fouls,GCA OG
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,62.0,2.23,32.0,23.0,3.0,2.0,2.0,5.0,0.18,3.0,1.0,1.0,0.0,0.0,0.0
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,54.0,1.5,42.0,2.0,3.0,3.0,4.0,3.0,0.08,1.0,1.0,0.0,0.0,1.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,16.0,0.57,11.0,0.0,0.0,4.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,2.0,1.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,45.0,2.23,27.0,14.0,1.0,2.0,1.0,4.0,0.2,2.0,1.0,0.0,1.0,0.0,0.0
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,12.0,1.73,8.0,0.0,0.0,0.0,4.0,1.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,11.0,0.59,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,47.0,1.91,33.0,0.0,6.0,6.0,2.0,10.0,0.41,4.0,0.0,3.0,2.0,1.0,0.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,10.0,1.36,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,27.0,0.77,24.0,0.0,1.0,1.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,24.0,1.94,15.0,0.0,3.0,2.0,4.0,5.0,0.41,2.0,0.0,1.0,0.0,2.0,0.0
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,18.0,1.7,14.0,1.0,0.0,2.0,1.0,2.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,20.0,2.41,16.0,0.0,1.0,1.0,2.0,4.0,0.48,3.0,0.0,0.0,0.0,1.0,0.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,6.0,2.87,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,1.0,0.39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,3.0,5.87,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,37.0,3.26,25.0,5.0,4.0,2.0,1.0,7.0,0.62,3.0,1.0,2.0,1.0,0.0,0.0
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,2.0,0.87,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,33.0,1.65,23.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,23.0,0.99,18.0,1.0,2.0,0.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,2.0,2.65,2.0,0.0,0.0,0.0,0.0,1.0,1.32,1.0,0.0,0.0,0.0,0.0,0.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,6.0,8.44,4.0,0.0,2.0,0.0,0.0,1.0,1.41,1.0,0.0,0.0,0.0,0.0,0.0
