Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,Shots on Target,Shots on Target %,Shots Total p90,Shots on Target p90,Goals per shot,Goals per shot on target,Shots from Free Kicks,Penalty Kicks scored,Penalty Kicks attempted,xG,Non-penalty xG,npxG/Sh,G-xG,np:G-xG
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,3.0,26.0,5.0,19.2,0.93,0.18,0.08,0.4,3.0,1.0,1.0,2.4,1.6,0.06,0.6,0.4
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,0.0,14.0,4.0,28.6,0.39,0.11,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,3.0,19.0,5.0,26.3,0.68,0.18,0.16,0.6,0.0,0.0,0.0,1.3,1.3,0.07,1.7,1.7
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1.0,6.0,3.0,50.0,3.44,1.72,0.17,0.33,0.0,0.0,0.0,1.3,1.3,0.21,-0.3,-0.3
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1.0,33.0,7.0,21.2,1.63,0.35,0.03,0.14,3.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0.0,5.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2.0,7.0,4.0,57.1,0.37,0.21,0.29,0.5,0.0,0.0,0.0,1.4,1.4,0.2,0.6,0.6
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,15.0,88.0,35.0,39.8,3.58,1.42,0.17,0.43,0.0,0.0,0.0,14.1,14.1,0.16,0.9,0.9
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0.0,5.0,2.0,40.0,0.68,0.27,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2.0,17.0,7.0,41.2,0.48,0.2,0.12,0.29,0.0,0.0,0.0,2.0,2.0,0.12,0.0,0.0
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,4.0,37.0,9.0,24.3,3.0,0.73,0.11,0.44,0.0,0.0,0.0,4.0,4.0,0.11,0.0,0.0
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,0.0,7.0,1.0,14.3,0.66,0.09,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,5.0,20.0,10.0,50.0,2.41,1.21,0.25,0.5,0.0,0.0,0.0,4.1,4.1,0.2,0.9,0.9
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1.0,5.0,4.0,80.0,2.39,1.91,0.2,0.25,0.0,0.0,0.0,1.7,1.7,0.34,-0.7,-0.7
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0.0,3.0,1.0,33.3,1.17,0.39,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.18,-0.6,-0.6
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,3.0,18.0,6.0,33.3,1.59,0.53,0.17,0.5,1.0,0.0,0.0,0.9,0.9,0.05,2.1,2.1
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,1.0,6.0,3.0,50.0,2.6,1.3,0.17,0.33,0.0,0.0,1.0,1.3,0.6,0.1,-0.3,0.4
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1.0,14.0,2.0,14.3,0.7,0.1,0.07,0.5,0.0,0.0,0.0,0.3,0.3,0.02,0.7,0.7
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1.0,3.0,1.0,33.3,0.13,0.04,0.33,1.0,0.0,0.0,0.0,0.9,0.9,0.3,0.1,0.1
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,0.0,4.0,0.0,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,1.0,10.0,2.0,20.0,1.35,0.27,0.1,0.5,0.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,1.0,5.0,1.0,20.0,0.47,0.09,0.2,1.0,1.0,0.0,0.0,0.7,0.7,0.13,0.3,0.3
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,16.0,73.0,25.0,34.2,4.52,1.55,0.19,0.56,0.0,2.0,3.0,14.0,11.8,0.16,2.0,2.2
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0.0,7.0,3.0,42.9,0.59,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,1.0,10.0,4.0,40.0,1.43,0.57,0.1,0.25,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0.0,10.0,1.0,10.0,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,0.0,12.0,2.0,16.7,0.52,0.09,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,0.0,2.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,0.0,4.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,0.0,3.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,8.0,44.0,18.0,40.9,1.92,0.79,0.16,0.39,0.0,1.0,1.0,6.2,5.4,0.12,1.8,1.6
