Player,Nation,Pos,Squad,Comp,Age,Born,90s,No. Tackels,No Tackels won,Def 3rd tackles,Mid 3rd tackles,Att 3rd tackles,Tackles v Dribbles,Tackles v Dribble attempts,% of dribblers tackled,No of times dribbled past,Pressures,Succ Pressures,Succ Pressures %,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Blocked shots,ShSv,Blocked pass,Interceptions,Tkl+Int,Clearances,Errors
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,5.0,4.0,1.0,3.0,1.0,1.0,3.0,33.3,2.0,34.0,6.0,17.6,10.0,18.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,25.0,17.0,11.0,10.0,4.0,9.0,22.0,40.9,13.0,219.0,63.0,28.8,65.0,134.0,20.0,10.0,0.0,0.0,10.0,11.0,36.0,13.0,0.0
Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,1.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,27.0,7.0,25.9,12.0,12.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0
Ola Aina,ng NGA,"DF,MF",Torino,it Serie A,21,1996,24.0,64.0,44.0,40.0,17.0,7.0,21.0,53.0,39.6,32.0,468.0,152.0,32.5,212.0,194.0,62.0,67.0,4.0,1.0,63.0,34.0,98.0,41.0,0.0
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,21.0,16.0,7.0,10.0,4.0,7.0,38.0,18.4,31.0,319.0,78.0,24.5,98.0,193.0,28.0,22.0,3.0,0.0,19.0,9.0,30.0,3.0,1.0
Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,29.0,24.0,14.0,15.0,0.0,10.0,40.0,25.0,30.0,255.0,69.0,27.1,96.0,139.0,20.0,20.0,5.0,0.0,15.0,11.0,40.0,18.0,0.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,44.4,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,15.0,7.0,0.0,8.0,7.0,6.0,17.0,35.3,11.0,277.0,57.0,20.6,14.0,155.0,108.0,9.0,2.0,0.0,7.0,6.0,21.0,9.0,0.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,34.0,25.0,19.0,11.0,4.0,5.0,19.0,26.3,14.0,161.0,60.0,37.3,92.0,63.0,6.0,27.0,12.0,0.0,15.0,17.0,51.0,102.0,1.0
Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,33.0,17.0,22.0,9.0,2.0,14.0,29.0,48.3,15.0,171.0,44.0,25.7,99.0,50.0,22.0,16.0,2.0,0.0,14.0,17.0,50.0,38.0,0.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,60.0,37.0,42.0,15.0,3.0,17.0,35.0,48.6,18.0,395.0,116.0,29.4,281.0,102.0,12.0,70.0,37.0,2.0,33.0,27.0,87.0,237.0,0.0
Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0,100.0,0.0,14.0,7.0,50.0,9.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,5.0,8.0,0.0
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,7.0,5.0,2.0,5.0,0.0,0.0,4.0,0.0,4.0,138.0,35.0,25.4,16.0,77.0,45.0,6.0,0.0,0.0,6.0,2.0,9.0,2.0,0.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,22.0,11.0,11.0,11.0,0.0,8.0,19.0,42.1,11.0,107.0,43.0,40.2,62.0,43.0,2.0,21.0,4.0,0.0,17.0,7.0,29.0,14.0,3.0
Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,6.0,4.0,4.0,1.0,1.0,2.0,4.0,50.0,2.0,49.0,15.0,30.6,33.0,14.0,2.0,10.0,2.0,0.0,8.0,4.0,10.0,17.0,0.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,30.0,21.0,13.0,11.0,6.0,9.0,26.0,34.6,17.0,249.0,108.0,43.4,85.0,93.0,71.0,48.0,3.0,0.0,45.0,15.0,45.0,41.0,0.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,73.0,36.0,44.0,26.0,3.0,27.0,69.0,39.1,42.0,421.0,131.0,31.1,247.0,131.0,43.0,43.0,6.0,0.0,37.0,29.0,102.0,53.0,0.0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,13.0,9.0,4.0,7.0,2.0,2.0,12.0,16.7,10.0,287.0,90.0,31.4,17.0,133.0,137.0,14.0,3.0,0.0,11.0,1.0,14.0,11.0,0.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,45.0,33.0,23.0,15.0,7.0,18.0,53.0,34.0,35.0,450.0,154.0,34.2,174.0,190.0,86.0,74.0,7.0,0.0,67.0,41.0,86.0,75.0,0.0
Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,46.0,28.0,11.0,28.0,7.0,18.0,61.0,29.5,43.0,590.0,175.0,29.7,111.0,315.0,164.0,32.0,3.0,0.0,29.0,11.0,57.0,5.0,0.0
Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,23.0,17.0,19.0,4.0,0.0,7.0,18.0,38.9,11.0,107.0,35.0,32.7,73.0,31.0,3.0,31.0,18.0,1.0,13.0,18.0,41.0,90.0,1.0
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,40.0,25.0,30.0,8.0,2.0,18.0,48.0,37.5,30.0,298.0,86.0,28.9,145.0,112.0,41.0,36.0,3.0,0.0,33.0,6.0,46.0,38.0,0.0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,37.0,23.0,16.0,15.0,6.0,12.0,43.0,27.9,31.0,393.0,101.0,25.7,141.0,166.0,86.0,30.0,3.0,0.0,27.0,23.0,60.0,19.0,0.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,4.0,4.0,1.0,2.0,1.0,0.0,8.0,0.0,8.0,189.0,43.0,22.8,12.0,77.0,100.0,6.0,0.0,0.0,6.0,7.0,11.0,5.0,0.0
Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,31.0,20.0,23.0,8.0,0.0,15.0,25.0,60.0,10.0,167.0,46.0,27.5,105.0,59.0,3.0,25.0,16.0,1.0,9.0,29.0,60.0,178.0,1.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,85.0,66.0,32.0,40.0,13.0,16.0,45.0,35.6,29.0,388.0,127.0,32.7,91.0,239.0,58.0,29.0,6.0,0.0,23.0,35.0,120.0,25.0,0.0
