Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %,% of dribblers tackled,A-xA,Assists,Att 3rd Pressures,Att 3rd tackles,Att 3rd touches,Attempted Dribbles,Blocked pass,Blocked shots,Blocks,CK in,CK out,CK str,Carries,Clearances,Corner Kicks,Crosses into Penalty Area,Dead Ball passes,Def 3rd Pressures,Def 3rd tackles,Def 3rd touches,Def Pen touches,Errors,Free Kick passes,G-xG,GCA OG,GCA dribbled,GCA fouls,GCA pass dead,GCA pass live,GCA shots,Goal-Creating Actions,Goal-Creating Actions p90,Goals,Goals per shot,Goals per shot on target,Ground passes,Head passes,High passes,Key Passes,Left passes,Live Ball passes,Live ball touches,Long Pass Completion %,Long Passes Attempted,Long Passes Completed,Low passes,Medium Pass Completion %,Medium Passes Attempted,Medium Passes Completed,Megs,Mid 3rd Pressures,Mid 3rd tackles,Mid 3rd touches,Miscon,No Tackels won,No of times dribbled past,No. Tackels,Non-penalty xG,Other passes,Pass Completion %,Pass Targets,Pass out of bounds,Passes Attempted,Passes Completed,Passes Dispossed,Passes Received,Passes Received %,Passes blocked,Passes completed,Passes intercepted,Passes into Final Third,Passes into Penalty Area,Passes offside,Passes under pressure,Penalty Kicks attempted,Penalty Kicks scored,Players dribbled past,Pressures,PrgDist,ProgDist carries,Progressive Passes,Right passes,SCA from dribbles,SCA from fouls,SCA pass dead,SCA pass live,SCA shots,ShSv,Short Pass Completion %,Short Passes Attempted,Short Passes Completed,Shot-Creating Actions,Shot-Creating Actions p90,Shots,Shots Total p90,Shots from Free Kicks,Shots on Target,Shots on Target %,Shots on Target p90,Succ Pressures,Succ Pressures %,Successful Dribble %,Successful Dribbles,Switches,Tackles v Dribble attempts,Tackles v Dribbles,Through Balls,Throw ins,Tkl+Int,TotDist,Total Distance carries,Touches,Touches in Box,np:G-xG,npxG/Sh,xA,xG
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,22.0,1.0,4.0,20.0,42.9,-0.5,0.0,6.0,0.0,39.0,3.0,7.0,0.0,7.0,0.0,0.0,0.0,85.0,9.0,0.0,2.0,30.0,36.0,8.0,56.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2.0,44.0,1.0,9.0,92.0,128.0,58.6,29.0,17.0,11.0,71.6,88.0,63.0,0.0,24.0,6.0,68.0,2.0,4.0,4.0,14.0,0.0,1.0,65.6,76.0,6.0,122.0,80.0,2.0,70.0,92.1,10.0,80.0,0.0,6.0,2.0,0.0,16.0,0.0,0.0,2.0,66.0,786.0,303.0,22.0,83.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.2,66.7,2.0,5.0,7.0,3.0,0.0,26.0,19.0,1603.0,500.0,157.0,0.0,0.0,0.0,0.5,0.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3.0,0.0,0.0,12.0,14.0,11.0,54.0,36.0,32.0,0.0,0.0,0.0,331.0,9.0,10.0,47.4,40.0,-1.9,2.0,35.0,3.0,682.0,43.0,51.0,10.0,61.0,0.0,0.0,0.0,1471.0,98.0,1.0,9.0,354.0,300.0,32.0,678.0,138.0,1.0,47.0,0.3,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.17,3.0,0.07,0.25,1322.0,40.0,333.0,34.0,1299.0,1608.0,1950.0,62.6,369.0,231.0,307.0,86.4,1543.0,1333.0,1.0,86.0,11.0,1071.0,27.0,32.0,27.0,46.0,2.7,4.0,80.9,1467.0,34.0,1962.0,1587.0,19.0,1351.0,92.1,52.0,1587.0,57.0,115.0,63.0,3.0,274.0,0.0,0.0,28.0,421.0,11857.0,4396.0,292.0,310.0,1.0,2.0,7.0,59.0,2.0,0.0,46.0,50.0,23.0,71.0,2.0,44.0,1.24,0.0,12.0,27.3,0.34,115.0,27.3,62.8,27.0,29.0,45.0,18.0,4.0,306.0,82.0,26851.0,7810.0,2298.0,78.0,0.3,0.06,3.9,2.7
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,4.0,0.0,0.0,13.0,7.0,0.0,20.0,14.0,21.0,0.0,1.0,0.0,113.0,10.0,7.0,58.8,43.3,-0.4,0.0,20.0,4.0,165.0,9.0,29.0,5.0,34.0,0.0,0.0,0.0,700.0,53.0,0.0,4.0,114.0,102.0,19.0,351.0,74.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,21.0,154.0,7.0,59.0,804.0,946.0,68.9,267.0,184.0,139.0,91.9,626.0,575.0,2.0,77.0,14.0,587.0,6.0,21.0,17.0,37.0,0.0,2.0,83.4,709.0,12.0,918.0,766.0,3.0,687.0,96.9,23.0,766.0,14.0,73.0,13.0,1.0,144.0,0.0,0.0,8.0,199.0,5802.0,1506.0,112.0,736.0,0.0,0.0,0.0,18.0,0.0,0.0,28.0,25.0,7.0,18.0,1.24,1.0,0.07,0.0,1.0,100.0,0.07,56.0,28.1,55.6,5.0,14.0,30.0,13.0,3.0,95.0,51.0,14840.0,2778.0,1056.0,9.0,0.0,0.03,0.4,0.0
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,100.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,2.0,1.0,0.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,96.0,5.0,0.0,0.0,0.02,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2.0,0.0,0.0,33.0,21.0,1.0,0.0,46.0,35.0,0.0,1.0,1.0,327.0,88.0,47.0,65.2,60.5,-0.1,0.0,8.0,1.0,46.0,24.0,54.0,24.0,78.0,0.0,0.0,0.0,1227.0,240.0,0.0,0.0,54.0,271.0,51.0,1347.0,310.0,2.0,52.0,-1.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,1173.0,90.0,284.0,3.0,1007.0,1522.0,1972.0,77.7,618.0,480.0,119.0,89.3,933.0,833.0,0.0,80.0,15.0,754.0,10.0,35.0,17.0,67.0,1.8,5.0,83.6,1210.0,36.0,1576.0,1318.0,5.0,1179.0,97.4,22.0,1318.0,9.0,51.0,3.0,4.0,187.0,0.0,0.0,22.0,359.0,10127.0,3508.0,66.0,436.0,3.0,0.0,0.0,15.0,2.0,0.0,20.0,25.0,5.0,20.0,0.53,18.0,0.47,0.0,4.0,22.2,0.11,128.0,35.7,91.7,22.0,53.0,43.0,26.0,1.0,2.0,113.0,30166.0,7009.0,2023.0,26.0,-1.8,0.1,0.1,1.8
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,6.0,0.0,0.0,57.0,29.0,1.0,13.0,24.0,40.0,0.0,0.0,0.0,256.0,16.0,14.0,53.3,31.7,-1.5,0.0,75.0,8.0,267.0,61.0,27.0,10.0,37.0,0.0,0.0,1.0,1016.0,22.0,10.0,2.0,33.0,137.0,28.0,302.0,34.0,0.0,16.0,-0.1,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.09,3.0,0.06,0.18,828.0,46.0,157.0,23.0,101.0,1048.0,1327.0,72.6,270.0,196.0,96.0,90.2,782.0,705.0,2.0,237.0,22.0,883.0,33.0,40.0,28.0,58.0,2.3,4.0,85.0,1007.0,26.0,1081.0,919.0,36.0,897.0,89.1,15.0,919.0,7.0,87.0,11.0,4.0,198.0,1.0,1.0,40.0,449.0,3889.0,3046.0,82.0,912.0,3.0,1.0,5.0,32.0,1.0,0.0,62.1,29.0,18.0,42.0,1.87,35.0,1.56,0.0,11.0,31.4,0.49,117.0,26.1,62.3,38.0,32.0,41.0,13.0,2.0,4.0,82.0,17137.0,6188.0,1356.0,27.0,-0.3,0.07,1.5,3.1
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7,80.0,0.0,0.0,6.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,1.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0,0.0,13.0,16.0,29.0,0.0,3.0,0.0,2.0,54.5,11.0,6.0,0.0,1.0,1.0,11.0,1.0,4.0,1.0,6.0,0.2,0.0,37.5,23.0,1.0,16.0,6.0,2.0,15.0,65.2,1.0,6.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,11.0,15.0,99.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.63,1.0,2.81,0.0,0.0,0.0,0.0,2.0,18.2,66.7,2.0,0.0,5.0,4.0,0.0,0.0,7.0,58.0,139.0,29.0,3.0,-0.2,0.16,0.0,0.2
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,2.0,0.0,0.0,11.0,9.0,0.0,4.0,15.0,19.0,0.0,0.0,0.0,197.0,27.0,16.0,62.8,30.8,-0.1,0.0,9.0,2.0,57.0,5.0,29.0,11.0,40.0,0.0,0.0,0.0,475.0,65.0,0.0,3.0,23.0,112.0,17.0,374.0,90.0,0.0,20.0,-0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,0.0,427.0,60.0,171.0,3.0,72.0,648.0,806.0,70.1,278.0,195.0,73.0,84.5,380.0,321.0,0.0,60.0,9.0,459.0,3.0,19.0,18.0,28.0,0.4,0.0,77.5,452.0,12.0,671.0,520.0,2.0,442.0,97.8,12.0,520.0,12.0,58.0,7.0,2.0,101.0,0.0,0.0,4.0,181.0,4564.0,1722.0,72.0,518.0,0.0,1.0,0.0,8.0,1.0,1.0,30.8,13.0,4.0,10.0,0.63,5.0,0.32,0.0,1.0,20.0,0.06,68.0,37.6,80.0,4.0,24.0,26.0,8.0,0.0,3.0,43.0,12124.0,3199.0,828.0,8.0,-0.4,0.08,0.1,0.4
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,5.0,0.0,0.0,19.0,16.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0,117.0,5.0,6.0,45.5,20.0,-0.1,0.0,25.0,3.0,67.0,7.0,9.0,2.0,11.0,0.0,0.0,0.0,339.0,10.0,0.0,0.0,10.0,71.0,8.0,105.0,20.0,0.0,6.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,28.0,46.0,2.0,25.0,374.0,455.0,83.6,61.0,51.0,47.0,90.0,309.0,278.0,0.0,106.0,8.0,314.0,1.0,12.0,16.0,19.0,0.2,4.0,86.7,291.0,4.0,384.0,333.0,11.0,277.0,95.2,10.0,333.0,4.0,22.0,1.0,0.0,77.0,0.0,0.0,6.0,202.0,968.0,686.0,16.0,321.0,0.0,0.0,0.0,4.0,0.0,0.0,28.6,14.0,4.0,4.0,0.46,7.0,0.8,0.0,2.0,28.6,0.23,48.0,23.8,85.7,6.0,4.0,20.0,4.0,0.0,2.0,31.0,5636.0,1723.0,463.0,4.0,-0.2,0.02,0.1,0.2
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,4.0,1.0,1.0,26.0,42.0,4.0,8.0,43.0,30.0,0.0,2.0,0.0,424.0,78.0,36.0,68.4,53.8,0.4,1.0,15.0,6.0,127.0,11.0,32.0,31.0,63.0,0.0,0.0,0.0,1360.0,181.0,0.0,2.0,66.0,173.0,29.0,1117.0,279.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.05,3.0,0.16,0.43,1284.0,121.0,319.0,8.0,1278.0,1721.0,2104.0,79.7,606.0,483.0,184.0,91.3,1158.0,1057.0,0.0,71.0,16.0,1108.0,7.0,30.0,12.0,51.0,3.0,7.0,87.0,1344.0,32.0,1787.0,1554.0,14.0,1307.0,97.2,9.0,1554.0,16.0,112.0,6.0,3.0,262.0,0.0,0.0,9.0,259.0,10694.0,5119.0,103.0,318.0,0.0,3.0,0.0,17.0,1.0,0.0,60.9,23.0,14.0,21.0,0.57,19.0,0.52,0.0,7.0,36.8,0.19,96.0,37.1,81.8,9.0,48.0,26.0,14.0,1.0,15.0,94.0,33525.0,9766.0,2162.0,27.0,0.0,0.16,0.6,3.0
