Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,22.0,1.0,4.0,20.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3.0,0.0,0.0,12.0,14.0,11.0,54.0,36.0,32.0,0.0,0.0,0.0,331.0,9.0,10.0,47.4
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,4.0,0.0,0.0,13.0,7.0,0.0,20.0,14.0,21.0,0.0,1.0,0.0,113.0,10.0,7.0,58.8
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2.0,0.0,0.0,33.0,21.0,1.0,0.0,46.0,35.0,0.0,1.0,1.0,327.0,88.0,47.0,65.2
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,6.0,0.0,0.0,57.0,29.0,1.0,13.0,24.0,40.0,0.0,0.0,0.0,256.0,16.0,14.0,53.3
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,2.0,0.0,0.0,11.0,9.0,0.0,4.0,15.0,19.0,0.0,0.0,0.0,197.0,27.0,16.0,62.8
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,5.0,0.0,0.0,19.0,16.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0,117.0,5.0,6.0,45.5
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,4.0,1.0,1.0,26.0,42.0,4.0,8.0,43.0,30.0,0.0,2.0,0.0,424.0,78.0,36.0,68.4
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,4.0,0.0,0.0,28.0,32.0,1.0,22.0,7.0,13.0,0.0,0.0,0.0,130.0,14.0,20.0,41.2
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,0.0,0.0,0.0,12.0,11.0,0.0,2.0,11.0,21.0,0.0,0.0,0.0,127.0,16.0,13.0,55.2
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,2.0,0.0,0.0,6.0,8.0,0.0,41.0,8.0,7.0,0.0,0.0,0.0,38.0,0.0,4.0,0.0
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7.0,1.0,1.0,33.0,21.0,2.0,0.0,19.0,24.0,0.0,0.0,1.0,249.0,42.0,37.0,53.2
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,1.0,0.0,0.0,3.0,6.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,21.0,2.0,3.0,40.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,1.0,0.0,0.0,4.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,21.0,2.0,1.0,66.7
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,0.0,0.0,0.0,2.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,20.0,4.0,1.0,80.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,5.0,0.0,0.0,28.0,8.0,12.0,9.0,1.0,3.0,0.0,1.0,0.0,25.0,38.0,44.0,46.3
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,6.0,2.0,2.0,48.0,46.0,0.0,49.0,16.0,34.0,2.0,0.0,0.0,217.0,19.0,22.0,46.3
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,4.0,0.0,0.0,24.0,28.0,0.0,30.0,28.0,28.0,0.0,0.0,0.0,208.0,19.0,23.0,45.2
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,4.0,1.0,0.0,20.0,8.0,1.0,1.0,4.0,14.0,0.0,0.0,0.0,90.0,30.0,12.0,71.4
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,4.0,0.0,0.0,22.0,25.0,26.0,15.0,7.0,14.0,0.0,0.0,0.0,129.0,11.0,14.0,44.0
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,28.1,8.0,0.0,0.0,38.0,41.0,1.0,81.0,26.0,55.0,0.0,1.0,0.0,269.0,25.0,28.0,47.2
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,1.0,0.0,0.0,3.0,6.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,37.0,2.0,4.0,33.3
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,4.0,5.0,44.4
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,2.0,0.0,0.0,26.0,17.0,0.0,2.0,11.0,17.0,0.0,0.0,0.0,119.0,12.0,12.0,50.0
Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0
Ola Aina,ng NGA,"DF,MF",Torino,it Serie A,21,1996,24.0,5.0,1.0,0.0,31.0,39.0,4.0,72.0,34.0,44.0,0.0,0.0,0.0,244.0,28.0,20.0,58.3
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,0.0,0.0,0.0,10.0,9.0,0.0,2.0,9.0,16.0,0.0,0.0,0.0,111.0,5.0,9.0,35.7
Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,2.0,0.0,0.0,11.0,11.0,0.0,2.0,11.0,24.0,0.0,0.0,0.0,166.0,4.0,9.0,30.8
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,5.0,0.0,0.0,45.0,17.0,3.0,8.0,6.0,7.0,1.0,0.0,0.0,63.0,87.0,52.0,62.6
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1.0,0.0,0.0,14.0,17.0,0.0,3.0,17.0,25.0,0.0,0.0,0.0,215.0,30.0,23.0,56.6
Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,2.0,0.0,0.0,16.0,13.0,0.0,8.0,17.0,17.0,0.0,0.0,0.0,98.0,15.0,11.0,57.7
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,3.0,0.0,0.0,28.0,21.0,2.0,8.0,27.0,37.0,1.0,1.0,0.0,353.0,75.0,46.0,62.0
Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,1.0,3.0,0.0,0.0,1.0,14.0,0.0,3.0,0.0
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,0.0,0.0,0.0,8.0,16.0,1.0,7.0,2.0,5.0,0.0,0.0,0.0,51.0,6.0,7.0,46.2
Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,2.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,28.0,5.0,1.0,83.3
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,2.0,0.0,0.0,6.0,10.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,59.0,2.0,2.0,50.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,4.0,0.0,0.0,14.0,11.0,6.0,103.0,15.0,21.0,0.0,0.0,0.0,260.0,16.0,14.0,53.3
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,4.0,0.0,0.0,29.0,31.0,0.0,26.0,29.0,36.0,0.0,0.0,0.0,202.0,12.0,22.0,35.3
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,1.0,0.0,0.0,23.0,24.0,15.0,9.0,1.0,9.0,0.0,0.0,0.0,56.0,32.0,46.0,41.0
