Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Attempted,Live Ball passes,Dead Ball passes,Free Kick passes,Through Balls,Passes under pressure,Switches,Crosses,Corner Kicks,CK in,CK out,CK str,Ground passes,Low passes,High passes,Left passes,Right passes,Head passes,Throw ins,Other passes,Passes completed,Passes offside,Pass out of bounds,Passes intercepted,Passes blocked
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,122.0,92.0,30.0,4.0,0.0,16.0,5.0,5.0,0.0,0.0,0.0,0.0,67.0,11.0,44.0,9.0,83.0,2.0,26.0,1.0,80.0,0.0,6.0,0.0,10.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1962.0,1608.0,354.0,47.0,4.0,274.0,29.0,54.0,1.0,0.0,0.0,0.0,1322.0,307.0,333.0,1299.0,310.0,40.0,306.0,4.0,1587.0,3.0,34.0,57.0,52.0
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,918.0,804.0,114.0,19.0,3.0,144.0,14.0,20.0,0.0,0.0,0.0,0.0,625.0,139.0,154.0,59.0,736.0,21.0,95.0,2.0,766.0,1.0,12.0,14.0,23.0
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1576.0,1522.0,54.0,52.0,1.0,187.0,53.0,0.0,0.0,0.0,0.0,0.0,1173.0,119.0,284.0,1007.0,436.0,90.0,2.0,5.0,1318.0,4.0,36.0,9.0,22.0
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,1081.0,1048.0,33.0,16.0,2.0,198.0,32.0,13.0,10.0,0.0,0.0,1.0,828.0,96.0,157.0,101.0,912.0,46.0,4.0,4.0,919.0,4.0,26.0,7.0,15.0
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,16.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,5.0,13.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,2.0,1.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,671.0,648.0,23.0,20.0,0.0,101.0,24.0,4.0,0.0,0.0,0.0,0.0,427.0,73.0,171.0,72.0,518.0,60.0,3.0,0.0,520.0,2.0,12.0,12.0,12.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,384.0,374.0,10.0,6.0,0.0,77.0,4.0,1.0,0.0,0.0,0.0,0.0,291.0,47.0,46.0,25.0,321.0,28.0,2.0,4.0,333.0,0.0,4.0,4.0,10.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1787.0,1721.0,66.0,51.0,1.0,262.0,48.0,8.0,0.0,0.0,0.0,0.0,1284.0,184.0,319.0,1278.0,318.0,121.0,15.0,7.0,1554.0,3.0,32.0,16.0,9.0
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,735.0,722.0,13.0,5.0,3.0,146.0,20.0,22.0,0.0,0.0,0.0,0.0,566.0,72.0,97.0,32.0,660.0,23.0,8.0,0.0,591.0,1.0,16.0,10.0,27.0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,516.0,500.0,16.0,14.0,4.0,89.0,6.0,2.0,0.0,0.0,0.0,0.0,364.0,70.0,82.0,79.0,373.0,48.0,2.0,2.0,416.0,1.0,8.0,3.0,14.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,24.0,13.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,15.0,16.0,5.0,0.0,0.0,3.0,12.0,0.0,2.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,325.0,258.0,67.0,15.0,0.0,65.0,25.0,41.0,7.0,1.0,0.0,0.0,170.0,45.0,110.0,37.0,228.0,14.0,45.0,1.0,230.0,2.0,3.0,7.0,12.0
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,967.0,939.0,28.0,27.0,0.0,106.0,45.0,0.0,0.0,0.0,0.0,0.0,674.0,97.0,196.0,145.0,707.0,86.0,1.0,8.0,842.0,1.0,23.0,6.0,7.0
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,101.0,78.0,23.0,0.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,65.0,24.0,12.0,10.0,66.0,1.0,23.0,0.0,77.0,2.0,1.0,3.0,7.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,151.0,145.0,6.0,2.0,1.0,32.0,5.0,7.0,2.0,1.0,0.0,0.0,111.0,22.0,18.0,14.0,132.0,2.0,2.0,0.0,111.0,1.0,3.0,2.0,5.0
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,123.0,99.0,24.0,4.0,0.0,24.0,4.0,5.0,6.0,0.0,0.0,0.0,69.0,27.0,27.0,78.0,22.0,5.0,14.0,1.0,78.0,2.0,4.0,4.0,5.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,237.0,227.0,10.0,0.0,0.0,66.0,1.0,9.0,1.0,0.0,0.0,0.0,115.0,67.0,55.0,24.0,123.0,46.0,1.0,11.0,149.0,1.0,6.0,10.0,7.0
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1204.0,979.0,225.0,28.0,0.0,186.0,50.0,49.0,2.0,0.0,1.0,0.0,694.0,241.0,269.0,296.0,633.0,61.0,195.0,3.0,980.0,2.0,22.0,17.0,37.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,968.0,750.0,218.0,17.0,0.0,118.0,18.0,30.0,3.0,3.0,0.0,0.0,470.0,212.0,286.0,51.0,633.0,80.0,196.0,1.0,673.0,4.0,30.0,23.0,41.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,577.0,539.0,38.0,17.0,0.0,83.0,20.0,1.0,0.0,0.0,0.0,0.0,386.0,41.0,150.0,452.0,68.0,24.0,21.0,3.0,452.0,3.0,17.0,9.0,10.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,785.0,736.0,49.0,0.0,6.0,201.0,3.0,15.0,1.0,0.0,0.0,0.0,612.0,112.0,61.0,75.0,668.0,18.0,8.0,8.0,665.0,3.0,9.0,17.0,21.0
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,28.1,1642.0,1355.0,287.0,12.0,0.0,286.0,36.0,81.0,1.0,0.0,0.0,0.0,998.0,305.0,339.0,68.0,1233.0,41.0,274.0,9.0,1328.0,9.0,19.0,32.0,59.0
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,185.0,181.0,4.0,4.0,0.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,148.0,15.0,22.0,15.0,158.0,10.0,0.0,0.0,163.0,1.0,2.0,3.0,1.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
