Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,25,1994,23.4,992.0,40.0,159.0,471.0,442.0,95.0,964.0,53.0,96.0,55.2,57.0,4.0,704.0,5151.0,3248.0,1075.0,704.0,65.5,71.0,72.0
Rodrigo Becão,br BRA,DF,Udinese,it Serie A,23,1996,24.6,1298.0,219.0,709.0,603.0,65.0,18.0,1253.0,2.0,6.0,33.3,2.0,1.0,777.0,3862.0,2285.0,835.0,814.0,97.5,11.0,7.0
Sheraldo Becker,nl NED,"MF,FW",Union Berlin,de Bundesliga,24,1995,6.0,172.0,4.0,36.0,62.0,87.0,11.0,171.0,9.0,13.0,69.2,9.0,1.0,131.0,1094.0,685.0,231.0,124.0,53.7,10.0,3.0
Timo Becker,de GER,"DF,MF",Schalke 04,de Bundesliga,22,1997,3.7,201.0,12.0,69.0,95.0,53.0,12.0,178.0,4.0,9.0,44.4,4.0,1.0,121.0,1014.0,656.0,138.0,113.0,81.9,6.0,4.0
Jan Bednarek,pl POL,DF,Southampton,eng Premier League,23,1996,34.0,1939.0,260.0,956.0,1002.0,45.0,17.0,1878.0,2.0,2.0,100.0,2.0,0.0,896.0,3867.0,1853.0,966.0,953.0,98.7,5.0,1.0
Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,1.4,39.0,35.0,38.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,16.0,55.0,36.0,16.0,16.0,100.0,0.0,0.0
Valon Behrami,ch SUI,MF,Genoa,it Serie A,34,1985,12.3,568.0,29.0,135.0,387.0,79.0,2.0,557.0,7.0,7.0,100.0,7.0,2.0,338.0,1714.0,727.0,367.0,345.0,94.0,8.0,13.0
Maximilian Beier,de GER,FW,Hoffenheim,de Bundesliga,16,2002,1.2,48.0,2.0,4.0,24.0,26.0,10.0,44.0,1.0,5.0,20.0,1.0,0.0,33.0,299.0,221.0,63.0,33.0,52.4,8.0,3.0
Gaëtan Belaud,fr FRA,DF,Brest,fr Ligue 1,32,1986,6.4,437.0,24.0,139.0,226.0,91.0,2.0,367.0,3.0,7.0,42.9,5.0,0.0,235.0,981.0,551.0,269.0,252.0,93.7,4.0,1.0
