Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Arturo Calabresi,it ITA,DF,Amiens,fr Ligue 1,23,1996,20.9,1240.0,89.0,436.0,608.0,257.0,14.0,1005.0,24.0,35.0,68.6,27.0,3.0,633.0,3284.0,2011.0,590.0,550.0,93.2,11.0,24.0
Davide Calabria,it ITA,DF,Milan,it Serie A,22,1996,18.0,1376.0,57.0,419.0,763.0,299.0,28.0,1201.0,11.0,24.0,45.8,14.0,0.0,840.0,4707.0,2918.0,916.0,871.0,95.1,13.0,10.0
Riccardo Calafiori,it ITA,DF,Roma,it Serie A,17,2002,0.7,19.0,0.0,5.0,8.0,6.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0,35.0,10.0,17.0,14.0,82.4,1.0,0.0
Mattia Caldara,it ITA,DF,Atalanta,it Serie A,25,1994,10.7,531.0,52.0,254.0,277.0,24.0,8.0,519.0,2.0,2.0,100.0,2.0,0.0,314.0,1711.0,766.0,297.0,289.0,97.3,2.0,3.0
Marco Calderoni,it ITA,DF,Lecce,it Serie A,30,1989,22.9,1368.0,85.0,483.0,573.0,399.0,25.0,1144.0,12.0,18.0,66.7,12.0,1.0,790.0,4060.0,2227.0,896.0,805.0,89.8,21.0,13.0
Fernando Calero,es ESP,DF,Espanyol,es La Liga,23,1995,11.6,699.0,78.0,368.0,347.0,18.0,0.0,680.0,1.0,1.0,100.0,1.0,0.0,428.0,2114.0,1052.0,446.0,441.0,98.9,0.0,3.0
Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,22,1996,21.0,1282.0,187.0,715.0,618.0,46.0,22.0,1246.0,0.0,0.0,0.0,0.0,0.0,769.0,5073.0,3114.0,874.0,854.0,97.7,0.0,0.0
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,it Serie A,25,1994,30.0,1997.0,40.0,213.0,979.0,981.0,95.0,1835.0,39.0,60.0,65.0,40.0,1.0,1393.0,8645.0,4847.0,1723.0,1472.0,85.4,48.0,35.0
Daniel Caligiuri,it ITA,"MF,FW",Schalke 04,de Bundesliga,31,1988,25.5,1422.0,48.0,223.0,644.0,654.0,61.0,1279.0,45.0,90.0,50.0,48.0,2.0,890.0,5575.0,2940.0,1048.0,796.0,76.0,58.0,63.0
José Callejón,es ESP,"FW,MF",Napoli,it Serie A,32,1987,24.1,1429.0,18.0,159.0,598.0,721.0,88.0,1317.0,10.0,25.0,40.0,10.0,0.0,946.0,3658.0,1711.0,1323.0,1095.0,82.8,17.0,14.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Calleri,ar ARG,FW,Espanyol,es La Liga,25,1993,20.1,623.0,27.0,58.0,292.0,304.0,96.0,603.0,15.0,28.0,53.6,19.0,1.0,319.0,2188.0,1014.0,876.0,457.0,52.2,67.0,38.0
Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,22,1997,29.2,973.0,38.0,81.0,422.0,518.0,144.0,949.0,15.0,34.0,44.1,18.0,1.0,503.0,3361.0,1321.0,1396.0,741.0,53.1,107.0,39.0
Mahdi Camara,fr FRA,MF,Saint-Étienne,fr Ligue 1,21,1998,10.0,584.0,12.0,133.0,396.0,91.0,10.0,581.0,10.0,14.0,71.4,11.0,1.0,395.0,2811.0,1160.0,448.0,399.0,89.1,6.0,12.0
Souleymane Camara,sn SEN,"FW,MF",Montpellier,fr Ligue 1,36,1982,1.8,62.0,1.0,5.0,33.0,29.0,5.0,61.0,2.0,2.0,100.0,2.0,0.0,39.0,219.0,82.0,114.0,53.0,46.5,7.0,4.0
Víctor Camarasa,es ESP,MF,Crystal Palace,eng Premier League,25,1994,0.1,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,9.0,3.0,3.0,100.0,0.0,0.0
Víctor Camarasa,es ESP,MF,Alavés,es La Liga,25,1994,14.4,662.0,24.0,113.0,413.0,171.0,11.0,624.0,16.0,29.0,55.2,16.0,1.0,463.0,2401.0,976.0,512.0,432.0,84.4,23.0,12.0
Eduardo Camavinga,fr FRA,MF,Rennes,fr Ligue 1,16,2002,23.4,1298.0,62.0,365.0,898.0,156.0,11.0,1274.0,14.0,18.0,77.8,14.0,0.0,845.0,5973.0,3115.0,902.0,819.0,90.8,24.0,29.0
Sergio Camello,es ESP,FW,Atlético Madrid,es La Liga,18,2001,0.3,8.0,0.0,1.0,4.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,12.0,7.0,58.3,1.0,0.0
José Campaña,es ESP,MF,Levante,es La Liga,26,1993,35.1,2504.0,97.0,566.0,1381.0,742.0,67.0,2311.0,53.0,85.0,62.4,61.0,4.0,1718.0,10941.0,6067.0,1939.0,1751.0,90.3,55.0,48.0
Xisco Campos,es ESP,DF,Mallorca,es La Liga,37,1982,5.3,264.0,38.0,159.0,101.0,12.0,4.0,255.0,0.0,0.0,0.0,0.0,0.0,124.0,681.0,207.0,146.0,142.0,97.3,0.0,0.0
Víctor Campuzano,es ESP,FW,Espanyol,es La Liga,22,1997,9.7,268.0,5.0,19.0,135.0,135.0,35.0,253.0,11.0,15.0,73.3,11.0,0.0,178.0,1280.0,777.0,394.0,171.0,43.4,40.0,20.0
Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,25,1994,10.6,862.0,42.0,262.0,531.0,132.0,20.0,849.0,15.0,25.0,60.0,17.0,0.0,621.0,3590.0,1816.0,684.0,650.0,95.0,5.0,16.0
Emre Can,de GER,MF,Juventus,it Serie A,25,1994,3.2,204.0,9.0,31.0,117.0,69.0,12.0,200.0,7.0,10.0,70.0,7.0,0.0,156.0,809.0,422.0,170.0,154.0,90.6,4.0,5.0
Sergio Canales,es ESP,"MF,FW",Betis,es La Liga,28,1991,35.1,2529.0,34.0,421.0,1400.0,946.0,100.0,2296.0,48.0,71.0,67.6,54.0,1.0,1854.0,13275.0,7584.0,2155.0,1932.0,89.7,40.0,46.0
João Cancelo,pt POR,DF,Manchester City,eng Premier League,25,1994,13.4,1295.0,29.0,252.0,722.0,413.0,33.0,1195.0,46.0,63.0,73.0,49.0,4.0,969.0,4996.0,2718.0,970.0,931.0,96.0,11.0,13.0
Antonio Candreva,it ITA,DF,Inter,it Serie A,32,1987,22.1,1568.0,53.0,356.0,637.0,669.0,66.0,1356.0,10.0,27.0,37.0,13.0,1.0,1111.0,6561.0,3779.0,1207.0,1095.0,90.7,19.0,13.0
Gianmarco Cangiano,it ITA,"FW,MF",Bologna,it Serie A,17,2001,0.2,16.0,1.0,2.0,9.0,8.0,1.0,15.0,3.0,4.0,75.0,3.0,0.0,17.0,97.0,46.0,10.0,9.0,90.0,1.0,1.0
Todd Cantwell,eng ENG,"FW,MF",Norwich City,eng Premier League,21,1998,27.7,1511.0,42.0,274.0,756.0,607.0,91.0,1479.0,57.0,94.0,60.6,61.0,1.0,1103.0,6985.0,3728.0,1401.0,1111.0,79.3,59.0,50.0
Ander Capa,es ESP,DF,Athletic Club,es La Liga,27,1992,31.9,1951.0,86.0,497.0,933.0,661.0,47.0,1570.0,52.0,76.0,68.4,57.0,5.0,1034.0,6938.0,4595.0,1142.0,1003.0,87.8,28.0,43.0
Pierrick Capelle,fr FRA,"MF,DF",Angers,fr Ligue 1,32,1987,19.4,1052.0,41.0,217.0,543.0,375.0,52.0,1009.0,26.0,39.0,66.7,26.0,1.0,727.0,4642.0,2335.0,874.0,712.0,81.5,39.0,45.0
Étienne Capoue,fr FRA,MF,Watford,eng Premier League,31,1988,29.2,1748.0,98.0,460.0,1131.0,222.0,12.0,1671.0,32.0,44.0,72.7,33.0,2.0,1047.0,4354.0,1964.0,1053.0,995.0,94.5,10.0,28.0
Gianluca Caprari,it ITA,"FW,MF",Sampdoria,it Serie A,26,1993,7.4,369.0,4.0,31.0,173.0,202.0,28.0,333.0,15.0,25.0,60.0,15.0,2.0,283.0,2031.0,1123.0,364.0,264.0,72.5,22.0,28.0
Gianluca Caprari,it ITA,"FW,MF",Parma,it Serie A,26,1993,6.5,292.0,4.0,36.0,145.0,143.0,27.0,268.0,13.0,22.0,59.1,14.0,0.0,225.0,1728.0,970.0,266.0,206.0,77.4,14.0,13.0
Francesco Caputo,it ITA,FW,Sassuolo,it Serie A,31,1987,32.6,1087.0,9.0,60.0,526.0,554.0,201.0,1007.0,23.0,41.0,56.1,26.0,3.0,735.0,3636.0,1843.0,1353.0,864.0,63.9,65.0,37.0
Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,19,2000,6.3,468.0,6.0,78.0,305.0,112.0,10.0,467.0,6.0,14.0,42.9,6.0,0.0,348.0,1438.0,637.0,377.0,352.0,93.4,11.0,8.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Carboni,it ITA,"DF,MF",Cagliari,it Serie A,18,2001,4.1,207.0,42.0,114.0,98.0,9.0,1.0,192.0,0.0,0.0,0.0,0.0,0.0,106.0,850.0,582.0,127.0,122.0,96.1,0.0,1.0
Irvin Cardona,fr FRA,"FW,MF",Brest,fr Ligue 1,21,1997,16.1,666.0,15.0,77.0,286.0,348.0,87.0,653.0,12.0,37.0,32.4,12.0,1.0,459.0,3169.0,1880.0,741.0,504.0,68.0,48.0,31.0
Marc Cardona,es ESP,FW,Osasuna,es La Liga,24,1995,7.8,270.0,4.0,16.0,145.0,125.0,31.0,250.0,10.0,17.0,58.8,11.0,0.0,186.0,1350.0,797.0,364.0,201.0,55.2,22.0,21.0
Diego Carlos,br BRA,DF,Sevilla,es La Liga,26,1993,34.8,2225.0,392.0,1276.0,969.0,54.0,28.0,2165.0,8.0,9.0,88.9,8.0,0.0,1403.0,5629.0,2158.0,1501.0,1479.0,98.5,4.0,4.0
Lionel Carole,fr FRA,DF,Strasbourg,fr Ligue 1,28,1991,14.1,918.0,40.0,271.0,499.0,230.0,11.0,800.0,16.0,24.0,66.7,16.0,0.0,595.0,3749.0,2245.0,640.0,595.0,93.0,12.0,10.0
Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,es La Liga,25,1993,7.0,353.0,4.0,56.0,152.0,172.0,27.0,324.0,18.0,33.0,54.5,20.0,1.0,259.0,1912.0,1236.0,319.0,226.0,70.8,17.0,30.0
Daniel Carriço,pt POR,DF,Sevilla,es La Liga,30,1988,9.4,617.0,85.0,313.0,301.0,30.0,9.0,598.0,3.0,3.0,100.0,3.0,0.0,432.0,2177.0,1094.0,451.0,448.0,99.3,3.0,0.0
Guido Carrillo,ar ARG,FW,Leganés,es La Liga,28,1991,13.5,492.0,15.0,26.0,248.0,226.0,61.0,484.0,5.0,8.0,62.5,5.0,0.0,193.0,832.0,224.0,593.0,354.0,59.7,42.0,11.0
Andy Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,30,1989,7.0,320.0,26.0,44.0,148.0,137.0,31.0,315.0,5.0,8.0,62.5,6.0,1.0,156.0,669.0,218.0,404.0,232.0,57.4,28.0,19.0
Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,27,1992,30.4,2739.0,111.0,758.0,1279.0,868.0,75.0,2428.0,30.0,57.0,52.6,32.0,2.0,1706.0,8696.0,5122.0,1976.0,1865.0,94.4,28.0,27.0
Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,0.8,31.0,30.0,31.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,11.0,90.0,30.0,7.0,7.0,100.0,0.0,0.0
William Carvalho,pt POR,MF,Betis,es La Liga,27,1992,9.9,702.0,26.0,156.0,486.0,113.0,6.0,686.0,15.0,17.0,88.2,15.0,1.0,506.0,2355.0,1170.0,579.0,551.0,95.2,7.0,7.0
Casemiro,br BRA,MF,Real Madrid,es La Liga,27,1992,34.3,2615.0,141.0,694.0,1662.0,371.0,38.0,2571.0,23.0,33.0,69.7,23.0,1.0,1530.0,6120.0,3365.0,1829.0,1734.0,94.8,14.0,24.0
Moreto Cassamã,gw GNB,MF,Reims,fr Ligue 1,21,1998,6.6,570.0,16.0,164.0,357.0,84.0,1.0,538.0,15.0,18.0,83.3,16.0,1.0,454.0,2197.0,931.0,430.0,422.0,98.1,6.0,7.0
Francesco Cassata,it ITA,MF,Genoa,it Serie A,22,1997,16.2,822.0,30.0,207.0,408.0,265.0,22.0,798.0,20.0,40.0,50.0,23.0,2.0,618.0,3745.0,2094.0,676.0,581.0,85.9,17.0,26.0
Timothy Castagne,be BEL,DF,Atalanta,it Serie A,23,1995,19.7,1322.0,43.0,282.0,608.0,516.0,53.0,1181.0,14.0,25.0,56.0,16.0,1.0,849.0,4145.0,2181.0,994.0,881.0,88.6,19.0,9.0
Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26.0,1037.0,841.0,1031.0,8.0,0.0,0.0,805.0,1.0,1.0,100.0,1.0,0.0,583.0,2920.0,1397.0,529.0,525.0,99.2,0.0,0.0
Jean-Charles Castelletto,cm CMR,DF,Brest,fr Ligue 1,24,1995,20.4,1192.0,192.0,744.0,493.0,26.0,8.0,1172.0,8.0,8.0,100.0,8.0,0.0,760.0,4360.0,2187.0,763.0,744.0,97.5,4.0,6.0
Samu Castillejo,es ESP,"FW,MF",Milan,it Serie A,24,1995,13.4,755.0,11.0,93.0,331.0,401.0,66.0,709.0,24.0,45.0,53.3,24.0,1.0,551.0,4239.0,2346.0,660.0,508.0,77.0,22.0,27.0
Jonny Castro,es ESP,DF,Wolves,eng Premier League,25,1994,32.1,1866.0,76.0,471.0,823.0,678.0,70.0,1562.0,30.0,76.0,39.5,40.0,2.0,1085.0,6775.0,4341.0,1199.0,1042.0,86.9,41.0,50.0
Lucas Castro,ar ARG,MF,SPAL,it Serie A,30,1989,4.7,278.0,4.0,37.0,158.0,96.0,12.0,276.0,6.0,11.0,54.5,6.0,1.0,195.0,883.0,417.0,246.0,220.0,89.4,10.0,8.0
Lucas Castro,ar ARG,MF,Cagliari,it Serie A,30,1989,6.7,388.0,18.0,78.0,193.0,143.0,17.0,380.0,15.0,20.0,75.0,16.0,4.0,277.0,1357.0,753.0,328.0,269.0,82.0,13.0,10.0
Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,22,1997,29.7,1609.0,45.0,297.0,829.0,660.0,125.0,1573.0,94.0,135.0,69.6,99.0,0.0,1312.0,10932.0,6630.0,1319.0,1112.0,84.3,66.0,71.0
Danilo Cataldi,it ITA,MF,Lazio,it Serie A,24,1994,6.6,510.0,23.0,134.0,285.0,134.0,6.0,461.0,4.0,6.0,66.7,4.0,0.0,340.0,2340.0,1305.0,354.0,333.0,94.1,4.0,3.0
Craig Cathcart,nir NIR,DF,Watford,eng Premier League,30,1989,27.6,1157.0,160.0,635.0,537.0,24.0,11.0,1135.0,4.0,6.0,66.7,4.0,0.0,607.0,2637.0,1065.0,600.0,584.0,97.3,3.0,5.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,32,1987,6.7,205.0,3.0,17.0,68.0,126.0,54.0,192.0,6.0,7.0,85.7,6.0,1.0,109.0,412.0,178.0,239.0,148.0,61.9,12.0,6.0
Santi Cazorla,es ESP,MF,Villarreal,es La Liga,34,1984,27.2,2006.0,31.0,265.0,1183.0,671.0,46.0,1830.0,53.0,72.0,73.6,54.0,3.0,1460.0,7425.0,3583.0,1702.0,1508.0,88.6,46.0,35.0
Dani Ceballos,es ESP,MF,Arsenal,eng Premier League,22,1996,18.8,1492.0,56.0,347.0,885.0,399.0,21.0,1397.0,29.0,41.0,70.7,31.0,4.0,1083.0,7460.0,4011.0,1134.0,1074.0,94.7,12.0,25.0
Federico Ceccherini,it ITA,DF,Fiorentina,it Serie A,27,1992,9.3,499.0,64.0,266.0,250.0,21.0,7.0,476.0,4.0,6.0,66.7,4.0,0.0,292.0,1940.0,962.0,288.0,285.0,99.0,3.0,2.0
Christian Celesia,it ITA,DF,Torino,it Serie A,17,2002,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,22,1997,23.0,1613.0,55.0,351.0,893.0,479.0,34.0,1347.0,19.0,42.0,45.2,22.0,1.0,966.0,5744.0,3415.0,1024.0,923.0,90.1,22.0,23.0
Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,23,1996,28.0,1695.0,115.0,659.0,788.0,370.0,23.0,1435.0,28.0,49.0,57.1,31.0,0.0,910.0,7226.0,4456.0,910.0,825.0,90.7,22.0,22.0
Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,29,1989,13.8,670.0,147.0,408.0,261.0,39.0,9.0,649.0,0.0,2.0,0.0,0.0,0.0,360.0,1920.0,995.0,379.0,374.0,98.7,3.0,3.0
Alberto Cerri,it ITA,FW,SPAL,it Serie A,23,1996,4.7,189.0,4.0,10.0,102.0,90.0,27.0,181.0,9.0,12.0,75.0,9.0,0.0,131.0,768.0,370.0,246.0,161.0,65.4,6.0,13.0
Alberto Cerri,it ITA,FW,Cagliari,it Serie A,23,1996,2.7,135.0,3.0,10.0,70.0,60.0,14.0,128.0,3.0,3.0,100.0,3.0,0.0,70.0,306.0,78.0,161.0,107.0,66.5,7.0,4.0
Julian Chabot,de GER,DF,Sampdoria,it Serie A,21,1998,6.3,314.0,53.0,174.0,150.0,8.0,3.0,302.0,4.0,4.0,100.0,4.0,0.0,170.0,865.0,307.0,173.0,170.0,98.3,3.0,1.0
Florian Chabrolle,fr FRA,MF,Marseille,fr Ligue 1,21,1998,0.2,19.0,0.0,1.0,13.0,6.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,17.0,110.0,72.0,21.0,16.0,76.2,2.0,0.0
Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,32,1986,17.0,1077.0,45.0,372.0,573.0,206.0,4.0,907.0,17.0,31.0,54.8,17.0,2.0,648.0,4308.0,2656.0,659.0,603.0,91.5,7.0,7.0
Sofian Chakla,ma MAR,DF,Villarreal,es La Liga,25,1993,2.0,107.0,22.0,71.0,39.0,2.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,62.0,235.0,124.0,66.0,65.0,98.5,0.0,0.0
Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,24,1994,10.3,488.0,27.0,112.0,281.0,117.0,9.0,465.0,6.0,14.0,42.9,6.0,3.0,266.0,1119.0,518.0,297.0,246.0,82.8,7.0,12.0
Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,24,1995,12.2,1028.0,130.0,458.0,428.0,188.0,26.0,936.0,13.0,18.0,72.2,13.0,1.0,681.0,2956.0,1638.0,715.0,678.0,94.8,7.0,11.0
Jhon Chancellor,ve VEN,DF,Brescia,it Serie A,27,1992,24.9,1171.0,304.0,787.0,415.0,31.0,23.0,1144.0,8.0,9.0,88.9,8.0,1.0,593.0,3713.0,1605.0,672.0,644.0,95.8,5.0,4.0
Timothy Chandler,us USA,"DF,MF",Eint Frankfurt,de Bundesliga,29,1990,13.6,589.0,32.0,131.0,247.0,241.0,34.0,524.0,4.0,10.0,40.0,5.0,0.0,309.0,1837.0,911.0,499.0,355.0,71.1,13.0,8.0
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,de Bundesliga,25,1994,7.5,386.0,16.0,67.0,183.0,170.0,29.0,384.0,10.0,17.0,58.8,10.0,1.0,288.0,1973.0,942.0,361.0,270.0,74.8,19.0,12.0
Gaëtan Charbonnier,fr FRA,"FW,MF",Brest,fr Ligue 1,30,1988,22.9,1140.0,36.0,116.0,563.0,513.0,83.0,1076.0,25.0,48.0,52.1,28.0,1.0,791.0,3271.0,1551.0,1233.0,850.0,68.9,70.0,50.0
Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24,1994,9.1,648.0,103.0,394.0,288.0,16.0,2.0,636.0,3.0,3.0,100.0,3.0,0.0,413.0,2508.0,1406.0,445.0,440.0,98.9,0.0,0.0
Charles,br BRA,FW,Eibar,es La Liga,35,1984,14.5,475.0,6.0,25.0,246.0,219.0,51.0,439.0,4.0,6.0,66.7,4.0,0.0,217.0,735.0,297.0,670.0,326.0,48.7,34.0,17.0
Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28,1991,23.9,1344.0,49.0,356.0,727.0,317.0,20.0,1219.0,20.0,29.0,69.0,21.0,0.0,793.0,3728.0,1673.0,881.0,807.0,91.6,23.0,13.0
Pablo Chavarría,ar ARG,"FW,MF",Mallorca,es La Liga,31,1988,2.3,95.0,3.0,6.0,38.0,57.0,17.0,94.0,0.0,0.0,0.0,0.0,0.0,48.0,406.0,246.0,129.0,75.0,58.1,11.0,4.0
Aurélien Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34,1985,21.9,1277.0,196.0,709.0,629.0,31.0,11.0,1237.0,13.0,15.0,86.7,14.0,0.0,727.0,4287.0,2478.0,705.0,693.0,98.3,5.0,5.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pape Cheikh Diop,sn SEN,MF,Celta Vigo,es La Liga,21,1997,6.7,322.0,11.0,71.0,214.0,70.0,7.0,315.0,6.0,8.0,75.0,6.0,0.0,235.0,1626.0,871.0,268.0,228.0,85.1,9.0,9.0
Chema,es ESP,DF,Getafe,es La Liga,27,1992,3.4,155.0,14.0,69.0,86.0,8.0,5.0,146.0,1.0,1.0,100.0,1.0,0.0,66.0,347.0,179.0,65.0,63.0,96.9,2.0,2.0
Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,15,2003,1.6,87.0,0.0,11.0,45.0,41.0,4.0,83.0,6.0,9.0,66.7,6.0,0.0,71.0,494.0,276.0,87.0,64.0,73.6,2.0,10.0
Denis Cheryshev,ru RUS,"MF,FW",Valencia,es La Liga,28,1990,10.3,480.0,12.0,83.0,212.0,217.0,49.0,469.0,13.0,28.0,46.4,15.0,2.0,351.0,2139.0,1183.0,446.0,334.0,74.9,19.0,13.0
Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,34,1984,2.2,126.0,18.0,57.0,72.0,4.0,2.0,125.0,0.0,0.0,0.0,0.0,0.0,71.0,433.0,325.0,90.0,88.0,97.8,2.0,0.0
Federico Chiesa,it ITA,"FW,DF",Fiorentina,it Serie A,21,1997,29.3,1225.0,12.0,147.0,494.0,686.0,173.0,1164.0,60.0,93.0,64.5,64.0,5.0,940.0,7306.0,4823.0,1265.0,871.0,68.9,53.0,58.0
Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,22,1996,26.4,2310.0,78.0,631.0,1151.0,728.0,56.0,2015.0,23.0,46.0,50.0,25.0,0.0,1500.0,10254.0,6222.0,1634.0,1524.0,93.3,35.0,37.0
Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,29,1989,7.9,574.0,98.0,303.0,304.0,11.0,4.0,561.0,2.0,2.0,100.0,2.0,0.0,399.0,2167.0,1271.0,411.0,402.0,97.8,3.0,5.0
Tahith Chong,nl NED,"FW,MF",Manchester Utd,eng Premier League,19,1999,0.4,20.0,1.0,2.0,9.0,10.0,2.0,20.0,1.0,3.0,33.3,1.0,0.0,20.0,112.0,57.0,23.0,17.0,73.9,2.0,0.0
Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,13.9,692.0,23.0,171.0,466.0,96.0,4.0,674.0,11.0,21.0,52.4,11.0,1.0,460.0,2362.0,1221.0,458.0,411.0,89.7,17.0,7.0
Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,21,1997,9.9,609.0,29.0,163.0,365.0,107.0,11.0,599.0,7.0,13.0,53.8,7.0,0.0,400.0,1570.0,648.0,429.0,403.0,93.9,5.0,9.0
Mounir Chouiar,fr FRA,"MF,FW",Dijon,fr Ligue 1,20,1999,16.7,882.0,16.0,130.0,426.0,402.0,61.0,768.0,75.0,112.0,67.0,79.0,1.0,663.0,5297.0,3211.0,687.0,553.0,80.5,36.0,54.0
Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,23,1996,19.5,1449.0,169.0,747.0,746.0,44.0,12.0,1417.0,2.0,2.0,100.0,2.0,0.0,1024.0,6115.0,3330.0,1068.0,1056.0,98.9,3.0,2.0
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,es La Liga,20,1999,22.4,1066.0,14.0,119.0,526.0,525.0,124.0,1053.0,60.0,99.0,60.6,62.0,3.0,874.0,7219.0,4990.0,1106.0,823.0,74.4,71.0,47.0
Darko Churlinov,mk MKD,FW,Köln,de Bundesliga,19,2000,0.2,16.0,0.0,1.0,6.0,10.0,3.0,16.0,0.0,2.0,0.0,0.0,0.0,12.0,37.0,5.0,13.0,11.0,84.6,1.0,0.0
Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,2.7,108.0,94.0,108.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,50.0,416.0,268.0,34.0,33.0,97.1,0.0,0.0
Luca Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,17.8,1392.0,63.0,406.0,808.0,272.0,6.0,1235.0,10.0,12.0,83.3,11.0,0.0,846.0,3627.0,1968.0,941.0,892.0,94.8,11.0,14.0
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32,1987,18.1,853.0,35.0,280.0,529.0,108.0,4.0,830.0,9.0,12.0,75.0,9.0,0.0,544.0,3421.0,1957.0,560.0,520.0,92.9,11.0,8.0
Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,23.3,806.0,748.0,803.0,4.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0,0.0,357.0,1662.0,1117.0,290.0,288.0,99.3,0.0,0.0
Thiago Cionek,pl POL,DF,SPAL,it Serie A,33,1986,24.1,1643.0,153.0,637.0,766.0,347.0,17.0,1418.0,9.0,14.0,64.3,9.0,0.0,948.0,5015.0,2867.0,967.0,936.0,96.8,12.0,18.0
Ibrahim Cissé,ci CIV,"DF,FW",Nice,fr Ligue 1,20,1999,0.6,53.0,8.0,33.0,22.0,2.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,37.0,286.0,222.0,39.0,39.0,100.0,0.0,0.0
Ibrahim Cissé,sn SEN,DF,Angers,fr Ligue 1,23,1996,0.7,69.0,1.0,24.0,31.0,16.0,0.0,54.0,3.0,4.0,75.0,3.0,0.0,37.0,188.0,104.0,43.0,40.0,93.0,2.0,0.0
Andrea Cistana,it ITA,DF,Brescia,it Serie A,22,1997,20.4,1049.0,231.0,634.0,443.0,49.0,13.0,1009.0,4.0,6.0,66.7,4.0,0.0,569.0,4093.0,2339.0,608.0,593.0,97.5,5.0,2.0
