Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %,% of dribblers tackled,A-xA,Assists,Att 3rd Pressures,Att 3rd tackles,Att 3rd touches,Attempted Dribbles,Blocked pass,Blocked shots,Blocks,CK in,CK out,CK str,Carries,Clearances,Corner Kicks,Crosses into Penalty Area,Dead Ball passes,Def 3rd Pressures,Def 3rd tackles,Def 3rd touches,Def Pen touches,Errors,Free Kick passes,G-xG,GCA OG,GCA dribbled,GCA fouls,GCA pass dead,GCA pass live,GCA shots,Goal-Creating Actions,Goal-Creating Actions p90,Goals,Goals per shot,Goals per shot on target,Ground passes,Head passes,High passes,Key Passes,Left passes,Live Ball passes,Live ball touches,Long Pass Completion %,Long Passes Attempted,Long Passes Completed,Low passes,Medium Pass Completion %,Medium Passes Attempted,Medium Passes Completed,Megs,Mid 3rd Pressures,Mid 3rd tackles,Mid 3rd touches,Miscon,No Tackels won,No of times dribbled past,No. Tackels,Non-penalty xG,Other passes,Pass Completion %,Pass Targets,Pass out of bounds,Passes Attempted,Passes Completed,Passes Dispossed,Passes Received,Passes Received %,Passes blocked,Passes completed,Passes intercepted,Passes into Final Third,Passes into Penalty Area,Passes offside,Passes under pressure,Penalty Kicks attempted,Penalty Kicks scored,Players dribbled past,Pressures,PrgDist,ProgDist carries,Progressive Passes,Right passes,SCA from dribbles,SCA from fouls,SCA pass dead,SCA pass live,SCA shots,ShSv,Short Pass Completion %,Short Passes Attempted,Short Passes Completed,Shot-Creating Actions,Shot-Creating Actions p90,Shots,Shots Total p90,Shots from Free Kicks,Shots on Target,Shots on Target %,Shots on Target p90,Succ Pressures,Succ Pressures %,Successful Dribble %,Successful Dribbles,Switches,Tackles v Dribble attempts,Tackles v Dribbles,Through Balls,Throw ins,Tkl+Int,TotDist,Total Distance carries,Touches,Touches in Box,np:G-xG,npxG/Sh,xA,xG
Dennis Borkowski,de GER,FW,RB Leipzig,de Bundesliga,17,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,50.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.0,2.0,1.0,1.0,4.0,66.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,53.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,5.0,0.0,0.0,0.0,0.0,0.0
Robin Bormuth,de GER,DF,Düsseldorf,de Bundesliga,23,1995,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,3.0,57.1,66.7,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,44.0,14.0,0.0,0.0,3.0,4.0,2.0,73.0,27.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,19.0,0.0,13.0,71.0,94.0,72.4,29.0,21.0,10.0,86.4,44.0,38.0,0.0,8.0,0.0,26.0,1.0,0.0,1.0,2.0,0.0,2.0,79.7,53.0,4.0,74.0,59.0,0.0,53.0,100.0,1.0,59.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,411.0,216.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,0.0,0.0,6.0,3.0,2.0,0.0,0.0,2.0,1437.0,294.0,97.0,2.0,0.0,0.0,0.0,0.0
Sebastiaan Bornauw,be BEL,DF,Köln,de Bundesliga,20,1999,27.2,5.0,1.0,0.0,41.0,9.0,2.0,5.0,25.0,32.0,0.0,0.0,0.0,239.0,69.0,40.0,63.3,38.9,-0.5,0.0,16.0,2.0,54.0,11.0,27.0,17.0,44.0,0.0,0.0,0.0,939.0,140.0,0.0,2.0,31.0,213.0,34.0,928.0,222.0,0.0,28.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.33,0.86,809.0,54.0,294.0,5.0,125.0,1183.0,1467.0,73.8,595.0,439.0,111.0,91.0,608.0,553.0,0.0,90.0,12.0,612.0,5.0,32.0,22.0,48.0,2.7,3.0,82.0,988.0,31.0,1214.0,995.0,6.0,962.0,97.4,11.0,995.0,15.0,66.0,6.0,8.0,213.0,0.0,0.0,7.0,319.0,8400.0,2717.0,67.0,1004.0,1.0,0.0,0.0,11.0,1.0,0.0,27.3,11.0,3.0,13.0,0.48,18.0,0.66,0.0,7.0,38.9,0.26,111.0,34.8,63.6,7.0,51.0,36.0,14.0,2.0,3.0,73.0,24980.0,5580.0,1496.0,24.0,3.3,0.15,0.5,2.7
Brandon Borrello,au AUS,"MF,FW",Freiburg,de Bundesliga,24,1995,3.3,0.0,0.0,0.0,3.0,9.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,28.0,4.0,9.0,30.8,28.6,-0.2,0.0,19.0,0.0,60.0,15.0,6.0,1.0,7.0,0.0,0.0,0.0,115.0,2.0,0.0,0.0,2.0,26.0,5.0,25.0,3.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,11.0,2.0,16.0,74.0,147.0,60.0,10.0,6.0,11.0,83.9,62.0,52.0,0.0,43.0,4.0,79.0,18.0,4.0,5.0,9.0,0.2,1.0,77.6,133.0,3.0,76.0,59.0,13.0,96.0,72.2,3.0,59.0,1.0,1.0,1.0,0.0,22.0,0.0,0.0,8.0,88.0,118.0,339.0,3.0,53.0,1.0,0.0,0.0,2.0,0.0,0.0,25.0,4.0,1.0,3.0,0.91,6.0,1.81,0.0,1.0,16.7,0.3,16.0,18.2,40.0,6.0,0.0,7.0,2.0,0.0,0.0,9.0,954.0,740.0,149.0,9.0,-0.2,0.04,0.2,0.2
Gabriel Boschilia,br BRA,"MF,FW",Monaco,fr Ligue 1,23,1996,1.4,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,41.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,72.0,1.0,3.0,0.0,7.0,7.0,0.0,12.0,1.0,0.0,1.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,13.0,0.0,56.0,72.0,88.0,40.0,15.0,6.0,8.0,85.2,61.0,52.0,0.0,27.0,1.0,46.0,5.0,1.0,5.0,1.0,0.2,1.0,74.7,85.0,2.0,79.0,59.0,0.0,70.0,82.4,2.0,59.0,2.0,5.0,2.0,0.0,18.0,0.0,0.0,3.0,37.0,256.0,232.0,8.0,16.0,0.0,1.0,0.0,3.0,0.0,0.0,33.3,3.0,1.0,4.0,2.77,5.0,3.46,1.0,0.0,0.0,0.0,11.0,29.7,100.0,3.0,1.0,5.0,0.0,0.0,3.0,4.0,891.0,480.0,95.0,6.0,-0.2,0.04,0.0,0.2
Denis Bouanga,ga GAB,"FW,DF",Saint-Étienne,fr Ligue 1,24,1994,22.7,4.0,0.0,0.0,51.0,33.0,6.0,46.0,10.0,35.0,0.0,0.0,0.0,131.0,35.0,57.0,38.0,40.0,1.1,3.0,142.0,13.0,471.0,120.0,30.0,4.0,34.0,4.0,0.0,1.0,748.0,20.0,7.0,5.0,64.0,89.0,13.0,153.0,24.0,1.0,4.0,0.8,1.0,0.0,0.0,2.0,2.0,2.0,7.0,0.31,10.0,0.09,0.21,338.0,24.0,131.0,14.0,74.0,536.0,962.0,46.5,127.0,59.0,131.0,78.7,428.0,337.0,4.0,282.0,33.0,499.0,71.0,35.0,33.0,59.0,6.9,2.0,68.0,1015.0,18.0,600.0,408.0,78.0,680.0,67.0,32.0,408.0,16.0,22.0,13.0,2.0,146.0,3.0,3.0,73.0,513.0,1860.0,3860.0,52.0,431.0,13.0,7.0,3.0,27.0,9.0,0.0,26.7,45.0,12.0,60.0,2.64,76.0,3.35,2.0,34.0,44.7,1.5,129.0,25.1,53.3,64.0,31.0,55.0,22.0,1.0,45.0,69.0,6746.0,6073.0,1029.0,114.0,0.1,0.09,1.9,9.2
Hicham Boudaoui,dz ALG,"MF,FW",Nice,fr Ligue 1,19,1999,5.4,2.0,1.0,0.0,10.0,3.0,1.0,15.0,8.0,8.0,0.0,0.0,0.0,35.0,7.0,10.0,41.2,30.8,0.9,2.0,38.0,0.0,121.0,16.0,7.0,3.0,10.0,0.0,0.0,0.0,200.0,10.0,0.0,3.0,3.0,64.0,6.0,63.0,9.0,0.0,1.0,-0.1,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.55,1.0,0.25,0.25,140.0,8.0,22.0,6.0,23.0,196.0,275.0,61.5,26.0,16.0,37.0,82.4,159.0,131.0,0.0,68.0,8.0,114.0,11.0,8.0,18.0,14.0,1.1,1.0,76.4,242.0,6.0,199.0,152.0,10.0,191.0,78.9,14.0,152.0,7.0,9.0,6.0,0.0,37.0,0.0,0.0,11.0,170.0,582.0,819.0,17.0,163.0,1.0,2.0,0.0,9.0,1.0,0.0,35.7,14.0,5.0,13.0,2.39,4.0,0.73,0.0,4.0,100.0,0.73,41.0,24.1,56.3,9.0,5.0,26.0,8.0,0.0,2.0,22.0,2257.0,1340.0,277.0,17.0,-0.1,0.27,1.1,1.1
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,fr Ligue 1,29,1990,17.7,0.0,0.0,0.0,9.0,19.0,2.0,44.0,9.0,17.0,0.0,0.0,0.0,126.0,10.0,34.0,22.7,25.0,0.8,4.0,123.0,4.0,463.0,48.0,16.0,1.0,17.0,29.0,15.0,8.0,801.0,5.0,52.0,6.0,120.0,43.0,6.0,104.0,5.0,0.0,49.0,-0.8,0.0,0.0,0.0,1.0,3.0,1.0,5.0,0.28,1.0,0.0,0.0,537.0,19.0,257.0,41.0,793.0,844.0,1023.0,55.4,325.0,180.0,170.0,83.1,596.0,495.0,3.0,237.0,14.0,652.0,29.0,17.0,24.0,24.0,1.1,4.0,72.2,1006.0,33.0,964.0,696.0,42.0,825.0,82.0,23.0,696.0,28.0,58.0,22.0,2.0,210.0,1.0,1.0,33.0,403.0,3226.0,2292.0,114.0,137.0,3.0,1.0,21.0,40.0,1.0,0.0,48.8,43.0,21.0,66.0,3.72,24.0,1.35,5.0,5.0,20.8,0.28,114.0,28.3,66.7,32.0,61.0,32.0,8.0,3.0,2.0,33.0,13583.0,4570.0,1141.0,22.0,-1.1,0.05,3.2,1.8
Sofiane Boufal,ma MAR,"MF,FW",Southampton,eng Premier League,25,1993,8.5,2.0,0.0,0.0,25.0,20.0,2.0,30.0,5.0,12.0,0.0,1.0,0.0,69.0,8.0,11.0,42.1,23.1,-0.7,2.0,70.0,3.0,322.0,96.0,17.0,0.0,17.0,0.0,0.0,0.0,447.0,2.0,1.0,3.0,8.0,54.0,10.0,53.0,6.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.35,0.0,0.0,0.0,222.0,12.0,49.0,15.0,62.0,317.0,507.0,58.2,55.0,32.0,54.0,82.4,255.0,210.0,3.0,94.0,8.0,203.0,21.0,12.0,10.0,21.0,1.0,1.0,76.0,468.0,9.0,325.0,247.0,41.0,382.0,81.6,14.0,247.0,6.0,18.0,14.0,0.0,96.0,0.0,0.0,61.0,218.0,1068.0,2491.0,31.0,236.0,8.0,6.0,0.0,22.0,1.0,0.0,33.3,15.0,5.0,37.0,4.36,21.0,2.47,0.0,7.0,33.3,0.82,71.0,32.6,56.3,54.0,8.0,13.0,3.0,1.0,6.0,26.0,3764.0,3843.0,515.0,53.0,-1.0,0.05,2.7,1.0
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,de Bundesliga,20,1999,4.7,2.0,0.0,0.0,11.0,4.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0,39.0,7.0,13.0,35.0,40.0,-0.1,0.0,22.0,4.0,56.0,6.0,9.0,1.0,10.0,0.0,0.0,0.0,123.0,3.0,0.0,0.0,4.0,27.0,4.0,49.0,6.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,9.0,18.0,3.0,20.0,143.0,201.0,79.5,44.0,35.0,32.0,88.0,92.0,81.0,0.0,87.0,6.0,110.0,7.0,9.0,6.0,14.0,0.4,1.0,80.3,163.0,1.0,147.0,118.0,5.0,125.0,76.7,7.0,118.0,1.0,11.0,0.0,0.0,34.0,0.0,0.0,4.0,136.0,575.0,296.0,13.0,111.0,0.0,0.0,0.0,4.0,0.0,0.0,18.2,11.0,2.0,4.0,0.86,6.0,1.29,0.0,0.0,0.0,0.0,40.0,29.4,33.3,2.0,2.0,10.0,4.0,1.0,0.0,18.0,2346.0,714.0,205.0,13.0,-0.4,0.07,0.1,0.4
Farid Boulaya,dz ALG,FW,Metz,fr Ligue 1,26,1993,9.1,1.0,1.0,0.0,7.0,6.0,2.0,24.0,9.0,12.0,0.0,0.0,0.0,92.0,5.0,16.0,23.8,31.6,-0.7,1.0,48.0,4.0,246.0,27.0,11.0,0.0,11.0,5.0,15.0,0.0,389.0,2.0,24.0,3.0,32.0,32.0,9.0,74.0,6.0,0.0,5.0,-0.2,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.22,2.0,0.08,0.22,256.0,12.0,95.0,21.0,70.0,392.0,502.0,47.9,119.0,57.0,73.0,80.4,280.0,225.0,0.0,101.0,4.0,261.0,20.0,12.0,13.0,17.0,2.2,6.0,68.2,470.0,14.0,424.0,289.0,19.0,364.0,77.4,24.0,289.0,9.0,30.0,13.0,3.0,82.0,0.0,0.0,16.0,181.0,1605.0,1554.0,51.0,330.0,3.0,1.0,7.0,23.0,1.0,0.0,28.0,25.0,7.0,35.0,3.84,24.0,2.63,7.0,9.0,37.5,0.99,41.0,22.7,51.9,14.0,9.0,19.0,6.0,5.0,2.0,26.0,4935.0,2886.0,540.0,26.0,-0.2,0.09,1.7,2.2
Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,57.0,0.0,0.0,185.0,178.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.18,0.0,0.0,0.0,81.0,0.0,84.0,1.0,108.0,113.0,128.0,60.9,110.0,67.0,5.0,100.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,74.7,73.0,6.0,170.0,127.0,0.0,73.0,100.0,0.0,127.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2666.0,101.0,0.0,31.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4187.0,314.0,185.0,0.0,0.0,0.0,0.3,0.0
Mehdi Bourabia,ma MAR,MF,Sassuolo,it Serie A,27,1991,10.3,7.0,1.0,1.0,27.0,16.0,0.0,3.0,11.0,23.0,0.0,0.0,2.0,125.0,12.0,16.0,42.9,40.0,1.4,2.0,27.0,3.0,144.0,14.0,18.0,2.0,20.0,1.0,1.0,2.0,637.0,25.0,4.0,0.0,29.0,65.0,9.0,208.0,44.0,0.0,22.0,0.7,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.49,1.0,0.1,0.2,583.0,9.0,82.0,8.0,106.0,729.0,862.0,70.6,153.0,108.0,93.0,91.9,581.0,534.0,1.0,90.0,15.0,596.0,8.0,23.0,15.0,27.0,0.3,6.0,86.8,675.0,14.0,758.0,658.0,23.0,637.0,94.4,7.0,658.0,8.0,58.0,10.0,3.0,116.0,0.0,0.0,13.0,182.0,2867.0,1789.0,61.0,623.0,1.0,1.0,1.0,22.0,0.0,0.0,66.7,24.0,16.0,25.0,2.43,10.0,0.97,2.0,5.0,50.0,0.49,74.0,40.7,85.7,12.0,18.0,25.0,10.0,4.0,3.0,38.0,11290.0,3082.0,889.0,1.0,0.7,0.03,0.6,0.3
Benjamin Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,25,1994,21.1,5.0,0.0,0.0,29.0,16.0,2.0,47.0,12.0,27.0,1.0,0.0,0.0,234.0,17.0,22.0,43.6,21.3,-0.3,2.0,96.0,4.0,392.0,22.0,37.0,9.0,46.0,18.0,26.0,8.0,915.0,34.0,57.0,8.0,133.0,128.0,17.0,292.0,42.0,0.0,61.0,-0.4,0.0,0.0,1.0,2.0,3.0,0.0,6.0,0.28,2.0,0.05,0.2,685.0,46.0,344.0,26.0,118.0,1090.0,1304.0,62.3,459.0,286.0,194.0,86.5,724.0,626.0,0.0,284.0,22.0,822.0,23.0,27.0,63.0,43.0,2.4,3.0,75.6,1035.0,26.0,1223.0,924.0,10.0,916.0,88.5,35.0,924.0,15.0,102.0,21.0,3.0,208.0,0.0,0.0,17.0,508.0,5615.0,2149.0,143.0,1027.0,2.0,1.0,18.0,31.0,0.0,0.0,30.0,40.0,12.0,52.0,2.46,40.0,1.89,10.0,10.0,25.0,0.47,131.0,25.8,68.2,15.0,98.0,80.0,17.0,0.0,15.0,55.0,20444.0,4115.0,1441.0,18.0,-0.4,0.06,2.3,2.4
Bilal Boutobba,fr FRA,"MF,DF",Montpellier,fr Ligue 1,20,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,6.0,6.0,100.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,7.0,1.0,6.0,3.0,0.0,6.0,85.7,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,35.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,2.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0
Jarrod Bowen,eng ENG,FW,West Ham,eng Premier League,22,1996,10.2,0.0,0.0,0.0,4.0,20.0,1.0,31.0,16.0,13.0,0.0,0.0,0.0,68.0,4.0,23.0,14.8,26.3,1.8,4.0,43.0,5.0,234.0,33.0,15.0,0.0,15.0,20.0,1.0,0.0,313.0,5.0,25.0,4.0,29.0,67.0,6.0,77.0,8.0,0.0,4.0,-0.7,0.0,0.0,0.0,2.0,3.0,0.0,5.0,0.49,1.0,0.04,0.14,157.0,9.0,81.0,14.0,204.0,247.0,393.0,50.6,87.0,44.0,38.0,84.0,163.0,137.0,3.0,64.0,8.0,161.0,17.0,13.0,14.0,19.0,1.7,1.0,68.1,352.0,8.0,276.0,188.0,22.0,259.0,73.6,16.0,188.0,2.0,12.0,9.0,0.0,47.0,0.0,0.0,17.0,174.0,1215.0,1632.0,32.0,59.0,3.0,3.0,6.0,11.0,4.0,0.0,26.9,26.0,7.0,27.0,2.65,24.0,2.36,0.0,7.0,29.2,0.69,40.0,23.0,48.5,16.0,22.0,19.0,5.0,1.0,0.0,35.0,3704.0,3056.0,421.0,52.0,-0.7,0.07,2.2,1.7
Dedryck Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,27.1,8.0,1.0,0.0,23.0,7.0,2.0,0.0,47.0,20.0,0.0,3.0,0.0,211.0,77.0,28.0,73.3,44.4,0.0,1.0,6.0,2.0,48.0,12.0,12.0,32.0,44.0,0.0,0.0,0.0,1080.0,192.0,0.0,0.0,21.0,149.0,23.0,1058.0,253.0,3.0,19.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,4.0,0.22,1.0,1052.0,37.0,143.0,3.0,222.0,1324.0,1664.0,88.7,595.0,528.0,150.0,92.9,736.0,684.0,0.0,57.0,9.0,706.0,8.0,20.0,10.0,34.0,1.5,7.0,90.6,1143.0,18.0,1345.0,1219.0,3.0,1124.0,98.3,8.0,1219.0,7.0,45.0,1.0,2.0,153.0,0.0,0.0,12.0,212.0,6620.0,3263.0,44.0,1056.0,0.0,0.0,0.0,5.0,1.0,3.0,50.0,14.0,7.0,6.0,0.22,18.0,0.67,0.0,4.0,22.2,0.15,69.0,32.5,100.0,12.0,44.0,18.0,8.0,0.0,2.0,81.0,29167.0,6076.0,1684.0,28.0,2.5,0.08,1.0,1.5
John Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,23.5,6.0,0.0,0.0,22.0,18.0,1.0,0.0,23.0,25.0,0.0,0.0,0.0,208.0,58.0,28.0,67.4,53.3,-0.2,0.0,4.0,0.0,13.0,7.0,26.0,20.0,46.0,0.0,0.0,0.0,659.0,153.0,0.0,0.0,22.0,148.0,38.0,775.0,181.0,1.0,19.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,1.0,640.0,41.0,131.0,1.0,158.0,869.0,1147.0,79.6,329.0,262.0,120.0,91.9,553.0,508.0,0.0,65.0,5.0,439.0,3.0,25.0,14.0,43.0,1.3,6.0,86.8,674.0,21.0,891.0,773.0,3.0,655.0,97.2,7.0,773.0,6.0,19.0,2.0,2.0,119.0,0.0,0.0,6.0,217.0,5305.0,1053.0,26.0,665.0,0.0,0.0,0.0,5.0,0.0,0.0,33.3,9.0,3.0,5.0,0.21,5.0,0.21,0.0,2.0,40.0,0.09,82.0,37.8,85.7,6.0,20.0,30.0,16.0,0.0,3.0,66.0,17091.0,2900.0,1168.0,8.0,0.7,0.27,0.2,1.3
Can Bozdogan,de GER,MF,Schalke 04,de Bundesliga,18,2001,2.6,2.0,1.0,1.0,4.0,3.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,22.0,2.0,2.0,50.0,9.1,0.0,0.0,9.0,0.0,42.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,1.0,27.0,6.0,23.0,0.0,0.0,1.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,10.0,1.0,60.0,72.0,102.0,47.6,21.0,10.0,17.0,89.4,47.0,42.0,0.0,41.0,3.0,55.0,4.0,7.0,10.0,9.0,0.1,0.0,74.0,77.0,1.0,73.0,54.0,7.0,64.0,83.1,4.0,54.0,0.0,6.0,0.0,0.0,21.0,0.0,0.0,11.0,77.0,272.0,461.0,6.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,5.0,2.0,2.0,0.77,4.0,1.53,0.0,2.0,50.0,0.77,27.0,35.1,66.7,10.0,1.0,11.0,1.0,0.0,0.0,11.0,886.0,745.0,103.0,0.0,-0.1,0.03,0.0,0.1
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domagoj Bradarić,hr CRO,DF,Lille,fr Ligue 1,19,1999,15.8,1.0,0.0,0.0,11.0,14.0,1.0,62.0,13.0,14.0,0.0,0.0,0.0,119.0,11.0,17.0,39.3,39.4,-0.7,1.0,34.0,6.0,340.0,17.0,22.0,4.0,26.0,1.0,5.0,1.0,578.0,44.0,7.0,13.0,173.0,88.0,10.0,207.0,39.0,0.0,25.0,-0.4,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.13,0.0,0.0,0.0,463.0,28.0,207.0,19.0,573.0,656.0,827.0,46.7,225.0,105.0,159.0,88.9,578.0,514.0,1.0,98.0,13.0,530.0,20.0,14.0,20.0,29.0,0.4,1.0,75.4,640.0,12.0,829.0,625.0,7.0,581.0,90.8,30.0,625.0,10.0,38.0,18.0,2.0,98.0,0.0,0.0,11.0,220.0,3811.0,2237.0,93.0,80.0,0.0,1.0,4.0,23.0,1.0,1.0,23.1,26.0,6.0,29.0,1.84,5.0,0.32,1.0,0.0,0.0,0.0,62.0,28.2,52.9,9.0,17.0,33.0,13.0,0.0,141.0,42.0,11205.0,3563.0,1000.0,7.0,-0.4,0.08,1.7,0.4
Filip Bradarić,hr CRO,MF,Celta Vigo,es La Liga,27,1992,7.8,2.0,1.0,0.0,13.0,5.0,0.0,4.0,11.0,13.0,0.0,0.0,0.0,81.0,12.0,13.0,48.0,42.9,-0.1,0.0,17.0,2.0,73.0,5.0,14.0,3.0,17.0,0.0,1.0,0.0,268.0,17.0,1.0,0.0,11.0,49.0,5.0,121.0,21.0,0.0,9.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.13,0.0,0.0,0.0,270.0,27.0,80.0,3.0,75.0,400.0,475.0,67.0,91.0,61.0,61.0,84.3,305.0,257.0,0.0,66.0,11.0,308.0,3.0,13.0,4.0,18.0,0.5,1.0,78.6,336.0,7.0,411.0,323.0,6.0,321.0,95.5,9.0,323.0,6.0,30.0,7.0,1.0,65.0,0.0,0.0,5.0,132.0,1793.0,604.0,37.0,298.0,0.0,0.0,1.0,6.0,1.0,0.0,33.3,15.0,5.0,8.0,1.02,5.0,0.64,0.0,4.0,80.0,0.51,46.0,34.8,80.0,4.0,9.0,7.0,3.0,0.0,0.0,29.0,5769.0,1288.0,485.0,7.0,-0.5,0.1,0.1,0.5
