Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,157.0,8.0,56.0,68.0,39.0,0.0,128.0,2.0,3.0,66.7,2.0,0.0,85.0,500.0,303.0,76.0,70.0,92.1,2.0,2.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,2298.0,138.0,678.0,1071.0,682.0,78.0,1950.0,27.0,43.0,62.8,28.0,1.0,1471.0,7810.0,4396.0,1467.0,1351.0,92.1,27.0,19.0
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,1056.0,74.0,351.0,587.0,165.0,9.0,946.0,5.0,9.0,55.6,8.0,2.0,700.0,2778.0,1506.0,709.0,687.0,96.9,6.0,3.0
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,5.0,0.0,1.0,2.0,4.0,0.0,5.0,1.0,1.0,100.0,1.0,0.0,6.0,96.0,72.0,2.0,2.0,100.0,1.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2023.0,310.0,1347.0,754.0,46.0,26.0,1972.0,22.0,24.0,91.7,22.0,0.0,1227.0,7009.0,3508.0,1210.0,1179.0,97.4,10.0,5.0
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,1356.0,34.0,302.0,883.0,267.0,27.0,1327.0,38.0,61.0,62.3,40.0,2.0,1016.0,6188.0,3046.0,1007.0,897.0,89.1,33.0,36.0
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,29.0,1.0,7.0,11.0,14.0,3.0,29.0,2.0,3.0,66.7,2.0,0.0,20.0,139.0,99.0,23.0,15.0,65.2,1.0,2.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,828.0,90.0,374.0,459.0,57.0,8.0,806.0,4.0,5.0,80.0,4.0,0.0,475.0,3199.0,1722.0,452.0,442.0,97.8,3.0,2.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,463.0,20.0,105.0,314.0,67.0,4.0,455.0,6.0,7.0,85.7,6.0,0.0,339.0,1723.0,686.0,291.0,277.0,95.2,1.0,11.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,2162.0,279.0,1117.0,1108.0,127.0,27.0,2104.0,9.0,11.0,81.8,9.0,0.0,1360.0,9766.0,5119.0,1344.0,1307.0,97.2,7.0,14.0
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,921.0,26.0,151.0,508.0,360.0,33.0,911.0,37.0,48.0,77.1,39.0,1.0,786.0,5663.0,3296.0,807.0,699.0,86.6,26.0,28.0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,617.0,17.0,116.0,421.0,127.0,7.0,605.0,11.0,14.0,78.6,11.0,1.0,411.0,2488.0,1474.0,438.0,404.0,92.2,13.0,9.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,28.0,27.0,28.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,11.0,85.0,51.0,9.0,9.0,100.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,386.0,19.0,94.0,196.0,138.0,7.0,321.0,11.0,15.0,73.3,11.0,0.0,258.0,2060.0,1176.0,267.0,236.0,88.4,4.0,5.0
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,1192.0,125.0,667.0,579.0,24.0,15.0,1164.0,2.0,2.0,100.0,2.0,0.0,722.0,4152.0,2393.0,708.0,695.0,98.2,2.0,9.0
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,146.0,5.0,38.0,59.0,61.0,9.0,124.0,8.0,13.0,61.5,8.0,0.0,109.0,634.0,399.0,104.0,85.0,81.7,13.0,7.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,187.0,0.0,16.0,109.0,85.0,8.0,181.0,11.0,16.0,68.8,13.0,1.0,154.0,1061.0,538.0,170.0,149.0,87.6,13.0,6.0
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,138.0,8.0,37.0,54.0,53.0,4.0,114.0,4.0,5.0,80.0,4.0,0.0,88.0,409.0,264.0,87.0,79.0,90.8,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,326.0,3.0,19.0,161.0,158.0,44.0,314.0,7.0,12.0,58.3,7.0,1.0,183.0,820.0,301.0,477.0,262.0,54.9,28.0,7.0
