Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,Shots on Target,Shots on Target %,Shots Total p90,Shots on Target p90,Goals per shot,Goals per shot on target,Shots from Free Kicks,Penalty Kicks scored,Penalty Kicks attempted,xG,Non-penalty xG,npxG/Sh,G-xG,np:G-xG
Milan Badelj,hr CRO,MF,Lazio,it Serie A,29,1989,12.7,1.0,13.0,4.0,30.8,1.03,0.32,0.08,0.25,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,27.4,11.0,69.0,33.0,47.8,2.52,1.2,0.13,0.27,2.0,2.0,3.0,8.9,6.7,0.1,2.1,2.3
Daniel Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,31.3,0.0,26.0,10.0,38.5,0.83,0.32,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.03,-0.8,-0.8
Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,20,1997,21.3,5.0,55.0,15.0,27.3,2.59,0.71,0.09,0.33,13.0,0.0,0.0,5.7,5.7,0.1,-0.7,-0.7
Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,7.1,0.0,3.0,1.0,33.3,0.42,0.14,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2
Leighton Baines,eng ENG,DF,Everton,eng Premier League,33,1984,4.2,0.0,2.0,1.0,50.0,0.48,0.24,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,1989,16.3,1.0,11.0,4.0,36.4,0.67,0.24,0.09,0.25,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,23,1994,25.6,1.0,25.0,7.0,28.0,0.98,0.27,0.04,0.14,0.0,0.0,0.0,1.3,1.3,0.05,-0.3,-0.3
Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,20,1998,10.4,0.0,11.0,3.0,27.3,1.06,0.29,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,22.4,1.0,17.0,2.0,11.8,0.76,0.09,0.06,0.5,0.0,0.0,0.0,2.1,2.1,0.13,-1.1,-1.1
Keita Baldé,sn SEN,"FW,MF",Inter,it Serie A,23,1995,9.9,5.0,30.0,17.0,56.7,3.04,1.72,0.17,0.29,0.0,0.0,0.0,3.4,3.4,0.11,1.6,1.6
Gareth Bale,wal WAL,FW,Real Madrid,es La Liga,29,1989,19.8,8.0,74.0,31.0,41.9,3.73,1.56,0.09,0.23,10.0,1.0,1.0,8.3,7.6,0.1,-0.3,-0.6
Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,5.8,0.0,1.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Andrija Balić,hr CRO,"FW,MF",Udinese,it Serie A,20,1997,0.3,0.0,1.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Fodé Ballo-Touré,fr FRA,DF,Lille,fr Ligue 1,21,1997,17.7,0.0,4.0,2.0,50.0,0.23,0.11,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3
