Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,36.0,39.0,92.3,671.0,201.0,0.0,0.0,0.0,30.0,33.0,90.9,6.0,6.0,100.0,0.0,0.1,-0.1,1.0,4.0,2.0,1.0,6.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,29.0,36.0,80.6,458.0,141.0,0.0,0.0,0.0,26.0,32.0,81.3,3.0,4.0,75.0,0.0,0.2,-0.2,2.0,1.0,1.0,0.0,3.0
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,245.0,301.0,81.4,3840.0,902.0,9.0,22.0,40.9,202.0,230.0,87.8,34.0,49.0,69.4,1.0,1.2,-0.2,11.0,20.0,5.0,0.0,17.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,487.0,572.0,85.1,11845.0,4421.0,1.0,8.0,12.5,292.0,306.0,95.4,194.0,258.0,75.2,0.0,0.0,0.0,0.0,20.0,0.0,0.0,22.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,284.0,367.0,77.4,3746.0,786.0,17.0,38.0,44.7,249.0,306.0,81.4,18.0,23.0,78.3,3.0,2.4,0.6,16.0,12.0,20.0,0.0,33.0
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,666.0,791.0,84.2,11011.0,4090.0,12.0,29.0,41.4,549.0,598.0,91.8,105.0,164.0,64.0,2.0,1.5,0.5,14.0,39.0,25.0,15.0,83.0
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,91.0,104.0,87.5,1746.0,291.0,1.0,1.0,100.0,68.0,74.0,91.9,22.0,29.0,75.9,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,262.0,313.0,83.7,4836.0,830.0,5.0,10.0,50.0,198.0,224.0,88.4,59.0,79.0,74.7,1.0,0.1,0.9,3.0,17.0,0.0,0.0,19.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1073.0,1223.0,87.7,23981.0,6712.0,6.0,23.0,26.1,688.0,752.0,91.5,379.0,448.0,84.6,1.0,0.8,0.2,2.0,61.0,2.0,0.0,64.0
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,863.0,1160.0,74.4,15454.0,6409.0,16.0,53.0,30.2,680.0,779.0,87.3,167.0,328.0,50.9,2.0,2.2,-0.2,21.0,56.0,21.0,11.0,133.0
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,357.0,413.0,86.4,6250.0,1555.0,1.0,10.0,10.0,294.0,323.0,91.0,62.0,80.0,77.5,1.0,0.1,0.9,4.0,28.0,3.0,0.0,38.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,625.0,801.0,78.0,10424.0,4747.0,4.0,28.0,14.3,529.0,602.0,87.9,92.0,171.0,53.8,2.0,0.8,1.2,12.0,35.0,18.0,12.0,93.0
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,15.0,18.0,83.3,152.0,8.0,1.0,1.0,100.0,14.0,17.0,82.4,0.0,0.0,0.0,0.0,0.1,-0.1,2.0,0.0,0.0,0.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,371.0,509.0,72.9,5861.0,927.0,12.0,28.0,42.9,307.0,399.0,76.9,52.0,82.0,63.4,4.0,3.0,1.0,14.0,14.0,12.0,4.0,33.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,1767.0,1929.0,91.6,36920.0,11998.0,8.0,25.0,32.0,1240.0,1304.0,95.1,519.0,600.0,86.5,1.0,0.8,0.2,3.0,103.0,2.0,0.0,87.0
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,25.0,29.0,86.2,414.0,68.0,1.0,1.0,100.0,20.0,23.0,87.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1042.0,1183.0,88.1,21690.0,7029.0,9.0,20.0,45.0,725.0,787.0,92.1,308.0,376.0,81.9,2.0,0.6,1.4,4.0,66.0,10.0,0.0,62.0
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,172.0,206.0,83.5,2703.0,811.0,6.0,11.0,54.5,146.0,166.0,88.0,20.0,29.0,69.0,1.0,1.2,-0.2,5.0,15.0,2.0,0.0,27.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,659.0,754.0,87.4,12650.0,3663.0,4.0,9.0,44.4,518.0,558.0,92.8,137.0,187.0,73.3,0.0,0.0,0.0,1.0,25.0,1.0,0.0,29.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2250.0,2478.0,90.8,47127.0,15534.0,20.0,37.0,54.1,1573.0,1664.0,94.5,657.0,777.0,84.6,1.0,2.1,-1.1,18.0,294.0,24.0,7.0,240.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,664.0,810.0,82.0,11883.0,4858.0,5.0,28.0,17.9,545.0,613.0,88.9,114.0,169.0,67.5,0.0,1.1,-1.1,13.0,48.0,13.0,6.0,113.0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,227.0,308.0,73.7,3353.0,375.0,17.0,32.0,53.1,176.0,231.0,76.2,34.0,45.0,75.6,1.0,2.1,-1.1,15.0,6.0,9.0,0.0,13.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,1864.0,2141.0,87.1,30213.0,9511.0,35.0,86.0,40.7,1600.0,1742.0,91.8,229.0,313.0,73.2,5.0,3.3,1.7,28.0,126.0,38.0,18.0,177.0
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,1792.0,2264.0,79.2,33398.0,11824.0,40.0,88.0,45.5,1374.0,1559.0,88.1,378.0,617.0,61.3,15.0,10.8,4.2,108.0,255.0,97.0,5.0,376.0
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1619.0,1882.0,86.0,41783.0,12195.0,6.0,16.0,37.5,821.0,898.0,91.4,792.0,968.0,81.8,0.0,0.4,-0.4,5.0,96.0,5.0,1.0,82.0
