Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,80.0,122.0,65.6,1603.0,786.0,0.0,5.0,0.0,63.0,88.0,71.6,17.0,29.0,58.6,0.0,0.5,-0.5,1.0,6.0,2.0,2.0,22.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1587.0,1962.0,80.9,26851.0,11857.0,23.0,50.0,46.0,1333.0,1543.0,86.4,231.0,369.0,62.6,2.0,3.9,-1.9,34.0,115.0,63.0,9.0,292.0
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,766.0,918.0,83.4,14840.0,5802.0,7.0,25.0,28.0,575.0,626.0,91.9,184.0,267.0,68.9,0.0,0.4,-0.4,7.0,73.0,13.0,4.0,112.0
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,1.0,2.0,50.0,32.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1318.0,1576.0,83.6,30166.0,10127.0,5.0,25.0,20.0,833.0,933.0,89.3,480.0,618.0,77.7,0.0,0.1,-0.1,3.0,51.0,3.0,0.0,66.0
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,919.0,1081.0,85.0,17137.0,3889.0,18.0,29.0,62.1,705.0,782.0,90.2,196.0,270.0,72.6,0.0,1.5,-1.5,23.0,87.0,11.0,2.0,82.0
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,6.0,16.0,37.5,58.0,15.0,0.0,2.0,0.0,6.0,11.0,54.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,520.0,671.0,77.5,12124.0,4564.0,4.0,13.0,30.8,321.0,380.0,84.5,195.0,278.0,70.1,0.0,0.1,-0.1,3.0,58.0,7.0,3.0,72.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,333.0,384.0,86.7,5636.0,968.0,4.0,14.0,28.6,278.0,309.0,90.0,51.0,61.0,83.6,0.0,0.1,-0.1,2.0,22.0,1.0,0.0,16.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1554.0,1787.0,87.0,33525.0,10694.0,14.0,23.0,60.9,1057.0,1158.0,91.3,483.0,606.0,79.7,1.0,0.6,0.4,8.0,112.0,6.0,2.0,103.0
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,591.0,735.0,80.4,10181.0,2575.0,3.0,24.0,12.5,498.0,560.0,88.9,90.0,151.0,59.6,0.0,0.6,-0.6,11.0,64.0,14.0,3.0,67.0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,416.0,516.0,80.6,6997.0,2224.0,6.0,18.0,33.3,346.0,412.0,84.0,64.0,86.0,74.4,2.0,0.7,1.3,5.0,49.0,4.0,0.0,53.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,12.0,24.0,50.0,369.0,247.0,0.0,0.0,0.0,5.0,5.0,100.0,7.0,19.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,230.0,325.0,70.8,4875.0,1724.0,6.0,14.0,42.9,153.0,178.0,86.0,71.0,133.0,53.4,2.0,0.8,1.2,14.0,8.0,10.0,10.0,40.0
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,842.0,967.0,87.1,19080.0,6527.0,7.0,12.0,58.3,534.0,584.0,91.4,301.0,371.0,81.1,0.0,0.1,-0.1,3.0,62.0,4.0,0.0,67.0
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,77.0,101.0,76.2,1199.0,378.0,2.0,10.0,20.0,64.0,75.0,85.3,11.0,16.0,68.8,0.0,0.1,-0.1,2.0,2.0,3.0,0.0,11.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,111.0,151.0,73.5,1935.0,591.0,3.0,5.0,60.0,92.0,117.0,78.6,16.0,29.0,55.2,0.0,0.9,-0.9,6.0,13.0,3.0,1.0,18.0
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,78.0,123.0,63.4,1504.0,612.0,1.0,6.0,16.7,60.0,83.0,72.3,17.0,34.0,50.0,0.0,0.2,-0.2,3.0,6.0,2.0,1.0,15.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,149.0,237.0,62.9,2052.0,331.0,6.0,11.0,54.5,130.0,198.0,65.7,13.0,28.0,46.4,0.0,0.4,-0.4,5.0,10.0,3.0,1.0,9.0
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,980.0,1204.0,81.4,17749.0,6575.0,7.0,39.0,17.9,811.0,908.0,89.3,162.0,257.0,63.0,3.0,1.9,1.1,15.0,55.0,24.0,13.0,145.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,673.0,968.0,69.5,11708.0,5682.0,5.0,33.0,15.2,565.0,689.0,82.0,103.0,246.0,41.9,0.0,0.4,-0.4,8.0,63.0,14.0,5.0,149.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,452.0,577.0,78.3,10088.0,4103.0,4.0,12.0,33.3,301.0,334.0,90.1,147.0,231.0,63.6,0.0,0.1,-0.1,2.0,37.0,3.0,1.0,34.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,665.0,785.0,84.7,9245.0,1686.0,27.0,45.0,60.0,592.0,678.0,87.3,46.0,62.0,74.2,8.0,5.5,2.5,34.0,37.0,44.0,1.0,68.0
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,28.1,1328.0,1642.0,80.9,22716.0,9218.0,9.0,45.0,20.0,1125.0,1278.0,88.0,194.0,319.0,60.8,4.0,3.2,0.8,46.0,77.0,47.0,24.0,247.0
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,163.0,185.0,88.1,2694.0,771.0,0.0,0.0,0.0,140.0,152.0,92.1,23.0,33.0,69.7,0.0,0.0,0.0,1.0,16.0,3.0,1.0,12.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,26.0,31.0,83.9,475.0,61.0,1.0,2.0,50.0,19.0,23.0,82.6,6.0,6.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,465.0,552.0,84.2,8682.0,2135.0,9.0,14.0,64.3,363.0,410.0,88.5,93.0,128.0,72.7,1.0,0.2,0.8,4.0,48.0,4.0,0.0,54.0
Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,14.0,34.0,41.2,276.0,169.0,0.0,3.0,0.0,10.0,21.0,47.6,4.0,10.0,40.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,7.0
Ola Aina,ng NGA,"DF,MF",Torino,it Serie A,21,1996,24.0,845.0,1160.0,72.8,14588.0,6204.0,19.0,57.0,33.3,674.0,803.0,83.9,152.0,300.0,50.7,3.0,2.1,0.9,24.0,52.0,31.0,14.0,150.0
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,580.0,664.0,87.3,11601.0,2501.0,7.0,18.0,38.9,429.0,478.0,89.7,144.0,168.0,85.7,0.0,0.4,-0.4,8.0,45.0,7.0,2.0,59.0
Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,638.0,739.0,86.3,13365.0,3614.0,5.0,16.0,31.3,452.0,491.0,92.1,181.0,232.0,78.0,2.0,1.0,1.0,13.0,75.0,6.0,0.0,68.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,30.0,33.0,90.9,364.0,152.0,1.0,1.0,100.0,27.0,30.0,90.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,355.0,467.0,76.0,5737.0,672.0,8.0,23.0,34.8,287.0,365.0,78.6,60.0,79.0,75.9,1.0,1.0,0.0,12.0,18.0,7.0,2.0,24.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1698.0,1828.0,92.9,37754.0,11043.0,9.0,16.0,56.3,1076.0,1133.0,95.0,613.0,679.0,90.3,0.0,0.4,-0.4,6.0,110.0,4.0,3.0,102.0
Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,346.0,442.0,78.3,5601.0,2530.0,7.0,19.0,36.8,294.0,349.0,84.2,45.0,74.0,60.8,0.0,0.3,-0.3,3.0,20.0,5.0,0.0,51.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1469.0,1701.0,86.4,30143.0,10917.0,7.0,22.0,31.8,1048.0,1167.0,89.8,414.0,512.0,80.9,0.0,0.8,-0.8,5.0,92.0,7.0,3.0,91.0
Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,70.0,89.0,78.7,1135.0,425.0,1.0,2.0,50.0,63.0,71.0,88.7,6.0,16.0,37.5,1.0,0.1,0.9,2.0,6.0,1.0,1.0,10.0
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,122.0,160.0,76.3,1759.0,441.0,1.0,9.0,11.1,108.0,126.0,85.7,13.0,25.0,52.0,1.0,0.3,0.7,5.0,4.0,6.0,2.0,17.0
Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,140.0,169.0,82.8,3215.0,1096.0,0.0,3.0,0.0,95.0,106.0,89.6,45.0,60.0,75.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,13.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,229.0,271.0,84.5,4537.0,1630.0,1.0,8.0,12.5,177.0,190.0,93.2,51.0,73.0,69.9,0.0,0.0,0.0,0.0,27.0,0.0,0.0,28.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,1768.0,2137.0,82.7,30706.0,10327.0,15.0,52.0,28.8,1461.0,1636.0,89.3,292.0,449.0,65.0,3.0,4.9,-1.9,34.0,162.0,46.0,24.0,231.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,837.0,1104.0,75.8,13415.0,6145.0,13.0,49.0,26.5,715.0,841.0,85.0,109.0,214.0,50.9,0.0,1.8,-1.8,23.0,54.0,15.0,3.0,143.0
