Event,Player,Team,Outcome,X,Y,endX,endY
Pass,4511,26,Successful,60.2,92.4,57.7,77.5
Pass,33568,26,Successful,56.4,73.5,48.5,65.8
Pass,95408,26,Successful,48.5,65.4,55.1,33.9
Pass,136451,26,Successful,55.4,32.1,71.7,4
Pass,108226,26,Successful,77.5,7.6,91,16.4
Pass,96182,26,Unsuccessful,91.6,17.3,91.6,18.5
BlockedPass,122945,183,Successful,8.5,85.0,,
Pass,96182,26,Successful,86.5,4.7,71.5,4.1
Pass,318871,26,Successful,72.3,5.0,68.5,37.9
Pass,84146,26,Unsuccessful,69.5,41.2,83.8,60
Clearance,231080,183,Successful,14.9,36.4,31.2,37.9
Pass,84146,26,Successful,68.7,57.5,84.8,27.7
OffsideProvoked,122945,183,Successful,4.8,53.0,,
OffsidePass,318871,26,Successful,91.6,27.7,96.6,48.9
Pass,316858,183,Successful,4.9,54.2,46,88.6
Pass,145277,183,Unsuccessful,44.7,90.8,47.7,89.1
BallRecovery,136451,26,Successful,51.1,9.4,,
Pass,136451,26,Successful,51.1,9.4,46.8,12.3
Pass,84146,26,Unsuccessful,46.9,12.2,85.4,18.8
KeeperSweeper,316858,183,Successful,0.0,0.0,,
Clearance,316858,183,Successful,13.8,82.3,17.7,100
Pass,108226,26,Successful,78.9,0.0,66.3,3.2
Pass,318871,26,Successful,64.1,5.6,48,23.3
Pass,136451,26,Successful,48.3,26.1,51.7,59.7
Pass,95408,26,Successful,51.6,60.2,53.4,38.9
Pass,136451,26,Successful,54.6,36.0,67.9,25.8
Pass,84146,26,Successful,69.2,34.8,67.7,64.2
Pass,33568,26,Successful,69.0,67.8,79.6,94.7
Pass,4511,26,Successful,79.2,94.8,73.3,79.6
Pass,33568,26,Successful,70.9,76.6,60.3,64.5
Pass,95408,26,Successful,60.3,64.3,65,85.3
Pass,33568,26,Unsuccessful,68.2,88.1,77.6,71.5
BallRecovery,68662,183,Successful,21.8,27.3,,
Pass,68662,183,Unsuccessful,22.7,27.6,53.4,27.3
Foul,134115,183,Unsuccessful,54.6,27.0,,
Foul,95408,26,Successful,45.4,73.0,,
Pass,95408,26,Successful,43.0,72.6,47,64.1
Pass,115916,26,Successful,53.5,38.0,59.3,5.3
Pass,318871,26,Successful,58.8,4.7,68.4,4.1
