Event,Player,Team,Outcome,X,Y,endX,endY
Pass,318871,26,Unsuccessful,40.5,7.3,44,7.1
Pass,8166,32,Successful,59.4,91.7,63.6,82.6
BallRecovery,243254,32,Successful,63.6,82.6,,
Pass,243254,32,Successful,63.6,82.6,61.5,94.8
Pass,8166,32,Successful,61.5,94.8,57.5,80.6
Pass,114397,32,Successful,57.5,80.6,53.5,55.7
Pass,336915,32,Successful,53.0,51.0,71.7,9.4
Pass,331924,32,Successful,76.9,12.0,78.2,16.7
Pass,302313,32,Successful,78.2,16.7,89,8.6
Pass,331924,32,Successful,89.9,8.6,80.8,6.4
Pass,302313,32,Successful,80.8,6.4,74.4,10.3
Pass,336915,32,Successful,74.4,10.3,81.5,11.7
Pass,331924,32,Successful,81.5,11.7,92.8,6.5
Pass,302313,32,Successful,94.7,8.1,89.3,22.7
Pass,243254,32,Successful,80.8,20.9,77.8,28.5
Pass,336915,32,Unsuccessful,77.8,28.5,89.9,24.6
BallRecovery,115726,26,Successful,12.6,77.9,,
Pass,115726,26,Successful,12.6,77.9,18.3,87.1
BallTouch,124688,26,Unsuccessful,18.3,87.1,,
BallRecovery,243254,32,Successful,73.5,7.7,,
Pass,243254,32,Successful,73.4,7.7,75.9,16.1
Pass,331924,32,Successful,77.0,16.1,91.2,8.3
Pass,243254,32,Successful,92.3,8.3,92.5,19.8
Pass,8166,32,Successful,94.2,15.6,86.1,77.9
Pass,70050,32,Unsuccessful,97.0,93.0,100,82.7
Pass,114147,26,Successful,4.2,49.9,10.3,66.9
Pass,95408,26,Successful,9.3,65.7,14,88
Pass,115726,26,Unsuccessful,15.4,94.8,44.3,82.7
Aerial,124688,26,Unsuccessful,42.0,85.2,,
Aerial,100008,32,Successful,58.0,14.8,,
Pass,100008,32,Successful,60.4,12.2,67.7,28.2
BallRecovery,243254,32,Successful,67.7,28.2,,
Pass,243254,32,Unsuccessful,67.7,28.2,77.4,36.3
Clearance,95408,26,Successful,22.1,60.9,68.9,68.5
Pass,99487,32,Successful,34.0,34.2,14.1,37.6
Pass,79554,32,Unsuccessful,13.5,37.4,41.2,87.1
Aerial,8166,32,Unsuccessful,44.4,88.2,,
Aerial,318871,26,Successful,55.6,11.8,,
Pass,318871,26,Unsuccessful,52.3,10.7,68.2,4.9
Clearance,70050,32,Successful,28.9,95.9,34.3,100
Pass,318871,26,Successful,72.2,0.0,70.6,9.7
Pass,96182,26,Successful,65.0,15.6,60.8,31.5
Pass,115916,26,Successful,61.0,37.6,47,46
Pass,95408,26,Successful,47.3,47.2,52.6,79.6
Pass,115726,26,Successful,52.1,75.4,43.2,56
Pass,95408,26,Unsuccessful,43.3,49.6,80.9,20.6
Pass,8166,32,Successful,16.7,82.3,20.5,70.8
BallRecovery,70050,32,Successful,20.5,70.8,,
Pass,70050,32,Successful,20.5,70.8,29.4,68.1
Pass,114397,32,Successful,32.6,67.3,39.8,79.6
Pass,243254,32,Unsuccessful,39.9,85.1,41.6,85.6
BallTouch,318871,26,Successful,55.8,8.3,,
Foul,74341,26,Unsuccessful,54.9,7.4,,
Foul,300299,32,Successful,45.1,92.6,,
Pass,8166,32,Successful,46.1,95.1,41,92
Pass,70050,32,Successful,40.8,91.7,34.5,69.6
Pass,99487,32,Successful,34.5,69.6,55.6,96
Pass,8166,32,Successful,55.6,96.0,59.9,91.2
Pass,300299,32,Successful,59.3,86.2,69.5,7.9
Pass,331924,32,Unsuccessful,76.0,13.8,88.5,48.8
Clearance,74341,26,Successful,11.9,51.3,34.2,38.8
BallTouch,96182,26,Unsuccessful,34.2,38.8,,
Pass,114397,32,Successful,65.7,59.8,51.1,51.1
Pass,100008,32,Successful,51.7,50.3,45.7,59.4
Pass,99487,32,Successful,45.0,57.1,53.4,65.5
Pass,114397,32,Successful,53.6,69.1,53.6,85.1
Pass,70050,32,Successful,53.6,85.1,63.7,95.9
Pass,8166,32,Unsuccessful,67.3,95.9,70.4,92.9
Interception,68659,26,Successful,29.7,7.9,,
Pass,8166,32,Successful,75.0,100.0,63.4,69.4
Pass,114397,32,Successful,63.4,69.4,48,43.4
Pass,100008,32,Successful,47.9,43.4,63.4,4.9
Pass,331924,32,Successful,69.5,10.9,89.3,23.1
Pass,243254,32,Unsuccessful,89.3,23.1,89.9,51.2
Clearance,318871,26,Successful,10.9,47.3,15.3,100
Pass,331924,32,Successful,80.8,0.0,75.1,11.3
Foul,68659,26,Unsuccessful,25.1,92.0,,
Foul,114397,32,Successful,74.9,8.0,,
Pass,243254,32,Unsuccessful,75.3,7.1,88.1,45.2
Interception,115726,26,Successful,12.2,57.6,,
BallRecovery,115726,26,Successful,12.0,61.7,,
Pass,115726,26,Successful,19.7,80.5,24.6,86.9
Foul,124688,26,Successful,27.4,85.5,,
Foul,243254,32,Unsuccessful,72.6,14.5,,
Pass,95408,26,Successful,24.1,71.9,29.1,89.6
Pass,115726,26,Successful,41.8,94.1,65.9,71.5
Pass,109915,26,Successful,67.1,71.3,78.9,74.4
MissedShots,96182,26,Successful,95.9,70.9,,
Pass,79554,32,Successful,5.2,47.8,55.7,92.3
Aerial,68659,26,Unsuccessful,45.0,10.4,,
Aerial,8166,32,Successful,55.0,89.6,,
Pass,8166,32,Successful,55.7,92.3,61.4,85.3
Pass,243254,32,Unsuccessful,61.4,85.3,64.9,89.4
BallRecovery,74341,26,Successful,35.6,15.2,,
Pass,74341,26,Successful,36.1,13.7,35.8,6.1
Pass,318871,26,Unsuccessful,35.5,2.5,51.1,0
Pass,8166,32,Unsuccessful,53.9,100.0,58,92.9
Interception,115916,26,Successful,42.2,5.0,,
Pass,70050,32,Successful,42.2,100.0,58.4,96.3
Pass,300299,32,Successful,58.4,96.3,63.4,72.3
Pass,302313,32,Successful,63.4,72.3,70,65.4
MissedShots,243254,32,Successful,71.7,43.1,,
KeeperPickup,114147,26,Successful,3.4,42.5,,
Pass,114147,26,Successful,15.0,37.3,20.8,79.8
Pass,115726,26,Successful,22.9,83.0,43.2,90.5
Pass,124688,26,Successful,39.6,94.8,25.4,87.6
Pass,115726,26,Successful,22.5,89.8,3.8,61.2
Pass,114147,26,Successful,4.6,59.0,14,34
Pass,74341,26,Successful,14.4,37.1,18.7,65.8
Pass,95408,26,Successful,21.8,70.0,19.7,90
Pass,115726,26,Successful,21.5,93.9,45,94.8
Pass,124688,26,Unsuccessful,46.9,98.9,63.6,81.2
BallRecovery,99487,32,Successful,39.5,19.4,,
Pass,99487,32,Unsuccessful,39.5,19.4,65.9,18.5
Foul,95408,26,Successful,33.5,80.4,,
Foul,243254,32,Unsuccessful,66.5,19.6,,
Pass,95408,26,Successful,32.7,73.5,27.5,51.3
Pass,74341,26,Successful,33.8,51.8,54.2,56
Pass,96182,26,Successful,57.4,45.2,69.9,38.2
Pass,109915,26,Successful,73.2,30.9,75.7,6.8
Pass,68659,26,Successful,76.2,10.0,68.5,27.1
Pass,109915,26,Successful,70.2,19.8,78.1,4.3
Pass,68659,26,Successful,74.1,22.2,73.9,52.5
Pass,33568,26,Successful,73.2,62.0,76.4,80.5
Pass,115726,26,Successful,75.4,76.6,74.3,62.9
Challenge,114397,32,Unsuccessful,25.2,43.4,,
TakeOn,33568,26,Successful,74.8,56.6,,
SavedShot,33568,26,Successful,75.4,46.2,,
Save,79554,32,Successful,2.5,49.0,,
KeeperPickup,79554,32,Successful,2.5,49.0,,
